iter,loss,rmse
1,0.8016,3.1968
2,0.9766,3.0269
3,0.9830,2.6461
4,0.9151,2.0171
5,0.8224,1.4087
6,0.7382,1.0658
7,0.6773,0.9567
8,0.6363,0.9263
9,0.6054,0.9174
10,0.5804,0.9154
11,0.5570,0.9162
12,0.5343,0.9179
13,0.5126,0.9235
14,0.4913,0.9398
15,0.4713,0.9654
16,0.4536,1.0196
17,0.4384,1.0803
18,0.4254,1.1354
19,0.4135,1.1376
20,0.4020,1.0929
21,0.3909,1.0384
22,0.3803,0.9999
23,0.3705,0.9680
24,0.3614,0.9512
25,0.3531,0.9416
26,0.3455,0.9364
27,0.3384,0.9343
28,0.3317,0.9383
29,0.3253,0.9444
30,0.3192,0.9584
31,0.3134,0.9756
32,0.3080,0.9981
33,0.3030,1.0099
34,0.2983,1.0178
35,0.2938,1.0073
36,0.2895,0.9912
37,0.2853,0.9722
38,0.2814,0.9574
39,0.2776,0.9492
40,0.2741,0.9451
41,0.2707,0.9442
42,0.2675,0.9449
43,0.2643,0.9503
44,0.2613,0.9560
45,0.2584,0.9658
46,0.2557,0.9738
47,0.2531,0.9785
48,0.2505,0.9793
49,0.2481,0.9758
50,0.2457,0.9685
51,0.2434,0.9629
52,0.2412,0.9570
53,0.2391,0.9511
54,0.2371,0.9480
55,0.2351,0.9478
56,0.2332,0.9488
57,0.2313,0.9509
58,0.2296,0.9542
59,0.2278,0.9591
60,0.2262,0.9619
61,0.2245,0.9626
62,0.2230,0.9638
63,0.2215,0.9612
64,0.2200,0.9573
65,0.2186,0.9538
66,0.2172,0.9501
67,0.2158,0.9510
68,0.2145,0.9489
69,0.2132,0.9508
70,0.2120,0.9542
71,0.2108,0.9573
72,0.2096,0.9588
73,0.2085,0.9605
74,0.2073,0.9600
75,0.2063,0.9593
76,0.2052,0.9572
77,0.2042,0.9569
78,0.2032,0.9549
79,0.2022,0.9532
80,0.2012,0.9524
81,0.2003,0.9523
82,0.1993,0.9537
83,0.1984,0.9544
84,0.1976,0.9560
85,0.1967,0.9552
86,0.1959,0.9579
87,0.1950,0.9571
88,0.1942,0.9546
89,0.1935,0.9555
90,0.1927,0.9540
91,0.1919,0.9545
92,0.1912,0.9517
93,0.1905,0.9516
94,0.1898,0.9528
95,0.1891,0.9546
96,0.1884,0.9536
97,0.1878,0.9550
