iter,loss,rmse
1,0.6520,1.8444
2,0.7837,1.2181
3,0.7826,0.7278
4,0.7534,0.5182
5,0.7520,0.5156
6,0.7580,0.5209
7,0.7538,0.5149
8,0.7392,0.5048
9,0.7268,0.5301
10,0.7201,0.5863
11,0.7139,0.5814
12,0.7057,0.5377
13,0.6967,0.5075
14,0.6890,0.5011
15,0.6829,0.5027
16,0.6774,0.5031
17,0.6714,0.4998
18,0.6651,0.4975
19,0.6592,0.5018
20,0.6540,0.5091
21,0.6493,0.5135
22,0.6446,0.5074
23,0.6399,0.4987
24,0.6351,0.4933
25,0.6307,0.4940
26,0.6268,0.4950
27,0.6230,0.4958
28,0.6191,0.4929
29,0.6153,0.4893
30,0.6116,0.4890
31,0.6083,0.4913
32,0.6051,0.4927
33,0.6020,0.4911
34,0.5989,0.4885
35,0.5960,0.4885
36,0.5932,0.4903
37,0.5906,0.4903
38,0.5880,0.4872
39,0.5855,0.4862
40,0.5832,0.4887
41,0.5809,0.4883
42,0.5787,0.4862
43,0.5766,0.4852
44,0.5746,0.4848
45,0.5726,0.4857
46,0.5708,0.4863
47,0.5690,0.4845
48,0.5672,0.4841
49,0.5656,0.4854
50,0.5640,0.4857
51,0.5624,0.4838
52,0.5609,0.4833
53,0.5595,0.4834
54,0.5581,0.4834
55,0.5567,0.4837
56,0.5554,0.4826
57,0.5542,0.4826
58,0.5529,0.4835
59,0.5517,0.4826
60,0.5506,0.4819
61,0.5494,0.4819
62,0.5484,0.4818
63,0.5473,0.4815
64,0.5462,0.4810
65,0.5452,0.4810
66,0.5443,0.4816
67,0.5433,0.4810
68,0.5424,0.4813
69,0.5415,0.4808
70,0.5406,0.4808
71,0.5397,0.4811
72,0.5389,0.4804
73,0.5381,0.4804
74,0.5373,0.4807
75,0.5365,0.4800
76,0.5357,0.4798
77,0.5350,0.4798
78,0.5342,0.4800
79,0.5335,0.4795
80,0.5328,0.4789
81,0.5321,0.4788
82,0.5314,0.4786
83,0.5308,0.4789
84,0.5301,0.4787
85,0.5295,0.4784
86,0.5289,0.4787
87,0.5283,0.4782
88,0.5277,0.4779
89,0.5271,0.4782
90,0.5265,0.4782
91,0.5260,0.4781
92,0.5254,0.4776
93,0.5249,0.4773
94,0.5243,0.4777
95,0.5238,0.4771
96,0.5233,0.4781
97,0.5228,0.4772
98,0.5223,0.4769
99,0.5218,0.4767
100,0.5213,0.4767
101,0.5208,0.4772
102,0.5203,0.4767
103,0.5199,0.4768
104,0.5194,0.4759
105,0.5190,0.4763
106,0.5185,0.4758
