iter,loss,rmse
1,0.6516,1.8419
2,0.7850,1.2286
3,0.7844,0.7321
4,0.7551,0.5179
5,0.7535,0.5150
6,0.7566,0.5195
7,0.7515,0.5133
8,0.7372,0.5052
9,0.7254,0.5370
10,0.7188,0.5858
11,0.7119,0.5704
12,0.7032,0.5290
13,0.6941,0.5045
14,0.6865,0.5000
15,0.6805,0.5022
16,0.6748,0.5021
17,0.6688,0.4997
18,0.6625,0.4981
19,0.6567,0.5018
20,0.6515,0.5082
21,0.6469,0.5122
22,0.6422,0.5055
23,0.6374,0.4969
24,0.6327,0.4924
25,0.6284,0.4931
26,0.6245,0.4951
27,0.6206,0.4932
28,0.6168,0.4917
29,0.6130,0.4893
30,0.6094,0.4907
31,0.6061,0.4915
32,0.6029,0.4916
33,0.5998,0.4884
34,0.5968,0.4876
35,0.5939,0.4901
36,0.5912,0.4895
37,0.5886,0.4894
38,0.5860,0.4863
39,0.5835,0.4859
40,0.5812,0.4873
41,0.5790,0.4881
42,0.5768,0.4855
43,0.5747,0.4850
44,0.5727,0.4861
45,0.5708,0.4856
46,0.5690,0.4848
47,0.5672,0.4842
48,0.5655,0.4838
49,0.5639,0.4844
50,0.5623,0.4844
51,0.5608,0.4831
52,0.5593,0.4835
53,0.5579,0.4837
54,0.5565,0.4835
55,0.5552,0.4824
56,0.5539,0.4821
57,0.5526,0.4843
58,0.5514,0.4829
59,0.5502,0.4822
60,0.5491,0.4816
61,0.5480,0.4816
62,0.5469,0.4813
63,0.5459,0.4815
64,0.5448,0.4817
65,0.5438,0.4810
66,0.5429,0.4813
67,0.5419,0.4806
68,0.5410,0.4804
69,0.5401,0.4805
70,0.5392,0.4806
71,0.5384,0.4805
72,0.5376,0.4799
73,0.5367,0.4805
74,0.5360,0.4801
75,0.5352,0.4798
76,0.5344,0.4796
77,0.5337,0.4793
78,0.5330,0.4794
79,0.5323,0.4801
80,0.5316,0.4790
81,0.5309,0.4795
82,0.5302,0.4789
83,0.5296,0.4792
84,0.5290,0.4782
85,0.5283,0.4781
86,0.5277,0.4786
87,0.5271,0.4783
88,0.5265,0.4780
89,0.5260,0.4775
90,0.5254,0.4778
91,0.5248,0.4774
92,0.5243,0.4770
93,0.5237,0.4769
94,0.5232,0.4767
95,0.5227,0.4772
96,0.5222,0.4769
97,0.5217,0.4767
98,0.5212,0.4768
99,0.5207,0.4770
100,0.5202,0.4766
101,0.5197,0.4766
102,0.5193,0.4760
103,0.5188,0.4760
104,0.5183,0.4762
105,0.5179,0.4762
106,0.5175,0.4757
107,0.5170,0.4768
108,0.5166,0.4767
109,0.5162,0.4768
110,0.5158,0.4756
111,0.5153,0.4759
112,0.5149,0.4761
113,0.5145,0.4763
114,0.5142,0.4758
115,0.5138,0.4756
116,0.5134,0.4756
117,0.5130,0.4750
118,0.5126,0.4752
119,0.5123,0.4757
120,0.5119,0.4754
