iter,loss,rmse
1,0.6516,1.8417
2,0.7834,1.2179
3,0.7832,0.7319
4,0.7543,0.5184
5,0.7529,0.5158
6,0.7575,0.5202
7,0.7516,0.5133
8,0.7368,0.5041
9,0.7250,0.5367
10,0.7187,0.5880
11,0.7120,0.5734
12,0.7031,0.5270
13,0.6941,0.5043
14,0.6867,0.5008
15,0.6807,0.5027
16,0.6752,0.5028
17,0.6691,0.4994
18,0.6628,0.4980
19,0.6570,0.5032
20,0.6520,0.5108
21,0.6473,0.5126
22,0.6426,0.5052
23,0.6378,0.4969
24,0.6332,0.4930
25,0.6289,0.4943
26,0.6250,0.4961
27,0.6211,0.4945
28,0.6173,0.4916
29,0.6135,0.4896
30,0.6100,0.4903
31,0.6067,0.4932
32,0.6035,0.4914
33,0.6003,0.4875
34,0.5973,0.4874
35,0.5944,0.4884
36,0.5917,0.4906
37,0.5891,0.4887
38,0.5865,0.4873
39,0.5840,0.4862
40,0.5817,0.4891
41,0.5795,0.4872
42,0.5773,0.4859
43,0.5752,0.4851
44,0.5732,0.4855
45,0.5713,0.4859
46,0.5694,0.4846
47,0.5676,0.4832
48,0.5659,0.4842
49,0.5643,0.4856
50,0.5627,0.4854
51,0.5611,0.4836
52,0.5596,0.4830
53,0.5582,0.4836
54,0.5568,0.4836
55,0.5555,0.4823
56,0.5542,0.4821
57,0.5529,0.4832
58,0.5517,0.4833
59,0.5505,0.4826
60,0.5494,0.4814
61,0.5483,0.4817
62,0.5472,0.4826
63,0.5462,0.4820
64,0.5451,0.4816
65,0.5441,0.4824
66,0.5432,0.4814
67,0.5422,0.4811
68,0.5413,0.4812
69,0.5404,0.4811
70,0.5396,0.4816
71,0.5387,0.4807
72,0.5379,0.4812
73,0.5371,0.4812
74,0.5363,0.4804
75,0.5355,0.4803
76,0.5348,0.4796
77,0.5340,0.4800
78,0.5333,0.4794
79,0.5326,0.4793
80,0.5319,0.4796
81,0.5312,0.4789
82,0.5306,0.4791
83,0.5299,0.4791
84,0.5293,0.4788
85,0.5286,0.4782
86,0.5280,0.4784
87,0.5274,0.4790
88,0.5268,0.4781
89,0.5263,0.4780
90,0.5257,0.4789
91,0.5251,0.4782
92,0.5246,0.4782
93,0.5240,0.4773
94,0.5235,0.4778
95,0.5230,0.4774
96,0.5225,0.4770
97,0.5220,0.4766
98,0.5215,0.4771
99,0.5210,0.4768
100,0.5205,0.4762
101,0.5200,0.4767
102,0.5195,0.4758
103,0.5191,0.4764
104,0.5186,0.4763
105,0.5182,0.4763
106,0.5177,0.4759
107,0.5173,0.4763
108,0.5169,0.4768
109,0.5164,0.4757
110,0.5160,0.4757
111,0.5156,0.4764
112,0.5152,0.4770
113,0.5148,0.4766
114,0.5144,0.4760
