iter,loss,rmse
1,0.8411,2.6054
2,1.0532,2.6360
3,1.1134,2.6237
4,1.1067,2.5285
5,1.0610,2.2703
6,0.9935,1.8586
7,0.9190,1.3978
8,0.8520,1.0694
9,0.8002,0.9074
10,0.7628,0.8448
11,0.7341,0.8240
12,0.7084,0.8215
13,0.6841,0.8235
14,0.6598,0.8355
15,0.6360,0.8607
16,0.6142,0.9046
17,0.5954,0.9612
18,0.5796,1.0159
19,0.5656,1.0318
20,0.5519,1.0073
21,0.5387,0.9693
22,0.5262,0.9394
23,0.5146,0.9074
24,0.5040,0.8864
25,0.4942,0.8705
26,0.4852,0.8602
27,0.4768,0.8573
28,0.4688,0.8543
29,0.4611,0.8604
30,0.4538,0.8701
31,0.4468,0.8823
32,0.4402,0.8970
33,0.4340,0.9066
34,0.4282,0.9137
35,0.4226,0.9089
36,0.4173,0.8993
37,0.4122,0.8818
38,0.4073,0.8663
39,0.4026,0.8534
40,0.3981,0.8443
41,0.3939,0.8391
42,0.3898,0.8378
43,0.3859,0.8393
44,0.3821,0.8424
45,0.3784,0.8486
46,0.3750,0.8555
47,0.3716,0.8607
48,0.3684,0.8600
49,0.3653,0.8565
50,0.3623,0.8487
51,0.3595,0.8423
52,0.3567,0.8379
53,0.3540,0.8360
54,0.3514,0.8378
55,0.3489,0.8410
56,0.3465,0.8460
57,0.3441,0.8513
58,0.3419,0.8555
59,0.3397,0.8564
60,0.3375,0.8539
61,0.3355,0.8493
62,0.3335,0.8456
63,0.3315,0.8420
64,0.3296,0.8397
65,0.3278,0.8385
66,0.3260,0.8414
67,0.3243,0.8441
68,0.3226,0.8470
69,0.3209,0.8495
70,0.3193,0.8489
71,0.3178,0.8486
72,0.3163,0.8476
73,0.3148,0.8456
74,0.3134,0.8441
75,0.3120,0.8419
76,0.3106,0.8411
77,0.3093,0.8402
78,0.3080,0.8411
79,0.3067,0.8400
80,0.3055,0.8418
81,0.3043,0.8431
82,0.3031,0.8441
83,0.3020,0.8460
84,0.3009,0.8455
85,0.2998,0.8464
86,0.2987,0.8459
87,0.2976,0.8462
88,0.2966,0.8454
89,0.2956,0.8441
90,0.2946,0.8428
91,0.2937,0.8420
92,0.2927,0.8408
93,0.2918,0.8411
94,0.2909,0.8413
95,0.2900,0.8415
96,0.2892,0.8428
97,0.2883,0.8426
98,0.2875,0.8432
99,0.2867,0.8445
100,0.2859,0.8443
101,0.2851,0.8432
102,0.2843,0.8428
103,0.2836,0.8419
104,0.2828,0.8417
105,0.2821,0.8416
106,0.2814,0.8409
107,0.2807,0.8407
108,0.2800,0.8410
109,0.2793,0.8421
110,0.2786,0.8417
111,0.2780,0.8430
112,0.2773,0.8426
113,0.2767,0.8424
114,0.2761,0.8423
115,0.2755,0.8422
116,0.2749,0.8421
117,0.2743,0.8416
118,0.2737,0.8403
119,0.2731,0.8413
120,0.2726,0.8425
121,0.2720,0.8410
122,0.2715,0.8406
123,0.2709,0.8406
124,0.2704,0.8403
125,0.2699,0.8409
126,0.2693,0.8410
127,0.2688,0.8406
128,0.2683,0.8407
129,0.2678,0.8405
130,0.2674,0.8410
131,0.2669,0.8410
132,0.2664,0.8420
133,0.2660,0.8419
134,0.2655,0.8419
135,0.2651,0.8419
136,0.2646,0.8417
137,0.2642,0.8425
138,0.2637,0.8416
139,0.2633,0.8406
140,0.2629,0.8400
141,0.2625,0.8407
142,0.2621,0.8406
143,0.2617,0.8402
144,0.2613,0.8391
145,0.2609,0.8405
146,0.2605,0.8409
147,0.2601,0.8403
148,0.2597,0.8408
149,0.2594,0.8408
150,0.2590,0.8412
151,0.2586,0.8412
152,0.2583,0.8406
153,0.2579,0.8421
154,0.2576,0.8413
155,0.2572,0.8404
156,0.2569,0.8400
157,0.2566,0.8398
158,0.2562,0.8406
159,0.2559,0.8402
160,0.2556,0.8402
161,0.2553,0.8391
162,0.2549,0.8404
163,0.2546,0.8397
164,0.2543,0.8398
165,0.2540,0.8413
166,0.2537,0.8408
167,0.2534,0.8416
168,0.2531,0.8410
169,0.2528,0.8405
170,0.2525,0.8408
171,0.2523,0.8406
172,0.2520,0.8410
173,0.2517,0.8400
174,0.2514,0.8400
175,0.2511,0.8398
176,0.2509,0.8397
177,0.2506,0.8397
178,0.2503,0.8393
179,0.2501,0.8394
180,0.2498,0.8393
181,0.2496,0.8398
182,0.2493,0.8399
183,0.2491,0.8401
184,0.2488,0.8400
185,0.2486,0.8410
186,0.2483,0.8409
187,0.2481,0.8403
188,0.2478,0.8396
189,0.2476,0.8400
190,0.2474,0.8403
191,0.2471,0.8404
192,0.2469,0.8399
193,0.2467,0.8395
194,0.2465,0.8400
195,0.2462,0.8392
196,0.2460,0.8400
197,0.2458,0.8398
198,0.2456,0.8390
199,0.2454,0.8394
200,0.2452,0.8406
201,0.2450,0.8397
202,0.2448,0.8401
203,0.2445,0.8399
204,0.2443,0.8402
205,0.2441,0.8401
206,0.2439,0.8403
207,0.2437,0.8391
208,0.2435,0.8397
209,0.2434,0.8393
210,0.2432,0.8395
211,0.2430,0.8387
212,0.2428,0.8393
213,0.2426,0.8401
214,0.2424,0.8401
215,0.2422,0.8389
216,0.2420,0.8403
217,0.2419,0.8401
218,0.2417,0.8394
219,0.2415,0.8385
220,0.2413,0.8394
221,0.2412,0.8395
222,0.2410,0.8392
223,0.2408,0.8399
224,0.2406,0.8398
225,0.2405,0.8407
226,0.2403,0.8396
227,0.2401,0.8399
228,0.2400,0.8391
229,0.2398,0.8399
230,0.2396,0.8387
231,0.2395,0.8397
232,0.2393,0.8401
233,0.2392,0.8392
234,0.2390,0.8394
235,0.2389,0.8390
236,0.2387,0.8395
237,0.2386,0.8396
238,0.2384,0.8388
239,0.2383,0.8397
240,0.2381,0.8392
241,0.2380,0.8392
242,0.2378,0.8391
243,0.2377,0.8391
244,0.2375,0.8391
245,0.2374,0.8400
246,0.2372,0.8392
247,0.2371,0.8394
248,0.2370,0.8388
249,0.2368,0.8389
250,0.2367,0.8387
251,0.2365,0.8396
252,0.2364,0.8396
253,0.2363,0.8383
254,0.2361,0.8396
255,0.2360,0.8386
256,0.2359,0.8391
257,0.2357,0.8390
258,0.2356,0.8392
259,0.2355,0.8397
260,0.2354,0.8387
261,0.2352,0.8393
262,0.2351,0.8398
263,0.2350,0.8383
264,0.2349,0.8392
265,0.2347,0.8387
266,0.2346,0.8388
267,0.2345,0.8397
268,0.2344,0.8394
269,0.2342,0.8393
270,0.2341,0.8391
271,0.2340,0.8383
272,0.2339,0.8394
273,0.2338,0.8388
274,0.2337,0.8391
275,0.2335,0.8387
276,0.2334,0.8385
277,0.2333,0.8396
278,0.2332,0.8390
279,0.2331,0.8387
280,0.2330,0.8393
281,0.2329,0.8384
282,0.2328,0.8382
283,0.2326,0.8380
284,0.2325,0.8383
285,0.2324,0.8390
286,0.2323,0.8394
287,0.2322,0.8400
288,0.2321,0.8406
289,0.2320,0.8402
290,0.2319,0.8394
291,0.2318,0.8392
292,0.2317,0.8385
293,0.2316,0.8400
294,0.2315,0.8397
295,0.2314,0.8390
296,0.2313,0.8380
297,0.2312,0.8389
298,0.2311,0.8379
299,0.2310,0.8381
300,0.2309,0.8392
301,0.2308,0.8379
302,0.2307,0.8390
303,0.2306,0.8385
304,0.2305,0.8389
305,0.2304,0.8388
306,0.2303,0.8388
307,0.2302,0.8391
308,0.2301,0.8393
309,0.2300,0.8387
310,0.2299,0.8390
311,0.2299,0.8385
312,0.2298,0.8387
313,0.2297,0.8385
