iter,loss,rmse
1,0.8410,3.5411
2,1.0384,2.7758
3,1.0811,1.7748
4,1.0748,1.0028
5,1.0519,0.6814
6,1.0133,0.6064
7,0.9629,0.6529
8,0.9095,0.7432
9,0.8601,0.8153
10,0.8156,0.8594
11,0.7752,0.8956
12,0.7366,1.0000
13,0.7071,1.4215
14,0.6812,1.4540
15,0.6533,1.1024
16,0.6283,0.9708
17,0.6065,0.9362
18,0.5864,0.9383
19,0.5674,0.9470
20,0.5493,0.9821
21,0.5326,1.0578
22,0.5176,1.1344
23,0.5035,1.1070
24,0.4900,1.0298
25,0.4772,0.9759
26,0.4654,0.9484
27,0.4544,0.9394
28,0.4440,0.9428
29,0.4339,0.9567
30,0.4245,0.9873
31,0.4158,1.0259
32,0.4074,0.9948
33,0.3994,0.9563
34,0.3920,0.9369
35,0.3850,0.9322
36,0.3783,0.9347
37,0.3718,0.9456
38,0.3657,0.9692
39,0.3600,0.9828
40,0.3544,0.9688
41,0.3491,0.9551
42,0.3440,0.9471
43,0.3392,0.9458
44,0.3346,0.9496
45,0.3301,0.9584
46,0.3259,0.9706
47,0.3218,0.9798
48,0.3179,0.9789
49,0.3141,0.9720
50,0.3105,0.9612
51,0.3070,0.9535
52,0.3037,0.9514
53,0.3005,0.9539
54,0.2973,0.9598
55,0.2943,0.9682
56,0.2914,0.9715
57,0.2886,0.9683
58,0.2859,0.9602
59,0.2832,0.9543
60,0.2807,0.9513
61,0.2782,0.9521
62,0.2758,0.9576
63,0.2735,0.9610
64,0.2713,0.9645
65,0.2691,0.9622
66,0.2670,0.9587
67,0.2649,0.9560
68,0.2629,0.9531
69,0.2610,0.9547
70,0.2591,0.9587
71,0.2572,0.9627
72,0.2554,0.9661
73,0.2537,0.9623
74,0.2520,0.9574
75,0.2503,0.9565
76,0.2487,0.9564
77,0.2471,0.9580
78,0.2456,0.9609
79,0.2441,0.9614
80,0.2427,0.9616
81,0.2412,0.9600
82,0.2398,0.9577
83,0.2385,0.9555
84,0.2372,0.9577
85,0.2359,0.9584
86,0.2346,0.9594
87,0.2333,0.9595
88,0.2321,0.9573
89,0.2309,0.9560
90,0.2298,0.9573
91,0.2287,0.9584
92,0.2275,0.9599
93,0.2264,0.9582
94,0.2254,0.9568
95,0.2243,0.9561
96,0.2233,0.9581
97,0.2223,0.9566
98,0.2213,0.9587
99,0.2203,0.9590
100,0.2194,0.9582
101,0.2185,0.9578
102,0.2175,0.9555
103,0.2166,0.9568
104,0.2158,0.9582
105,0.2149,0.9575
106,0.2141,0.9589
107,0.2132,0.9566
108,0.2124,0.9567
109,0.2116,0.9556
110,0.2108,0.9552
111,0.2100,0.9566
112,0.2093,0.9575
113,0.2085,0.9578
114,0.2078,0.9560
115,0.2071,0.9561
116,0.2064,0.9559
117,0.2056,0.9556
118,0.2050,0.9570
119,0.2043,0.9551
120,0.2036,0.9558
121,0.2029,0.9551
122,0.2023,0.9551
123,0.2017,0.9554
124,0.2010,0.9548
125,0.2004,0.9541
126,0.1998,0.9548
127,0.1992,0.9538
128,0.1986,0.9553
129,0.1980,0.9556
130,0.1974,0.9557
131,0.1969,0.9544
132,0.1963,0.9524
133,0.1958,0.9526
134,0.1952,0.9535
135,0.1947,0.9534
136,0.1942,0.9545
137,0.1936,0.9539
138,0.1931,0.9545
139,0.1926,0.9538
140,0.1921,0.9553
141,0.1916,0.9535
142,0.1911,0.9520
143,0.1907,0.9529
144,0.1902,0.9526
145,0.1897,0.9518
146,0.1893,0.9535
147,0.1888,0.9540
148,0.1884,0.9509
149,0.1879,0.9494
150,0.1875,0.9522
151,0.1870,0.9516
152,0.1866,0.9548
153,0.1862,0.9530
154,0.1858,0.9502
155,0.1854,0.9512
156,0.1849,0.9535
157,0.1845,0.9536
158,0.1841,0.9533
159,0.1838,0.9532
160,0.1834,0.9521
161,0.1830,0.9511
162,0.1826,0.9495
163,0.1822,0.9521
164,0.1819,0.9536
165,0.1815,0.9573
166,0.1811,0.9508
167,0.1808,0.9496
168,0.1804,0.9484
169,0.1801,0.9527
170,0.1797,0.9515
171,0.1794,0.9537
172,0.1791,0.9516
173,0.1787,0.9499
174,0.1784,0.9490
175,0.1781,0.9524
176,0.1777,0.9514
177,0.1774,0.9534
178,0.1771,0.9516
179,0.1768,0.9526
180,0.1765,0.9499
181,0.1762,0.9489
182,0.1759,0.9491
183,0.1756,0.9521
184,0.1753,0.9526
185,0.1750,0.9524
186,0.1747,0.9520
187,0.1744,0.9502
188,0.1741,0.9497
189,0.1738,0.9517
190,0.1736,0.9530
191,0.1733,0.9521
192,0.1730,0.9517
193,0.1727,0.9499
194,0.1725,0.9503
195,0.1722,0.9524
196,0.1720,0.9513
197,0.1717,0.9505
198,0.1714,0.9483
199,0.1712,0.9509
200,0.1709,0.9511
201,0.1707,0.9533
202,0.1704,0.9512
203,0.1702,0.9508
204,0.1699,0.9511
205,0.1697,0.9493
206,0.1695,0.9518
