iter,loss,rmse
1,0.7140,1.5756
2,0.9263,1.4548
3,1.0723,1.6742
4,1.1293,1.3762
5,1.2133,1.5171
6,1.2414,1.7688
7,1.2810,1.4153
8,1.3126,1.5679
9,1.3070,1.4342
10,1.3124,1.4294
11,1.3219,1.7069
12,1.3265,1.7276
13,1.3823,2.5641
14,1.3840,1.5136
15,1.3810,1.4323
16,1.3753,1.3209
17,1.3887,1.9777
18,1.3877,1.6883
19,1.3946,1.9863
20,1.3933,1.5486
21,1.3865,1.1497
22,1.3792,1.4353
23,1.3736,1.6089
24,1.3775,1.5867
25,1.3744,1.4780
26,1.3704,1.3569
27,1.3677,1.5341
28,1.3646,1.6203
29,1.3601,1.5038
30,1.3579,1.6714
31,1.3661,1.6374
32,1.3682,1.5926
33,1.3638,1.7324
34,1.3599,1.6199
35,1.3535,1.6182
36,1.3492,1.4611
37,1.3495,1.7105
38,1.3449,1.6810
39,1.3397,1.5916
40,1.3369,1.3695
41,1.3367,1.5617
42,1.3340,1.4596
43,1.3367,1.7364
44,1.3403,1.8268
45,1.3378,1.6939
46,1.3387,1.5142
47,1.3375,1.4020
48,1.3355,1.5403
49,1.3339,1.5736
50,1.3291,1.5049
51,1.3271,1.5505
52,1.3266,1.6165
53,1.3209,1.4592
54,1.3168,1.4734
55,1.3208,1.4696
56,1.3201,1.6818
57,1.3206,1.7034
58,1.3213,1.7214
59,1.3203,1.5207
60,1.3210,1.3802
61,1.3195,1.3828
62,1.3155,1.6065
63,1.3126,1.5656
64,1.3100,1.4520
65,1.3124,2.2586
66,1.3105,1.6517
67,1.3080,1.4326
68,1.3043,1.5554
69,1.3031,1.5281
70,1.2979,1.4305
71,1.2934,1.3444
72,1.2913,1.6439
73,1.2890,1.2438
74,1.2895,1.3053
75,1.2869,1.2902
76,1.2846,1.3619
77,1.2823,1.3965
78,1.2825,1.4957
79,1.2797,1.4829
80,1.2768,1.4640
81,1.2770,1.4262
82,1.2789,1.5236
83,1.2764,1.3760
84,1.2744,1.5935
85,1.2747,1.7903
86,1.2743,1.6548
87,1.2715,1.5537
88,1.2690,1.4062
89,1.2694,1.3945
90,1.2660,1.2885
91,1.2683,1.5119
92,1.2670,1.3439
93,1.2659,1.2785
94,1.2659,1.4292
95,1.2640,1.2101
96,1.2618,1.3553
97,1.2611,1.4688
98,1.2585,1.3134
99,1.2561,1.0660
100,1.2537,1.1794
101,1.2523,1.5674
102,1.2504,1.4197
103,1.2484,1.5003
104,1.2476,1.4548
105,1.2464,1.4261
106,1.2443,1.3255
107,1.2445,1.4073
108,1.2443,1.4618
109,1.2449,1.9450
110,1.2439,1.2769
111,1.2447,1.7242
112,1.2446,1.5829
113,1.2441,1.3874
114,1.2415,1.2779
115,1.2413,1.4941
116,1.2390,1.1725
117,1.2368,1.4284
118,1.2364,1.5171
119,1.2356,1.1980
120,1.2337,1.3753
121,1.2321,1.3888
122,1.2303,1.2714
123,1.2298,1.5476
124,1.2291,1.5236
125,1.2293,1.4222
126,1.2288,1.4333
127,1.2259,1.1792
128,1.2250,1.3884
129,1.2236,1.1639
130,1.2213,1.3823
131,1.2181,0.9997
132,1.2169,1.2586
133,1.2170,1.4790
134,1.2162,1.2003
135,1.2159,1.4689
136,1.2146,1.2792
137,1.2144,1.1742
138,1.2128,1.2728
139,1.2119,1.2380
140,1.2114,1.4860
141,1.2109,1.6845
142,1.2100,1.4808
143,1.2090,1.2201
144,1.2092,1.5497
145,1.2098,1.1694
146,1.2084,1.4547
147,1.2083,1.1131
148,1.2078,1.4441
149,1.2080,1.2812
150,1.2073,1.1880
151,1.2069,1.5825
152,1.2066,1.7032
153,1.2068,1.4549
154,1.2060,1.4103
155,1.2053,1.1667
156,1.2058,1.5134
157,1.2063,1.2703
158,1.2060,1.5779
159,1.2070,1.5323
160,1.2092,1.7024
161,1.2075,1.1651
162,1.2070,1.4170
163,1.2068,1.2781
164,1.2063,1.4377
165,1.2057,1.4008
166,1.2059,1.3633
167,1.2045,1.2441
168,1.2039,1.1847
169,1.2046,1.5714
170,1.2040,1.2564
171,1.2038,1.6485
172,1.2024,1.3859
173,1.2009,1.1565
174,1.2002,1.3861
175,1.2000,1.5471
176,1.1988,1.2524
177,1.1978,1.3458
178,1.1970,1.1112
179,1.1968,1.3797
180,1.1966,1.3640
181,1.1959,1.1120
182,1.1962,1.5167
183,1.1955,1.3712
184,1.1938,1.0234
185,1.1942,1.3874
186,1.1940,1.3509
187,1.1927,0.8660
188,1.1909,1.0695
189,1.1903,1.3158
190,1.1894,1.5430
191,1.1890,1.1457
192,1.1881,1.2424
193,1.1864,0.8667
194,1.1860,1.0848
195,1.1861,0.9551
196,1.1851,1.0750
197,1.1845,1.3709
198,1.1826,1.0434
199,1.1816,1.1438
200,1.1790,0.7642
201,1.1783,1.2158
202,1.1766,1.2340
203,1.1765,1.3650
204,1.1762,0.9822
205,1.1768,1.4207
206,1.1774,1.2347
207,1.1774,1.5053
208,1.1764,1.0923
209,1.1757,1.2128
210,1.1753,1.3861
211,1.1743,1.0490
212,1.1736,1.3474
213,1.1728,1.2228
214,1.1713,1.0362
215,1.1716,1.3788
216,1.1708,1.2756
217,1.1699,1.0923
218,1.1698,1.1320
219,1.1697,1.6576
220,1.1688,0.9584
221,1.1690,1.5104
222,1.1680,1.1122
223,1.1677,1.3244
224,1.1664,0.9987
225,1.1661,1.0328
226,1.1648,0.9147
227,1.1644,1.2051
