iter,loss,rmse
1,0.9862,4.9996
2,1.2731,4.8390
3,1.4113,3.5596
4,1.4329,3.9059
5,1.4321,3.3228
6,1.4479,4.1109
7,1.4293,3.5255
8,1.4199,3.0923
9,1.4005,3.1216
10,1.3885,3.5426
11,1.3689,3.1852
12,1.3512,2.6976
13,1.3314,2.6371
14,1.3108,2.7288
15,1.2922,2.8134
16,1.2733,2.6662
17,1.2552,2.4528
18,1.2381,2.4656
19,1.2219,2.4303
20,1.2063,2.5323
21,1.1913,2.5456
22,1.1767,2.5309
23,1.1624,2.4379
24,1.1489,2.3701
25,1.1362,2.3768
26,1.1236,2.3630
27,1.1128,2.4576
28,1.1012,2.3928
29,1.0899,2.3789
30,1.0791,2.3782
31,1.0685,2.3565
32,1.0585,2.3433
33,1.0486,2.3172
34,1.0390,2.3067
35,1.0299,2.3562
36,1.0209,2.3508
37,1.0119,2.3099
38,1.0032,2.2595
39,0.9947,2.2492
40,0.9865,2.2854
41,0.9783,2.2961
42,0.9702,2.2862
43,0.9624,2.2949
44,0.9545,2.2506
45,0.9466,2.2460
46,0.9390,2.2732
47,0.9313,2.2269
48,0.9237,2.2033
49,0.9161,2.1983
50,0.9085,2.1951
51,0.9013,2.2380
52,0.8938,2.2012
53,0.8864,2.2080
54,0.8793,2.2152
55,0.8721,2.1479
56,0.8651,2.1165
57,0.8581,2.1245
58,0.8511,2.0997
59,0.8443,2.1132
60,0.8378,2.1447
61,0.8312,2.1290
62,0.8247,2.1076
63,0.8184,2.1170
64,0.8121,2.0983
65,0.8059,2.1194
66,0.7997,2.0787
67,0.7935,2.0437
68,0.7876,2.0896
69,0.7816,2.0533
70,0.7759,2.1283
71,0.7701,2.0301
72,0.7643,2.0045
73,0.7588,2.0486
74,0.7533,2.0608
75,0.7477,2.0071
76,0.7422,1.9934
77,0.7369,2.0564
78,0.7316,2.0317
79,0.7264,1.9985
80,0.7212,1.9796
81,0.7161,2.0251
82,0.7111,2.0301
83,0.7062,2.0387
84,0.7011,1.9559
85,0.6962,1.9748
86,0.6914,1.9821
87,0.6866,1.9863
88,0.6818,1.9584
89,0.6772,1.9383
90,0.6727,1.9377
91,0.6682,1.9194
92,0.6637,1.9238
93,0.6593,1.9163
94,0.6549,1.9749
95,0.6506,1.9926
96,0.6463,1.9216
97,0.6422,1.8988
98,0.6380,1.8863
99,0.6339,1.8796
100,0.6298,1.8906
101,0.6258,1.8568
102,0.6218,1.9386
103,0.6179,1.8899
104,0.6141,1.8810
105,0.6102,1.8556
106,0.6065,1.8526
107,0.6027,1.8285
108,0.5990,1.8423
109,0.5955,1.8800
110,0.5919,1.8280
111,0.5884,1.8971
112,0.5849,1.8354
113,0.5814,1.8059
114,0.5781,1.8938
115,0.5748,1.8765
116,0.5714,1.8021
117,0.5682,1.7753
118,0.5650,1.8146
119,0.5618,1.8076
120,0.5588,1.8908
121,0.5557,1.8653
122,0.5526,1.7982
123,0.5496,1.8346
124,0.5467,1.8160
125,0.5438,1.8419
126,0.5409,1.8512
127,0.5380,1.7678
128,0.5351,1.7259
129,0.5323,1.7495
130,0.5295,1.7514
131,0.5267,1.7831
132,0.5239,1.7731
133,0.5212,1.8214
134,0.5185,1.7478
135,0.5159,1.6990
136,0.5132,1.7234
137,0.5107,1.7414
138,0.5081,1.7575
139,0.5056,1.8046
140,0.5031,1.7493
141,0.5006,1.7371
142,0.4982,1.7525
143,0.4958,1.7268
144,0.4934,1.6681
145,0.4910,1.6552
146,0.4887,1.7298
147,0.4863,1.6862
148,0.4841,1.8207
149,0.4818,1.7658
150,0.4796,1.6685
151,0.4774,1.6545
152,0.4752,1.7182
153,0.4730,1.7007
154,0.4709,1.7121
155,0.4688,1.7282
156,0.4667,1.6880
157,0.4647,1.7330
158,0.4627,1.6961
159,0.4607,1.7733
160,0.4587,1.7367
161,0.4567,1.6737
162,0.4547,1.6501
163,0.4529,1.7011
164,0.4510,1.7025
165,0.4492,1.8094
166,0.4474,1.7791
167,0.4455,1.7016
168,0.4437,1.7014
169,0.4419,1.6214
170,0.4400,1.6413
171,0.4383,1.6644
172,0.4365,1.6877
173,0.4347,1.6828
174,0.4330,1.7123
175,0.4313,1.6461
176,0.4295,1.6266
177,0.4278,1.6336
178,0.4261,1.6442
179,0.4244,1.6609
180,0.4228,1.7182
181,0.4211,1.6500
182,0.4195,1.6520
183,0.4178,1.6073
184,0.4163,1.6021
185,0.4147,1.6088
186,0.4131,1.6411
187,0.4116,1.6280
188,0.4101,1.6953
189,0.4085,1.5845
190,0.4070,1.6196
191,0.4055,1.6639
192,0.4040,1.6399
193,0.4026,1.6897
194,0.4011,1.6527
195,0.3996,1.6118
196,0.3982,1.5786
197,0.3968,1.6027
198,0.3954,1.6085
199,0.3940,1.6614
200,0.3925,1.6321
201,0.3911,1.5992
202,0.3898,1.5974
203,0.3885,1.6059
204,0.3872,1.6161
205,0.3858,1.6101
206,0.3845,1.6854
207,0.3832,1.6417
208,0.3819,1.6139
209,0.3806,1.5459
210,0.3793,1.5687
211,0.3780,1.5685
212,0.3768,1.6379
213,0.3755,1.6063
214,0.3742,1.5622
215,0.3730,1.5855
216,0.3718,1.5721
217,0.3706,1.5810
218,0.3694,1.6199
219,0.3682,1.6258
220,0.3670,1.5749
221,0.3658,1.5822
222,0.3646,1.5836
223,0.3634,1.5370
224,0.3623,1.5732
225,0.3611,1.5800
226,0.3600,1.6382
227,0.3589,1.6344
228,0.3578,1.5994
229,0.3567,1.5548
230,0.3557,1.5929
231,0.3546,1.5532
232,0.3535,1.5586
233,0.3524,1.6318
234,0.3514,1.6972
235,0.3503,1.6118
236,0.3493,1.5874
237,0.3483,1.5186
238,0.3472,1.4893
239,0.3462,1.5840
240,0.3451,1.5737
241,0.3441,1.6274
242,0.3431,1.5872
243,0.3421,1.5530
244,0.3411,1.5255
245,0.3401,1.5392
246,0.3391,1.5670
247,0.3381,1.6052
248,0.3372,1.5908
249,0.3362,1.5545
250,0.3353,1.5699
251,0.3343,1.4893
252,0.3333,1.5027
253,0.3323,1.5136
254,0.3314,1.5225
255,0.3305,1.6109
256,0.3295,1.5385
257,0.3286,1.5109
258,0.3277,1.5404
259,0.3267,1.5116
260,0.3259,1.5164
261,0.3250,1.5221
262,0.3241,1.5661
263,0.3232,1.5432
264,0.3223,1.5474
265,0.3214,1.5117
266,0.3205,1.4873
267,0.3196,1.5124
268,0.3188,1.4973
269,0.3179,1.5400
270,0.3171,1.5275
271,0.3162,1.5126
272,0.3153,1.5417
273,0.3145,1.5424
274,0.3137,1.5353
275,0.3128,1.5039
276,0.3120,1.4893
277,0.3112,1.5146
278,0.3104,1.4861
279,0.3095,1.4327
280,0.3087,1.4908
281,0.3079,1.4518
282,0.3071,1.5168
283,0.3063,1.5633
284,0.3055,1.5244
285,0.3047,1.5199
286,0.3039,1.5192
287,0.3031,1.4934
288,0.3023,1.4597
289,0.3016,1.5102
290,0.3008,1.5062
291,0.3000,1.4814
292,0.2993,1.4876
293,0.2985,1.4836
294,0.2978,1.5004
295,0.2971,1.5297
296,0.2963,1.4746
297,0.2956,1.5045
298,0.2949,1.5236
299,0.2942,1.4941
300,0.2934,1.4822
301,0.2927,1.5030
302,0.2920,1.4733
303,0.2913,1.5211
304,0.2907,1.5477
305,0.2899,1.4662
306,0.2892,1.4865
307,0.2885,1.4576
308,0.2878,1.4572
309,0.2872,1.4831
310,0.2865,1.4950
311,0.2858,1.4895
312,0.2851,1.5016
313,0.2845,1.5016
314,0.2838,1.4941
315,0.2831,1.4970
316,0.2825,1.4834
317,0.2818,1.4568
318,0.2812,1.4702
319,0.2806,1.5023
320,0.2799,1.4937
321,0.2793,1.4734
322,0.2787,1.4786
323,0.2780,1.5106
324,0.2774,1.5133
325,0.2768,1.4861
326,0.2762,1.4567
327,0.2755,1.4971
328,0.2749,1.4248
329,0.2743,1.4536
330,0.2737,1.4508
331,0.2731,1.4868
332,0.2725,1.4536
333,0.2719,1.4799
334,0.2713,1.4877
335,0.2707,1.5405
336,0.2701,1.4891
337,0.2696,1.4845
338,0.2690,1.4661
339,0.2684,1.4714
340,0.2678,1.4842
341,0.2672,1.4624
342,0.2666,1.4542
343,0.2661,1.4835
344,0.2655,1.4252
345,0.2650,1.4785
346,0.2644,1.4759
347,0.2639,1.4470
348,0.2633,1.5008
349,0.2628,1.4681
350,0.2622,1.4836
351,0.2617,1.4781
352,0.2611,1.5021
353,0.2606,1.4868
354,0.2600,1.4296
355,0.2595,1.4784
356,0.2590,1.4506
357,0.2585,1.4402
358,0.2580,1.4741
359,0.2574,1.4459
360,0.2569,1.4726
361,0.2564,1.4495
362,0.2559,1.5247
363,0.2554,1.5029
364,0.2549,1.5293
365,0.2544,1.4704
366,0.2539,1.4903
367,0.2534,1.5011
368,0.2529,1.4665
369,0.2524,1.4516
370,0.2519,1.4249
371,0.2514,1.4616
372,0.2509,1.4538
373,0.2505,1.4808
374,0.2500,1.4618
375,0.2495,1.5073
376,0.2490,1.5093
377,0.2486,1.4812
378,0.2481,1.4592
379,0.2476,1.4479
380,0.2471,1.4488
381,0.2467,1.4377
382,0.2462,1.4320
383,0.2458,1.4811
384,0.2453,1.4315
