iter,loss,rmse
1,0.9851,4.3398
2,1.2790,4.2282
3,1.4354,3.6271
4,1.4844,3.6427
5,1.4987,3.4512
6,1.4987,3.3395
7,1.4938,3.2120
8,1.4890,3.4025
9,1.4770,2.9410
10,1.4624,2.7863
11,1.4496,2.8143
12,1.4352,2.6774
13,1.4221,2.6777
14,1.4082,2.6115
15,1.3938,2.6712
16,1.3812,2.7701
17,1.3684,2.6693
18,1.3559,2.6328
19,1.3438,2.5479
20,1.3322,2.5547
21,1.3224,2.6961
22,1.3119,2.5964
23,1.3017,2.4892
24,1.2923,2.4713
25,1.2827,2.5295
26,1.2739,2.5969
27,1.2649,2.5861
28,1.2557,2.5201
29,1.2473,2.4869
30,1.2387,2.4495
31,1.2304,2.4114
32,1.2227,2.4095
33,1.2148,2.4275
34,1.2071,2.4292
35,1.1994,2.4438
36,1.1921,2.4541
37,1.1846,2.3622
38,1.1776,2.2934
39,1.1703,2.3121
40,1.1638,2.4832
41,1.1571,2.4095
42,1.1500,2.3181
43,1.1429,2.2428
44,1.1358,2.1678
45,1.1288,2.2710
46,1.1220,2.3686
47,1.1148,2.2415
48,1.1077,2.2181
49,1.1009,2.1370
50,1.0937,2.0942
51,1.0871,2.3027
52,1.0801,2.3060
53,1.0732,2.2299
54,1.0661,2.0481
55,1.0590,2.0412
56,1.0519,2.0948
57,1.0451,2.1666
58,1.0381,2.1621
59,1.0311,2.0657
60,1.0242,2.0181
61,1.0173,2.0606
62,1.0105,2.0538
63,1.0035,1.9841
64,0.9967,2.0222
65,0.9900,1.9599
66,0.9832,2.0039
67,0.9766,2.0595
68,0.9699,2.0272
69,0.9634,1.9532
70,0.9572,1.9230
71,0.9509,1.9146
72,0.9445,1.9501
73,0.9381,1.9291
74,0.9321,1.9301
75,0.9259,1.8499
76,0.9197,1.8540
77,0.9139,1.9626
78,0.9081,1.8217
79,0.9024,1.8092
80,0.8969,1.9146
81,0.8914,1.9264
82,0.8858,1.8360
83,0.8803,1.8203
84,0.8751,1.8059
85,0.8699,1.8357
86,0.8648,1.8297
87,0.8597,1.7902
88,0.8548,1.7491
89,0.8499,1.7137
90,0.8450,1.7854
91,0.8402,1.8439
92,0.8356,1.8808
93,0.8310,1.7484
94,0.8265,1.7690
95,0.8221,1.7708
96,0.8176,1.6918
97,0.8132,1.7096
98,0.8089,1.7303
99,0.8047,1.7466
100,0.8006,1.7303
101,0.7964,1.6477
102,0.7923,1.7210
103,0.7884,1.6949
104,0.7846,1.7617
105,0.7809,1.6981
106,0.7770,1.6770
107,0.7733,1.6519
108,0.7696,1.6876
109,0.7662,1.7660
110,0.7627,1.7332
111,0.7595,1.8027
112,0.7565,1.8096
113,0.7532,1.7044
114,0.7499,1.7125
115,0.7467,1.7789
116,0.7436,1.6252
117,0.7405,1.6390
118,0.7373,1.6727
119,0.7343,1.7163
120,0.7312,1.7071
121,0.7282,1.6123
122,0.7253,1.6360
123,0.7223,1.6260
124,0.7194,1.6229
125,0.7165,1.6281
126,0.7137,1.6486
127,0.7110,1.6259
128,0.7082,1.6218
129,0.7055,1.7511
130,0.7029,1.6923
131,0.7003,1.6180
132,0.6976,1.5543
133,0.6950,1.6134
134,0.6925,1.6937
135,0.6900,1.6444
136,0.6875,1.5835
137,0.6851,1.5818
138,0.6827,1.6476
139,0.6803,1.6557
140,0.6779,1.5868
141,0.6756,1.6041
142,0.6733,1.5395
143,0.6709,1.5474
144,0.6686,1.5847
145,0.6664,1.6132
146,0.6642,1.6624
147,0.6619,1.5756
148,0.6598,1.6367
149,0.6576,1.5682
150,0.6555,1.5199
151,0.6534,1.5462
152,0.6513,1.5857
153,0.6493,1.6100
154,0.6472,1.5556
155,0.6452,1.5335
156,0.6432,1.5093
157,0.6412,1.5546
158,0.6393,1.5811
159,0.6374,1.6388
160,0.6355,1.5812
161,0.6336,1.5040
162,0.6317,1.4783
163,0.6299,1.5357
164,0.6281,1.5631
165,0.6264,1.6063
166,0.6246,1.5698
167,0.6228,1.5477
168,0.6211,1.6015
169,0.6195,1.5810
170,0.6177,1.5436
171,0.6160,1.5520
172,0.6143,1.5171
173,0.6127,1.5305
174,0.6110,1.5204
175,0.6093,1.4916
176,0.6076,1.4962
177,0.6060,1.5401
178,0.6044,1.5334
179,0.6028,1.4823
180,0.6012,1.5713
181,0.5996,1.5019
182,0.5981,1.4909
183,0.5965,1.5174
184,0.5951,1.5044
185,0.5936,1.5164
186,0.5921,1.5187
187,0.5906,1.5376
188,0.5892,1.5130
189,0.5877,1.4695
190,0.5863,1.4924
191,0.5849,1.4728
192,0.5834,1.4790
193,0.5820,1.4676
194,0.5806,1.4536
195,0.5792,1.5186
196,0.5778,1.4509
197,0.5765,1.5230
198,0.5752,1.4908
199,0.5738,1.5233
200,0.5725,1.5109
201,0.5712,1.4783
202,0.5700,1.4728
203,0.5687,1.4503
204,0.5676,1.5519
205,0.5664,1.4770
206,0.5652,1.5466
207,0.5640,1.5497
208,0.5628,1.5453
209,0.5616,1.4825
210,0.5604,1.4945
211,0.5592,1.4634
212,0.5580,1.4695
213,0.5569,1.4915
214,0.5557,1.4790
215,0.5546,1.4910
216,0.5534,1.4914
217,0.5523,1.4942
218,0.5512,1.5228
219,0.5501,1.4805
220,0.5490,1.4426
221,0.5479,1.4561
222,0.5468,1.4570
223,0.5457,1.4486
224,0.5447,1.5250
225,0.5436,1.4785
226,0.5426,1.4783
227,0.5416,1.4830
228,0.5405,1.4713
229,0.5395,1.4496
230,0.5385,1.4868
231,0.5375,1.4590
232,0.5365,1.4539
233,0.5355,1.4553
234,0.5345,1.5184
235,0.5336,1.4729
236,0.5326,1.4600
237,0.5316,1.4229
238,0.5306,1.4062
239,0.5297,1.4944
240,0.5288,1.4537
241,0.5278,1.4745
242,0.5269,1.4658
243,0.5260,1.4559
244,0.5250,1.4418
245,0.5242,1.4921
246,0.5233,1.4777
247,0.5224,1.4483
248,0.5215,1.4491
249,0.5206,1.4989
250,0.5198,1.3992
251,0.5189,1.4367
252,0.5180,1.4366
253,0.5172,1.4432
254,0.5163,1.3996
255,0.5155,1.4968
256,0.5146,1.4414
257,0.5137,1.4541
258,0.5129,1.4450
259,0.5121,1.4636
260,0.5113,1.4513
261,0.5105,1.4261
262,0.5097,1.4782
263,0.5089,1.4399
264,0.5081,1.4240
265,0.5073,1.4223
266,0.5064,1.3872
267,0.5057,1.4563
268,0.5049,1.4391
269,0.5041,1.4102
270,0.5033,1.4383
271,0.5025,1.4503
272,0.5018,1.4240
273,0.5010,1.4546
274,0.5003,1.4496
275,0.4995,1.3590
276,0.4987,1.3991
277,0.4980,1.4451
278,0.4972,1.3859
279,0.4965,1.3600
280,0.4957,1.4263
281,0.4950,1.4188
282,0.4943,1.4422
283,0.4936,1.4635
284,0.4929,1.4256
285,0.4922,1.4171
286,0.4915,1.4288
287,0.4908,1.4073
288,0.4902,1.4357
289,0.4895,1.4288
290,0.4888,1.4652
291,0.4881,1.4473
292,0.4875,1.4370
293,0.4868,1.4744
294,0.4862,1.3886
295,0.4855,1.4181
296,0.4848,1.3792
297,0.4842,1.3651
298,0.4836,1.3918
299,0.4829,1.4233
300,0.4823,1.4518
301,0.4817,1.4621
302,0.4811,1.4597
303,0.4805,1.5000
304,0.4799,1.3722
305,0.4792,1.3887
306,0.4787,1.4410
307,0.4780,1.4007
308,0.4775,1.4655
309,0.4769,1.4386
310,0.4763,1.4187
311,0.4757,1.4252
312,0.4751,1.4014
313,0.4745,1.4485
314,0.4739,1.3753
315,0.4734,1.4428
316,0.4728,1.3860
317,0.4722,1.4186
318,0.4717,1.4302
319,0.4711,1.4142
320,0.4706,1.4542
321,0.4700,1.3943
322,0.4694,1.4067
323,0.4688,1.4012
324,0.4683,1.3893
325,0.4677,1.4209
326,0.4672,1.3651
327,0.4666,1.4571
328,0.4661,1.3774
329,0.4655,1.3898
330,0.4650,1.3895
331,0.4645,1.3765
332,0.4639,1.4046
333,0.4634,1.4034
334,0.4629,1.4170
335,0.4624,1.4533
336,0.4618,1.3496
337,0.4613,1.4008
338,0.4607,1.3398
339,0.4602,1.3475
340,0.4597,1.3888
341,0.4591,1.3726
342,0.4586,1.4002
343,0.4581,1.4178
344,0.4576,1.4009
345,0.4571,1.3934
346,0.4566,1.3653
347,0.4561,1.3222
348,0.4556,1.3804
349,0.4551,1.3921
350,0.4546,1.3971
351,0.4541,1.3784
352,0.4536,1.3789
353,0.4531,1.4039
354,0.4526,1.3626
355,0.4521,1.3722
356,0.4516,1.3710
357,0.4511,1.3662
358,0.4507,1.4248
359,0.4502,1.3747
360,0.4497,1.3941
361,0.4492,1.3996
362,0.4488,1.4338
363,0.4483,1.4123
364,0.4479,1.3871
365,0.4474,1.3595
366,0.4469,1.3237
367,0.4465,1.3482
368,0.4460,1.3455
369,0.4455,1.3439
370,0.4451,1.3447
371,0.4446,1.3911
372,0.4442,1.3487
373,0.4437,1.3887
374,0.4433,1.3499
375,0.4428,1.3896
376,0.4424,1.3656
377,0.4419,1.3812
378,0.4415,1.3973
379,0.4411,1.3750
380,0.4406,1.3980
381,0.4402,1.3557
382,0.4398,1.3633
383,0.4394,1.3865
384,0.4389,1.3395
385,0.4385,1.3618
386,0.4381,1.3334
387,0.4377,1.3298
388,0.4373,1.3864
389,0.4368,1.3560
390,0.4364,1.3914
391,0.4360,1.4061
392,0.4356,1.3401
393,0.4352,1.3438
394,0.4348,1.3327
395,0.4344,1.3810
396,0.4339,1.3398
397,0.4335,1.3403
398,0.4331,1.3457
399,0.4327,1.3432
400,0.4323,1.3643
401,0.4319,1.3487
402,0.4315,1.3212
403,0.4311,1.4070
404,0.4307,1.3685
405,0.4303,1.3445
406,0.4300,1.3450
407,0.4296,1.3181
408,0.4292,1.3658
409,0.4288,1.3695
410,0.4284,1.3264
411,0.4280,1.3463
412,0.4277,1.3654
413,0.4273,1.3371
414,0.4269,1.3238
415,0.4265,1.3329
416,0.4261,1.3620
417,0.4257,1.3447
418,0.4253,1.3396
419,0.4250,1.3675
420,0.4246,1.3584
421,0.4242,1.3278
422,0.4239,1.4065
423,0.4235,1.3420
424,0.4232,1.3512
425,0.4229,1.3583
426,0.4225,1.3416
427,0.4221,1.3311
428,0.4218,1.3531
429,0.4214,1.3603
430,0.4211,1.3625
431,0.4207,1.3616
432,0.4204,1.3363
433,0.4200,1.3412
434,0.4197,1.3417
435,0.4193,1.3500
436,0.4190,1.3710
437,0.4187,1.3407
438,0.4184,1.3979
439,0.4180,1.3578
440,0.4177,1.3396
441,0.4173,1.3106
442,0.4170,1.3939
443,0.4167,1.3620
444,0.4164,1.3458
445,0.4160,1.3382
446,0.4157,1.3595
447,0.4154,1.3758
448,0.4151,1.3626
449,0.4148,1.3815
450,0.4144,1.3529
451,0.4141,1.3033
452,0.4138,1.3127
453,0.4135,1.3359
454,0.4132,1.3612
455,0.4128,1.2988
456,0.4125,1.3479
457,0.4122,1.3189
458,0.4119,1.3462
459,0.4116,1.3703
460,0.4113,1.3741
461,0.4110,1.3500
462,0.4106,1.3468
463,0.4103,1.3615
464,0.4100,1.3297
465,0.4097,1.3582
466,0.4094,1.3129
467,0.4091,1.3178
468,0.4088,1.3698
469,0.4085,1.2935
470,0.4082,1.3247
471,0.4079,1.2882
472,0.4076,1.3808
473,0.4073,1.3092
474,0.4070,1.3474
475,0.4067,1.3217
476,0.4064,1.3193
477,0.4061,1.3127
478,0.4058,1.3395
479,0.4055,1.3549
480,0.4052,1.3276
481,0.4050,1.3308
482,0.4047,1.3342
483,0.4044,1.3467
484,0.4041,1.3225
485,0.4038,1.3092
486,0.4035,1.3396
487,0.4032,1.3244
488,0.4029,1.3254
489,0.4027,1.3368
490,0.4024,1.3627
491,0.4021,1.3141
492,0.4018,1.3489
493,0.4016,1.3201
494,0.4013,1.3364
495,0.4010,1.3200
496,0.4007,1.2919
497,0.4005,1.3901
498,0.4002,1.3445
499,0.3999,1.3264
500,0.3997,1.3845
501,0.3994,1.3079
502,0.3992,1.3492
503,0.3989,1.3305
504,0.3986,1.2950
505,0.3983,1.3100
506,0.3981,1.3477
507,0.3978,1.3230
508,0.3976,1.3498
509,0.3973,1.3068
510,0.3970,1.3066
511,0.3968,1.3519
512,0.3965,1.3522
513,0.3963,1.3514
514,0.3960,1.3178
515,0.3957,1.3108
516,0.3955,1.3144
517,0.3952,1.2932
518,0.3950,1.3241
519,0.3947,1.3531
520,0.3945,1.3591
521,0.3942,1.3561
522,0.3940,1.3586
523,0.3938,1.3505
524,0.3935,1.3349
525,0.3933,1.3256
526,0.3931,1.3495
527,0.3928,1.3313
528,0.3926,1.3291
529,0.3923,1.3596
530,0.3921,1.3451
531,0.3919,1.3057
532,0.3916,1.3029
533,0.3914,1.3551
534,0.3911,1.3351
535,0.3909,1.3461
536,0.3907,1.3508
537,0.3905,1.3548
538,0.3902,1.3447
539,0.3900,1.3319
540,0.3898,1.3591
541,0.3895,1.3006
542,0.3893,1.3584
543,0.3891,1.2759
544,0.3888,1.2850
545,0.3886,1.2865
546,0.3884,1.3041
547,0.3881,1.3209
548,0.3879,1.3532
549,0.3877,1.3275
550,0.3875,1.3168
551,0.3872,1.3582
552,0.3870,1.3367
553,0.3868,1.3530
554,0.3866,1.3312
555,0.3863,1.3167
556,0.3861,1.3310
557,0.3859,1.3330
558,0.3857,1.3603
559,0.3855,1.3435
560,0.3852,1.2790
561,0.3850,1.3487
562,0.3848,1.3059
563,0.3846,1.3241
564,0.3844,1.3224
565,0.3842,1.2886
566,0.3840,1.3284
567,0.3838,1.3347
568,0.3835,1.3484
569,0.3833,1.3064
570,0.3831,1.3107
571,0.3829,1.3463
572,0.3827,1.3522
573,0.3825,1.3421
574,0.3823,1.3715
575,0.3821,1.2842
576,0.3819,1.3257
577,0.3817,1.3287
578,0.3815,1.3382
579,0.3813,1.3330
580,0.3811,1.2967
581,0.3808,1.3120
582,0.3807,1.3251
583,0.3804,1.3025
584,0.3802,1.3242
585,0.3800,1.3536
586,0.3798,1.3363
