iter,loss,rmse
1,0.9852,4.3399
2,1.2793,4.2260
3,1.4245,3.5970
4,1.4712,3.6363
5,1.4884,3.4476
6,1.4905,3.2620
7,1.4867,3.4187
8,1.4787,3.1234
9,1.4657,3.0707
10,1.4543,2.8265
11,1.4432,2.6624
12,1.4320,2.6190
13,1.4234,3.0201
14,1.4100,2.8248
15,1.3979,2.7089
16,1.3869,2.6814
17,1.3746,2.7157
18,1.3629,2.7632
19,1.3512,2.6794
20,1.3401,2.6217
21,1.3303,2.5968
22,1.3203,2.5504
23,1.3103,2.5567
24,1.3006,2.5225
25,1.2917,2.6249
26,1.2824,2.6077
27,1.2741,2.6335
28,1.2655,2.5212
29,1.2568,2.5077
30,1.2485,2.4747
31,1.2404,2.5321
32,1.2325,2.4906
33,1.2248,2.4913
34,1.2174,2.4786
35,1.2102,2.4767
36,1.2035,2.5131
37,1.1966,2.4308
38,1.1895,2.4254
39,1.1826,2.4487
40,1.1758,2.4947
41,1.1690,2.4255
42,1.1618,2.3441
43,1.1550,2.2951
44,1.1480,2.2802
45,1.1412,2.3585
46,1.1347,2.3949
47,1.1277,2.2994
48,1.1206,2.2465
49,1.1136,2.1433
50,1.1066,2.2020
51,1.0996,2.2929
52,1.0928,2.2659
53,1.0856,2.1622
54,1.0787,2.1522
55,1.0718,2.1037
56,1.0648,2.1332
57,1.0577,2.0787
58,1.0506,2.1083
59,1.0435,2.0905
60,1.0365,2.1177
61,1.0297,2.0787
62,1.0226,2.0307
63,1.0160,2.0795
64,1.0090,2.0551
65,1.0025,2.0518
66,0.9956,1.8891
67,0.9896,2.1670
68,0.9829,2.0862
69,0.9764,2.0154
70,0.9704,1.9836
71,0.9640,1.8444
72,0.9578,2.0385
73,0.9517,2.0329
74,0.9456,1.8609
75,0.9400,1.9498
76,0.9342,1.9496
77,0.9287,2.0634
78,0.9228,1.9092
79,0.9179,2.0903
80,0.9124,1.8556
81,0.9074,2.0835
82,0.9019,1.8877
83,0.8967,1.9474
84,0.8914,1.8823
85,0.8863,1.9037
86,0.8811,1.9141
87,0.8761,1.9028
88,0.8712,1.8294
89,0.8663,1.7546
90,0.8614,1.7745
91,0.8566,1.8580
92,0.8520,1.9129
93,0.8473,1.7797
94,0.8427,1.8178
95,0.8381,1.7599
96,0.8337,1.7621
97,0.8294,1.7962
98,0.8251,1.7683
99,0.8209,1.7352
100,0.8166,1.6776
101,0.8125,1.7108
102,0.8084,1.8354
103,0.8044,1.7846
104,0.8005,1.7221
105,0.7967,1.6835
106,0.7928,1.7004
107,0.7891,1.7601
108,0.7853,1.6876
109,0.7818,1.7347
110,0.7783,1.7217
111,0.7748,1.7627
112,0.7713,1.7005
113,0.7678,1.7055
114,0.7646,1.7777
115,0.7612,1.7544
116,0.7580,1.7277
117,0.7547,1.6381
118,0.7516,1.7145
119,0.7484,1.6766
120,0.7454,1.7219
121,0.7423,1.7182
122,0.7393,1.6860
123,0.7364,1.6908
124,0.7333,1.6767
125,0.7304,1.7044
126,0.7275,1.6161
127,0.7247,1.6383
128,0.7219,1.6342
129,0.7191,1.6657
130,0.7165,1.7375
131,0.7138,1.6221
132,0.7110,1.6097
133,0.7084,1.6720
134,0.7058,1.7007
135,0.7031,1.6758
136,0.7005,1.6363
137,0.6980,1.6441
138,0.6956,1.6595
139,0.6932,1.6222
140,0.6906,1.5406
141,0.6882,1.5696
142,0.6858,1.5807
143,0.6834,1.5902
144,0.6810,1.5937
145,0.6787,1.5989
146,0.6764,1.5969
147,0.6741,1.6280
148,0.6718,1.5995
149,0.6696,1.5239
150,0.6673,1.5196
151,0.6652,1.5621
152,0.6631,1.5709
153,0.6609,1.6307
154,0.6588,1.5341
155,0.6567,1.5748
156,0.6546,1.5531
157,0.6525,1.5721
158,0.6504,1.5448
159,0.6484,1.5287
160,0.6464,1.5097
161,0.6445,1.5343
162,0.6425,1.5453
163,0.6407,1.6269
164,0.6389,1.6521
165,0.6372,1.6978
166,0.6354,1.5633
167,0.6337,1.5526
168,0.6319,1.5342
169,0.6301,1.5336
170,0.6283,1.5538
171,0.6267,1.6327
172,0.6249,1.5250
173,0.6232,1.5640
174,0.6217,1.6705
175,0.6201,1.5008
176,0.6184,1.4705
177,0.6168,1.5431
178,0.6152,1.5537
179,0.6136,1.5989
180,0.6121,1.6060
181,0.6106,1.5701
182,0.6091,1.5478
183,0.6075,1.5401
184,0.6061,1.5797
185,0.6046,1.6100
186,0.6032,1.6168
187,0.6018,1.5635
188,0.6004,1.5397
189,0.5989,1.4831
190,0.5975,1.5313
191,0.5961,1.5511
192,0.5947,1.5621
193,0.5933,1.5387
194,0.5919,1.5118
195,0.5906,1.5675
196,0.5893,1.5791
197,0.5879,1.4903
198,0.5866,1.5017
199,0.5853,1.5337
200,0.5839,1.5402
201,0.5826,1.5000
202,0.5813,1.5003
203,0.5802,1.6063
204,0.5789,1.5292
205,0.5778,1.6024
206,0.5766,1.5609
207,0.5755,1.5744
208,0.5742,1.5528
209,0.5730,1.5357
210,0.5718,1.5137
211,0.5705,1.4260
212,0.5693,1.4502
213,0.5681,1.4693
214,0.5670,1.4918
215,0.5658,1.5478
216,0.5647,1.5356
217,0.5636,1.5399
218,0.5625,1.5056
219,0.5613,1.4605
220,0.5602,1.4644
221,0.5591,1.4486
222,0.5580,1.5234
223,0.5570,1.4873
224,0.5559,1.5395
225,0.5548,1.5078
226,0.5538,1.5305
227,0.5527,1.5121
228,0.5517,1.5048
229,0.5507,1.4711
230,0.5497,1.5082
231,0.5487,1.4675
232,0.5477,1.4492
233,0.5467,1.5189
234,0.5457,1.5299
235,0.5447,1.4303
236,0.5437,1.5615
237,0.5428,1.4994
238,0.5418,1.4807
239,0.5409,1.5129
240,0.5399,1.4923
241,0.5390,1.5393
242,0.5380,1.4420
243,0.5371,1.4249
244,0.5362,1.4820
245,0.5353,1.4466
246,0.5343,1.4652
247,0.5334,1.4400
248,0.5325,1.4443
249,0.5316,1.5150
250,0.5307,1.4999
251,0.5298,1.4714
252,0.5289,1.4505
253,0.5280,1.4618
254,0.5271,1.4654
255,0.5262,1.4867
256,0.5254,1.4811
257,0.5245,1.4453
258,0.5236,1.4562
259,0.5228,1.4536
260,0.5220,1.4713
261,0.5211,1.4328
262,0.5203,1.4504
263,0.5194,1.3935
264,0.5186,1.4144
265,0.5178,1.4400
266,0.5169,1.4574
267,0.5161,1.4568
268,0.5153,1.4897
269,0.5145,1.4374
270,0.5137,1.4197
271,0.5129,1.4064
272,0.5121,1.4511
273,0.5113,1.4600
274,0.5105,1.4194
275,0.5097,1.4154
276,0.5089,1.4417
277,0.5082,1.4140
278,0.5074,1.4192
279,0.5066,1.3947
280,0.5059,1.4172
281,0.5051,1.3798
282,0.5044,1.4361
283,0.5037,1.4824
284,0.5029,1.4244
285,0.5022,1.4740
286,0.5015,1.4375
287,0.5007,1.4256
288,0.5000,1.3697
289,0.4993,1.4148
290,0.4986,1.3973
291,0.4979,1.3986
292,0.4972,1.4109
293,0.4965,1.4513
294,0.4958,1.4399
295,0.4951,1.4469
296,0.4944,1.4222
297,0.4937,1.3893
298,0.4930,1.3999
299,0.4923,1.3943
300,0.4916,1.4046
301,0.4910,1.4529
