iter,loss,rmse
1,0.9874,5.9036
2,1.2483,5.5559
3,1.2269,2.2238
4,1.2161,1.8596
5,2.0545,7.0978
6,2.1297,6.1799
7,1.9927,3.3571
8,1.8601,2.1895
9,1.7500,2.2160
10,1.6673,2.5859
11,1.5886,2.0029
12,1.5384,3.4995
13,1.4739,2.1263
14,1.4174,2.0297
15,1.3655,2.1914
16,1.3175,2.1183
17,1.2741,1.8934
18,1.2334,1.9945
19,1.1950,1.9443
20,1.1593,1.8650
21,1.1263,1.8118
22,1.0954,1.9045
23,1.0661,1.6996
24,1.0380,1.8205
25,1.0116,1.8099
26,0.9869,1.6719
27,0.9633,1.8344
28,0.9406,1.7552
29,0.9193,1.6453
30,0.8989,1.7736
31,0.8795,1.7413
32,0.8606,1.6577
33,0.8425,1.6707
34,0.8253,1.7421
35,0.8086,1.6942
36,0.7926,1.7006
37,0.7771,1.6672
38,0.7622,1.6742
39,0.7477,1.7088
40,0.7337,1.6844
41,0.7200,1.6847
42,0.7068,1.7080
43,0.6939,1.6671
44,0.6813,1.6617
45,0.6691,1.7265
46,0.6572,1.7122
47,0.6455,1.6266
48,0.6340,1.6452
49,0.6227,1.7042
50,0.6116,1.7021
51,0.6008,1.6415
52,0.5900,1.6490
53,0.5794,1.6743
54,0.5691,1.7246
55,0.5589,1.6835
56,0.5488,1.6326
57,0.5388,1.6559
58,0.5290,1.6549
59,0.5195,1.6852
60,0.5102,1.6968
61,0.5011,1.6834
62,0.4922,1.6575
63,0.4835,1.6547
64,0.4749,1.6201
65,0.4665,1.6858
66,0.4583,1.6895
67,0.4502,1.6475
68,0.4422,1.6538
69,0.4345,1.6399
70,0.4269,1.6658
71,0.4193,1.6707
72,0.4120,1.6715
73,0.4048,1.6722
74,0.3976,1.6448
75,0.3907,1.6304
76,0.3838,1.6439
77,0.3771,1.6688
78,0.3705,1.6858
79,0.3640,1.6509
80,0.3577,1.6470
81,0.3515,1.6270
82,0.3453,1.6458
83,0.3393,1.6583
84,0.3333,1.6829
85,0.3275,1.6574
86,0.3218,1.6252
87,0.3162,1.6181
88,0.3107,1.6532
89,0.3054,1.7019
90,0.3001,1.6724
91,0.2948,1.6263
92,0.2897,1.6023
93,0.2847,1.6122
94,0.2798,1.6824
95,0.2750,1.6916
96,0.2702,1.6346
97,0.2655,1.6024
98,0.2609,1.6060
99,0.2563,1.6344
100,0.2519,1.6527
101,0.2475,1.6438
102,0.2432,1.6096
103,0.2390,1.6325
104,0.2349,1.6655
105,0.2308,1.6441
106,0.2268,1.6358
107,0.2229,1.5985
108,0.2190,1.6270
109,0.2152,1.6223
110,0.2114,1.6336
111,0.2078,1.6777
112,0.2042,1.6339
113,0.2006,1.6213
114,0.1971,1.6222
115,0.1937,1.6128
116,0.1903,1.6371
117,0.1869,1.6384
118,0.1836,1.6273
119,0.1804,1.6332
120,0.1773,1.6514
121,0.1742,1.6384
122,0.1711,1.6221
123,0.1681,1.6289
124,0.1651,1.5991
125,0.1621,1.6109
126,0.1592,1.6357
127,0.1563,1.6222
128,0.1535,1.6376
129,0.1508,1.6204
130,0.1480,1.6217
131,0.1453,1.6133
132,0.1427,1.6137
133,0.1401,1.6231
134,0.1375,1.6336
135,0.1349,1.6370
136,0.1324,1.6014
137,0.1299,1.6062
138,0.1275,1.5917
139,0.1251,1.6126
140,0.1227,1.6291
141,0.1204,1.6416
142,0.1181,1.6528
143,0.1158,1.6034
144,0.1135,1.5833
145,0.1113,1.5736
146,0.1091,1.6033
147,0.1069,1.6294
148,0.1048,1.6458
149,0.1027,1.6665
150,0.1006,1.6109
151,0.0985,1.5826
152,0.0965,1.5944
153,0.0945,1.5764
154,0.0925,1.6055
155,0.0905,1.6180
156,0.0886,1.6224
157,0.0867,1.6202
158,0.0847,1.5931
159,0.0829,1.6179
160,0.0810,1.5942
161,0.0792,1.6034
162,0.0774,1.5981
163,0.0756,1.5840
164,0.0738,1.5989
165,0.0721,1.6145
166,0.0704,1.6318
167,0.0686,1.6283
