iter,loss,rmse
1,0.7901,1.5206
2,1.0423,1.3947
3,1.1628,1.3385
4,1.2303,1.3224
5,1.2728,1.2966
6,1.3019,1.2666
7,1.3222,1.2373
8,1.3378,1.2176
9,1.3497,1.2107
10,1.3584,1.2029
11,1.3645,1.1692
12,1.3688,1.1436
13,1.3719,1.1378
14,1.3744,1.1104
15,1.3759,1.0862
16,1.3764,1.0592
17,1.3768,1.0465
18,1.3772,1.0346
19,1.3773,1.0354
20,1.3773,1.0380
21,1.3770,1.0287
22,1.3766,1.0231
23,1.3767,1.0219
24,1.3762,1.0039
25,1.3755,1.0103
26,1.3750,1.0139
27,1.3744,1.0050
28,1.3738,1.0109
29,1.3732,1.0106
30,1.3728,1.0044
31,1.3720,0.9912
32,1.3711,0.9885
33,1.3703,0.9756
34,1.3697,0.9912
35,1.3690,0.9876
36,1.3683,0.9801
37,1.3675,0.9754
38,1.3666,0.9766
39,1.3656,0.9606
40,1.3648,0.9707
41,1.3640,0.9647
42,1.3632,0.9669
43,1.3624,0.9663
44,1.3617,0.9685
45,1.3609,0.9624
46,1.3601,0.9671
47,1.3594,0.9555
48,1.3586,0.9539
49,1.3579,0.9568
50,1.3570,0.9581
51,1.3562,0.9516
52,1.3556,0.9591
53,1.3549,0.9703
54,1.3540,0.9466
55,1.3532,0.9399
56,1.3525,0.9481
57,1.3517,0.9412
58,1.3511,0.9602
59,1.3504,0.9518
60,1.3496,0.9459
61,1.3490,0.9562
62,1.3484,0.9628
63,1.3479,0.9499
64,1.3472,0.9436
65,1.3466,0.9492
66,1.3460,0.9433
67,1.3454,0.9391
68,1.3447,0.9334
69,1.3441,0.9410
70,1.3435,0.9447
71,1.3431,0.9702
72,1.3427,0.9710
73,1.3421,0.9421
74,1.3415,0.9338
75,1.3409,0.9445
76,1.3404,0.9348
77,1.3399,0.9394
78,1.3393,0.9273
79,1.3388,0.9334
80,1.3383,0.9351
81,1.3378,0.9406
82,1.3373,0.9375
83,1.3367,0.9269
84,1.3362,0.9330
85,1.3357,0.9273
86,1.3353,0.9404
87,1.3348,0.9321
88,1.3344,0.9363
89,1.3339,0.9340
90,1.3335,0.9327
91,1.3330,0.9429
92,1.3325,0.9239
93,1.3321,0.9327
94,1.3317,0.9400
95,1.3314,0.9341
96,1.3310,0.9343
97,1.3306,0.9264
98,1.3302,0.9318
99,1.3299,0.9325
100,1.3295,0.9325
101,1.3291,0.9323
102,1.3287,0.9434
103,1.3283,0.9287
104,1.3279,0.9244
105,1.3276,0.9337
106,1.3273,0.9264
107,1.3270,0.9260
108,1.3266,0.9278
109,1.3263,0.9292
110,1.3261,0.9526
111,1.3258,0.9355
112,1.3255,0.9480
113,1.3252,0.9206
114,1.3248,0.9372
115,1.3246,0.9320
116,1.3243,0.9337
117,1.3240,0.9273
118,1.3237,0.9244
119,1.3235,0.9285
120,1.3232,0.9312
121,1.3229,0.9289
122,1.3226,0.9196
123,1.3223,0.9276
124,1.3220,0.9271
125,1.3217,0.9146
126,1.3215,0.9228
127,1.3212,0.9289
128,1.3210,0.9209
129,1.3207,0.9169
130,1.3205,0.9218
131,1.3202,0.9151
132,1.3200,0.9218
133,1.3197,0.9159
134,1.3195,0.9290
135,1.3193,0.9407
136,1.3191,0.9310
137,1.3189,0.9217
138,1.3187,0.9302
139,1.3184,0.9101
140,1.3181,0.9140
141,1.3179,0.9288
142,1.3177,0.9294
143,1.3175,0.9212
144,1.3172,0.9227
145,1.3171,0.9243
146,1.3169,0.9379
147,1.3167,0.9296
148,1.3165,0.9224
149,1.3164,0.9362
150,1.3161,0.9122
151,1.3160,0.9193
152,1.3157,0.9089
153,1.3155,0.9206
154,1.3153,0.9123
155,1.3151,0.9148
156,1.3149,0.9177
157,1.3148,0.9250
158,1.3146,0.9200
159,1.3144,0.9171
160,1.3143,0.9230
161,1.3141,0.9285
162,1.3139,0.9318
163,1.3138,0.9245
164,1.3136,0.9180
165,1.3134,0.9189
166,1.3132,0.9090
167,1.3130,0.9156
168,1.3128,0.9113
169,1.3126,0.9178
170,1.3124,0.9231
