iter,loss,rmse
1,0.8056,3.2942
2,1.0124,3.3192
3,1.0684,3.3884
4,1.0668,3.5108
5,1.0465,3.6350
6,1.0196,3.5448
7,0.9854,3.2111
8,0.9432,2.6942
9,0.8958,2.1741
10,0.8470,1.6959
11,0.8010,1.3970
12,0.7596,1.1820
13,0.7231,1.0755
14,0.6905,1.0377
15,0.6611,1.0188
16,0.6361,1.0652
17,0.6127,1.0218
18,0.5910,0.9897
19,0.5714,0.9735
20,0.5533,0.9744
21,0.5363,0.9858
22,0.5204,1.0101
23,0.5057,1.0448
24,0.4923,1.0803
25,0.4798,1.0705
26,0.4679,1.0449
27,0.4567,1.0196
28,0.4463,1.0079
29,0.4366,1.0007
30,0.4274,0.9969
31,0.4188,0.9883
32,0.4105,0.9948
33,0.4027,0.9958
34,0.3954,1.0006
35,0.3884,1.0059
36,0.3818,1.0018
37,0.3755,0.9870
38,0.3695,0.9674
39,0.3638,0.9615
40,0.3584,0.9610
41,0.3532,0.9648
42,0.3482,0.9679
43,0.3434,0.9778
44,0.3388,0.9843
45,0.3344,0.9842
46,0.3302,0.9825
47,0.3261,0.9764
48,0.3222,0.9697
49,0.3185,0.9676
50,0.3149,0.9713
51,0.3114,0.9774
52,0.3080,0.9789
53,0.3048,0.9818
54,0.3017,0.9801
55,0.2987,0.9776
56,0.2958,0.9705
57,0.2929,0.9657
58,0.2902,0.9627
59,0.2876,0.9629
60,0.2850,0.9631
61,0.2825,0.9658
62,0.2801,0.9709
63,0.2778,0.9684
64,0.2755,0.9671
65,0.2733,0.9630
66,0.2712,0.9600
67,0.2691,0.9619
68,0.2671,0.9603
69,0.2651,0.9638
70,0.2632,0.9684
71,0.2614,0.9705
72,0.2596,0.9677
73,0.2578,0.9671
74,0.2561,0.9630
75,0.2544,0.9606
76,0.2528,0.9592
77,0.2512,0.9601
78,0.2496,0.9618
79,0.2481,0.9637
80,0.2466,0.9647
81,0.2452,0.9644
82,0.2438,0.9622
83,0.2424,0.9614
84,0.2410,0.9600
85,0.2397,0.9581
86,0.2385,0.9589
87,0.2372,0.9587
88,0.2360,0.9613
89,0.2348,0.9630
90,0.2336,0.9645
91,0.2324,0.9626
92,0.2313,0.9620
93,0.2302,0.9587
94,0.2291,0.9570
95,0.2280,0.9599
96,0.2270,0.9592
97,0.2260,0.9603
98,0.2250,0.9617
99,0.2240,0.9599
100,0.2230,0.9596
101,0.2221,0.9600
102,0.2211,0.9571
103,0.2202,0.9575
104,0.2193,0.9578
105,0.2184,0.9590
106,0.2176,0.9615
107,0.2167,0.9608
108,0.2159,0.9625
109,0.2151,0.9584
110,0.2143,0.9583
111,0.2135,0.9553
112,0.2127,0.9559
113,0.2119,0.9596
114,0.2112,0.9631
115,0.2104,0.9595
116,0.2097,0.9568
117,0.2090,0.9590
118,0.2083,0.9564
119,0.2076,0.9579
120,0.2069,0.9582
