iter,loss,rmse
1,0.8359,3.0903
2,1.0523,3.1154
3,1.1185,3.1040
4,1.1175,3.0041
5,1.0774,2.7377
6,1.0122,2.2626
7,0.9366,1.7278
8,0.8624,1.3018
9,0.7980,1.0443
10,0.7472,0.9363
11,0.7088,0.8974
12,0.6785,0.8831
13,0.6536,0.8779
14,0.6309,0.8781
15,0.6092,0.8824
16,0.5881,0.8899
17,0.5679,0.9079
18,0.5485,0.9476
19,0.5311,0.9985
20,0.5153,1.0403
21,0.5010,1.0716
22,0.4879,1.0822
23,0.4758,1.0752
24,0.4645,1.0556
25,0.4538,1.0293
26,0.4436,0.9988
27,0.4340,0.9705
28,0.4251,0.9496
29,0.4167,0.9333
30,0.4088,0.9255
31,0.4014,0.9184
32,0.3944,0.9151
33,0.3877,0.9136
34,0.3814,0.9179
35,0.3753,0.9238
36,0.3696,0.9326
37,0.3641,0.9421
38,0.3589,0.9501
39,0.3540,0.9561
40,0.3492,0.9545
41,0.3447,0.9485
42,0.3403,0.9428
43,0.3361,0.9355
44,0.3321,0.9255
45,0.3282,0.9202
46,0.3245,0.9161
47,0.3210,0.9145
48,0.3176,0.9143
49,0.3143,0.9161
50,0.3111,0.9197
51,0.3081,0.9231
52,0.3051,0.9246
53,0.3023,0.9243
54,0.2995,0.9227
55,0.2969,0.9184
56,0.2943,0.9149
57,0.2918,0.9122
58,0.2894,0.9110
59,0.2871,0.9125
60,0.2849,0.9132
61,0.2827,0.9145
62,0.2806,0.9159
63,0.2786,0.9179
64,0.2766,0.9190
65,0.2747,0.9205
66,0.2728,0.9208
67,0.2710,0.9210
68,0.2692,0.9205
69,0.2675,0.9197
70,0.2658,0.9185
71,0.2642,0.9180
72,0.2626,0.9162
73,0.2611,0.9157
74,0.2596,0.9149
75,0.2581,0.9143
76,0.2567,0.9148
77,0.2553,0.9142
78,0.2540,0.9158
79,0.2527,0.9153
80,0.2514,0.9167
81,0.2501,0.9167
82,0.2489,0.9178
83,0.2477,0.9186
84,0.2465,0.9181
85,0.2454,0.9191
86,0.2442,0.9186
87,0.2432,0.9181
88,0.2421,0.9179
89,0.2410,0.9172
90,0.2400,0.9165
91,0.2390,0.9158
92,0.2380,0.9146
93,0.2371,0.9146
94,0.2361,0.9159
95,0.2352,0.9155
96,0.2343,0.9162
97,0.2334,0.9164
98,0.2325,0.9169
99,0.2317,0.9177
100,0.2309,0.9167
101,0.2300,0.9169
102,0.2292,0.9163
103,0.2284,0.9151
104,0.2277,0.9153
105,0.2269,0.9145
106,0.2262,0.9148
107,0.2254,0.9145
108,0.2247,0.9151
109,0.2240,0.9152
110,0.2233,0.9151
111,0.2226,0.9158
112,0.2220,0.9159
113,0.2213,0.9158
114,0.2207,0.9161
115,0.2200,0.9157
116,0.2194,0.9157
117,0.2188,0.9154
118,0.2182,0.9146
119,0.2176,0.9151
120,0.2170,0.9160
121,0.2164,0.9147
122,0.2159,0.9151
123,0.2153,0.9150
124,0.2147,0.9151
125,0.2142,0.9151
126,0.2137,0.9148
127,0.2131,0.9146
128,0.2126,0.9146
129,0.2121,0.9146
130,0.2116,0.9151
131,0.2111,0.9148
132,0.2106,0.9149
133,0.2102,0.9150
134,0.2097,0.9152
135,0.2092,0.9152
136,0.2088,0.9151
137,0.2083,0.9157
138,0.2079,0.9151
139,0.2074,0.9152
140,0.2070,0.9149
141,0.2066,0.9152
142,0.2062,0.9154
143,0.2057,0.9143
144,0.2053,0.9136
145,0.2049,0.9135
146,0.2045,0.9138
147,0.2041,0.9139
148,0.2037,0.9140
149,0.2034,0.9144
150,0.2030,0.9148
151,0.2026,0.9150
152,0.2022,0.9151
153,0.2019,0.9145
154,0.2015,0.9151
155,0.2012,0.9155
156,0.2008,0.9151
157,0.2005,0.9144
158,0.2001,0.9151
159,0.1998,0.9150
160,0.1994,0.9146
161,0.1991,0.9143
162,0.1988,0.9144
163,0.1985,0.9142
164,0.1982,0.9138
165,0.1978,0.9138
166,0.1975,0.9141
167,0.1972,0.9145
168,0.1969,0.9148
169,0.1966,0.9147
170,0.1963,0.9144
171,0.1960,0.9148
172,0.1957,0.9144
173,0.1955,0.9144
174,0.1952,0.9142
175,0.1949,0.9145
176,0.1946,0.9142
177,0.1943,0.9141
178,0.1941,0.9147
179,0.1938,0.9143
180,0.1935,0.9146
181,0.1933,0.9146
182,0.1930,0.9146
183,0.1928,0.9149
184,0.1925,0.9140
185,0.1922,0.9145
186,0.1920,0.9142
187,0.1918,0.9143
188,0.1915,0.9130
189,0.1913,0.9141
190,0.1910,0.9139
191,0.1908,0.9141
192,0.1906,0.9133
193,0.1903,0.9143
194,0.1901,0.9135
195,0.1899,0.9136
196,0.1896,0.9140
197,0.1894,0.9140
198,0.1892,0.9142
199,0.1890,0.9133
200,0.1888,0.9142
201,0.1886,0.9142
202,0.1883,0.9144
203,0.1881,0.9142
204,0.1879,0.9154
205,0.1877,0.9144
206,0.1875,0.9140
207,0.1873,0.9143
208,0.1871,0.9148
209,0.1869,0.9145
210,0.1867,0.9142
211,0.1865,0.9139
212,0.1863,0.9137
213,0.1861,0.9137
214,0.1860,0.9140
215,0.1858,0.9139
216,0.1856,0.9141
217,0.1854,0.9143
218,0.1852,0.9139
219,0.1850,0.9132
220,0.1849,0.9134
221,0.1847,0.9130
222,0.1845,0.9136
223,0.1843,0.9136
224,0.1842,0.9132
225,0.1840,0.9140
226,0.1838,0.9141
227,0.1837,0.9137
228,0.1835,0.9137
229,0.1833,0.9139
230,0.1832,0.9139
231,0.1830,0.9139
232,0.1828,0.9139
233,0.1827,0.9141
234,0.1825,0.9134
235,0.1824,0.9140
236,0.1822,0.9139
237,0.1820,0.9142
238,0.1819,0.9136
239,0.1817,0.9139
240,0.1816,0.9139
241,0.1814,0.9130
242,0.1813,0.9137
243,0.1811,0.9129
244,0.1810,0.9134
245,0.1808,0.9141
246,0.1807,0.9137
247,0.1806,0.9141
248,0.1804,0.9134
249,0.1803,0.9136
250,0.1801,0.9132
251,0.1800,0.9135
252,0.1799,0.9146
253,0.1797,0.9137
254,0.1796,0.9141
255,0.1795,0.9139
256,0.1793,0.9136
257,0.1792,0.9135
258,0.1791,0.9132
259,0.1789,0.9148
