iter,loss,rmse
1,0.7833,2.3592
2,0.8731,1.6595
3,0.8735,1.3582
4,0.8169,0.7758
5,0.7507,0.4200
6,0.7152,0.4852
7,0.6909,0.4274
8,0.6642,0.3952
9,0.6440,0.4125
10,0.6223,0.3923
11,0.6059,0.4840
12,0.5945,0.5684
13,0.5810,0.4677
14,0.5695,0.4646
15,0.5598,0.4682
16,0.5504,0.4027
17,0.5401,0.3837
18,0.5333,0.4304
19,0.5264,0.3785
20,0.5182,0.3698
21,0.5124,0.4190
22,0.5059,0.3933
23,0.4999,0.3846
24,0.4952,0.4188
25,0.4905,0.4319
26,0.4853,0.3917
27,0.4814,0.4004
28,0.4770,0.3760
29,0.4730,0.3684
30,0.4688,0.3660
31,0.4655,0.3861
32,0.4613,0.3625
33,0.4582,0.3854
34,0.4554,0.3990
35,0.4526,0.3763
36,0.4495,0.3666
37,0.4466,0.3739
38,0.4441,0.3716
39,0.4415,0.3640
40,0.4388,0.3610
41,0.4362,0.3625
42,0.4339,0.3729
43,0.4315,0.3692
44,0.4296,0.3774
45,0.4276,0.3631
46,0.4260,0.3797
47,0.4242,0.3681
48,0.4223,0.3677
49,0.4204,0.3604
50,0.4191,0.3977
51,0.4176,0.3684
52,0.4161,0.3639
53,0.4147,0.3626
54,0.4134,0.3695
55,0.4120,0.3640
56,0.4105,0.3602
57,0.4092,0.3671
58,0.4079,0.3635
59,0.4069,0.3734
60,0.4057,0.3608
61,0.4045,0.3647
62,0.4033,0.3622
63,0.4020,0.3654
64,0.4010,0.3611
65,0.4000,0.3652
66,0.3991,0.3703
67,0.3982,0.3721
68,0.3972,0.3645
69,0.3963,0.3621
70,0.3953,0.3589
71,0.3944,0.3568
72,0.3934,0.3566
73,0.3926,0.3572
74,0.3917,0.3573
75,0.3908,0.3553
76,0.3900,0.3621
77,0.3891,0.3548
78,0.3882,0.3533
79,0.3875,0.3661
80,0.3868,0.3653
81,0.3863,0.3612
82,0.3857,0.3615
83,0.3849,0.3624
84,0.3843,0.3647
85,0.3837,0.3662
86,0.3830,0.3593
87,0.3823,0.3512
88,0.3817,0.3777
89,0.3811,0.3548
90,0.3805,0.3637
91,0.3800,0.3611
92,0.3794,0.3572
93,0.3789,0.3631
94,0.3784,0.3583
95,0.3778,0.3628
96,0.3774,0.3605
97,0.3769,0.3647
98,0.3763,0.3565
99,0.3762,0.3754
100,0.3756,0.3546
101,0.3752,0.3559
102,0.3747,0.3538
103,0.3742,0.3601
104,0.3738,0.3527
105,0.3735,0.3592
106,0.3733,0.3699
107,0.3729,0.3549
108,0.3725,0.3600
109,0.3722,0.3760
110,0.3717,0.3522
111,0.3713,0.3581
112,0.3710,0.3508
113,0.3706,0.3572
114,0.3703,0.3636
115,0.3699,0.3571
116,0.3696,0.3517
117,0.3693,0.3608
118,0.3690,0.3646
119,0.3686,0.3573
120,0.3683,0.3643
121,0.3680,0.3548
122,0.3678,0.3849
123,0.3675,0.3518
124,0.3671,0.3451
125,0.3667,0.3452
126,0.3665,0.3728
127,0.3662,0.3587
128,0.3660,0.3645
129,0.3656,0.3570
130,0.3653,0.3560
131,0.3649,0.3499
132,0.3647,0.3707
133,0.3644,0.3548
134,0.3641,0.3619
135,0.3638,0.3535
136,0.3636,0.3660
137,0.3634,0.3701
138,0.3633,0.3582
139,0.3629,0.3558
140,0.3626,0.3484
141,0.3623,0.3609
142,0.3621,0.3640
143,0.3618,0.3582
144,0.3616,0.3824
145,0.3613,0.3591
146,0.3610,0.3524
147,0.3609,0.3680
148,0.3605,0.3532
149,0.3602,0.3555
150,0.3600,0.3616
151,0.3599,0.3599
152,0.3596,0.3647
153,0.3594,0.3612
154,0.3592,0.3527
155,0.3589,0.3507
156,0.3587,0.3620
157,0.3584,0.3550
158,0.3581,0.3450
159,0.3579,0.3601
160,0.3576,0.3539
161,0.3574,0.3526
162,0.3571,0.3488
163,0.3569,0.3562
164,0.3566,0.3593
165,0.3564,0.3666
166,0.3562,0.3478
167,0.3560,0.3575
168,0.3558,0.3629
169,0.3557,0.3669
170,0.3554,0.3505
171,0.3552,0.3492
172,0.3549,0.3512
173,0.3547,0.3552
174,0.3545,0.3544
175,0.3543,0.3536
176,0.3541,0.3586
177,0.3539,0.3581
178,0.3536,0.3454
179,0.3534,0.3614
180,0.3532,0.3467
181,0.3530,0.3549
182,0.3528,0.3494
183,0.3526,0.3594
184,0.3524,0.3630
185,0.3522,0.3586
186,0.3521,0.3576
187,0.3519,0.3545
188,0.3517,0.3615
189,0.3516,0.3560
190,0.3515,0.3652
191,0.3513,0.3486
192,0.3511,0.3574
193,0.3509,0.3468
194,0.3508,0.3608
195,0.3506,0.3550
196,0.3505,0.3582
197,0.3503,0.3612
198,0.3502,0.3630
199,0.3500,0.3566
200,0.3498,0.3517
201,0.3496,0.3524
202,0.3494,0.3464
203,0.3492,0.3625
204,0.3491,0.3564
205,0.3489,0.3501
206,0.3488,0.3580
207,0.3486,0.3638
208,0.3485,0.3609
209,0.3484,0.3484
210,0.3482,0.3440
211,0.3481,0.3751
212,0.3480,0.3502
213,0.3479,0.3615
214,0.3477,0.3640
215,0.3476,0.3544
216,0.3474,0.3508
217,0.3473,0.3451
218,0.3471,0.3552
219,0.3470,0.3778
220,0.3468,0.3560
221,0.3467,0.3646
222,0.3466,0.3503
223,0.3465,0.3653
224,0.3464,0.3576
225,0.3463,0.3555
226,0.3462,0.3572
227,0.3461,0.3568
