iter,loss,rmse
1,0.8005,3.0507
2,0.9932,2.9932
3,0.8903,1.9021
4,0.8017,1.0319
5,0.7687,1.1538
6,0.7294,0.9493
7,1.0347,3.8560
8,1.0443,3.2947
9,0.9740,1.5665
10,0.9228,1.2891
11,0.8874,1.3033
12,0.8507,0.9854
13,0.8285,1.7200
14,0.8056,1.1727
15,0.7744,0.9299
16,0.7543,0.8313
17,0.7314,0.8484
18,0.7187,1.1214
19,0.7004,1.1701
20,0.6862,1.3513
21,0.6644,0.9645
22,0.6485,1.2396
23,0.6388,0.8847
24,0.6278,0.8583
25,0.6172,0.8229
26,0.6193,1.1657
27,0.6449,1.8813
28,0.6384,0.9936
29,0.6325,1.0784
30,0.6193,0.9235
31,0.6070,0.8875
32,0.5944,0.8951
33,0.5827,0.9842
34,0.5710,0.8811
35,0.5619,0.8193
36,0.5523,0.8279
37,0.5457,1.0300
38,0.5373,0.9873
39,0.5290,1.0313
40,0.5205,0.8894
41,0.5127,0.8205
42,0.5053,0.8192
43,0.4969,0.8543
44,0.4889,0.8065
45,0.4873,1.1480
46,0.4855,1.2875
47,0.4782,0.8794
48,0.4718,0.8702
49,0.4658,0.9770
50,0.4602,0.8017
51,0.4557,0.8336
52,0.4537,0.9012
53,0.4498,0.8407
54,0.4443,0.8251
55,0.4388,0.8454
56,0.4340,1.0591
57,0.4286,0.9052
58,0.4245,1.0243
59,0.4203,1.0036
60,0.4163,0.9987
61,0.4114,0.8449
62,0.4069,0.8577
63,0.4023,0.8001
64,0.3980,0.7984
65,0.3938,0.8029
66,0.3897,0.8434
67,0.3855,0.8141
68,0.3814,0.8314
69,0.3773,0.8421
70,0.3746,1.0766
71,0.3713,0.9639
72,0.3673,0.8229
73,0.3636,0.8399
74,0.3601,0.8634
75,0.3566,0.7959
76,0.3536,0.8412
77,0.3502,0.8022
78,0.3469,0.8327
79,0.3435,0.8397
80,0.3403,0.8480
81,0.3374,0.8744
82,0.3344,0.8512
83,0.3313,0.8325
84,0.3282,0.8382
85,0.3253,0.8502
86,0.3223,0.8205
87,0.3195,0.8582
88,0.3167,0.8570
89,0.3140,0.8651
90,0.3112,0.8068
91,0.3085,0.8511
92,0.3059,0.8334
93,0.3035,0.8519
94,0.3009,0.7936
95,0.2984,0.8090
96,0.2960,0.8275
97,0.2935,0.8351
98,0.2912,0.8574
99,0.2888,0.8314
100,0.2866,0.9041
101,0.2844,0.8929
102,0.2824,0.9173
103,0.2802,0.8235
104,0.2780,0.8163
105,0.2759,0.8069
106,0.2739,0.8198
107,0.2719,0.8088
108,0.2699,0.8070
109,0.2679,0.8306
110,0.2660,0.8490
111,0.2641,0.8088
112,0.2622,0.8326
113,0.2603,0.8249
114,0.2584,0.8227
115,0.2566,0.8038
116,0.2548,0.8097
117,0.2531,0.8166
118,0.2515,0.8421
119,0.2498,0.8556
120,0.2482,0.8441
121,0.2466,0.8597
122,0.2450,0.8323
123,0.2434,0.8193
124,0.2419,0.8322
125,0.2404,0.8113
126,0.2389,0.8207
127,0.2374,0.8119
128,0.2360,0.8248
129,0.2346,0.8312
130,0.2331,0.8270
131,0.2317,0.8108
132,0.2303,0.8130
133,0.2290,0.8141
134,0.2277,0.8317
135,0.2263,0.8093
136,0.2249,0.8192
137,0.2236,0.8188
138,0.2223,0.8108
139,0.2211,0.8192
140,0.2198,0.8252
141,0.2186,0.8059
142,0.2174,0.8101
143,0.2162,0.8034
144,0.2151,0.8356
145,0.2139,0.8028
146,0.2127,0.8248
147,0.2116,0.8369
148,0.2105,0.8165
149,0.2094,0.8223
150,0.2083,0.8230
151,0.2072,0.8522
152,0.2061,0.8116
153,0.2051,0.8056
154,0.2041,0.8191
155,0.2031,0.8090
156,0.2021,0.8039
157,0.2011,0.8042
158,0.2001,0.8016
159,0.1991,0.8069
160,0.1981,0.8110
161,0.1972,0.8174
162,0.1962,0.8064
163,0.1953,0.8232
164,0.1943,0.8347
165,0.1934,0.8191
166,0.1925,0.8099
167,0.1916,0.8083
168,0.1907,0.8120
169,0.1898,0.8302
170,0.1890,0.8381
171,0.1881,0.8328
172,0.1873,0.8316
173,0.1866,0.8519
174,0.1858,0.8234
175,0.1850,0.8086
176,0.1842,0.8130
177,0.1834,0.8154
178,0.1826,0.8068
179,0.1818,0.8047
180,0.1810,0.8026
181,0.1802,0.8112
182,0.1795,0.8205
183,0.1788,0.8021
184,0.1780,0.8098
185,0.1773,0.8069
186,0.1765,0.8117
187,0.1758,0.8142
188,0.1751,0.7955
189,0.1744,0.8053
190,0.1737,0.8147
191,0.1730,0.8259
192,0.1724,0.8241
193,0.1717,0.8177
194,0.1710,0.8019
195,0.1704,0.8151
196,0.1697,0.8044
197,0.1690,0.8171
198,0.1684,0.8111
199,0.1678,0.8185
200,0.1671,0.8181
201,0.1665,0.8226
202,0.1659,0.8064
203,0.1653,0.8099
204,0.1647,0.8226
205,0.1641,0.8130
206,0.1635,0.8054
207,0.1629,0.8094
208,0.1623,0.8107
209,0.1617,0.8141
210,0.1611,0.8097
211,0.1606,0.8090
212,0.1600,0.8173
213,0.1595,0.8030
214,0.1589,0.7977
215,0.1584,0.8097
216,0.1578,0.8107
217,0.1573,0.8096
218,0.1568,0.8045
219,0.1563,0.8246
220,0.1557,0.8262
221,0.1552,0.8414
222,0.1547,0.8198
223,0.1542,0.8160
224,0.1537,0.8321
225,0.1532,0.8457
226,0.1527,0.8059
227,0.1523,0.8342
228,0.1517,0.8035
229,0.1512,0.8063
230,0.1508,0.8060
231,0.1503,0.7995
232,0.1498,0.8126
233,0.1494,0.8096
234,0.1489,0.8103
235,0.1484,0.8195
236,0.1480,0.7992
237,0.1475,0.8104
