iter,loss,rmse
1,0.8588,1.5389
2,1.1249,1.4438
3,1.2369,1.1721
4,1.3073,1.2523
5,1.3521,1.3627
6,1.3775,1.2800
7,1.3892,1.1513
8,1.4014,1.1276
9,1.4064,1.1359
10,1.4125,1.2296
11,1.4158,1.2007
12,1.4173,1.1235
13,1.4172,1.0948
14,1.4162,1.1086
15,1.4148,1.1161
16,1.4126,1.0800
17,1.4106,1.0601
18,1.4085,1.0607
19,1.4058,1.0566
20,1.4033,1.0815
21,1.4008,1.0805
22,1.3978,1.0505
23,1.3951,1.0145
24,1.3918,0.9990
25,1.3886,1.0105
26,1.3855,1.0324
27,1.3819,1.0390
28,1.3787,1.0280
29,1.3759,1.0097
30,1.3725,0.9750
31,1.3693,0.9921
32,1.3660,0.9818
33,1.3627,0.9960
34,1.3593,0.9918
35,1.3564,0.9882
36,1.3530,0.9713
37,1.3501,0.9505
38,1.3468,0.9590
39,1.3435,0.9686
40,1.3402,0.9331
41,1.3372,0.9723
42,1.3338,0.9369
43,1.3303,0.9334
44,1.3275,0.9422
45,1.3244,0.9465
46,1.3212,0.9279
47,1.3181,0.9363
48,1.3154,0.9370
49,1.3125,0.9152
50,1.3096,0.9408
51,1.3066,0.9189
52,1.3038,0.9062
53,1.3011,0.9135
54,1.2982,0.9145
55,1.2955,0.9567
56,1.2928,0.9284
57,1.2900,0.9104
58,1.2874,0.8918
59,1.2846,0.8986
60,1.2820,0.9173
61,1.2795,0.9096
62,1.2771,0.9145
63,1.2746,0.9131
64,1.2720,0.8933
65,1.2696,0.8895
66,1.2671,0.8761
67,1.2647,0.9020
68,1.2624,0.9133
69,1.2603,0.9174
70,1.2578,0.9016
71,1.2555,0.8756
72,1.2532,0.8830
73,1.2508,0.8810
74,1.2486,0.8978
75,1.2464,0.8841
76,1.2441,0.8752
77,1.2418,0.8743
78,1.2396,0.8929
79,1.2374,0.8810
80,1.2351,0.8613
81,1.2328,0.8672
82,1.2305,0.8906
83,1.2282,0.8814
84,1.2260,0.8587
85,1.2238,0.8670
86,1.2217,0.8924
87,1.2195,0.8621
88,1.2174,0.8750
89,1.2153,0.8731
90,1.2132,0.8660
91,1.2110,0.8802
92,1.2089,0.8666
93,1.2068,0.8764
94,1.2046,0.8660
95,1.2025,0.8573
96,1.2003,0.8640
97,1.1981,0.8452
98,1.1959,0.8498
99,1.1938,0.8532
100,1.1917,0.8677
101,1.1894,0.8433
102,1.1872,0.8480
103,1.1850,0.8529
104,1.1828,0.8497
105,1.1806,0.8386
106,1.1784,0.8468
107,1.1763,0.8451
108,1.1740,0.8341
109,1.1718,0.8458
110,1.1696,0.8417
111,1.1674,0.8326
112,1.1652,0.8287
113,1.1629,0.8353
114,1.1607,0.8479
115,1.1584,0.8348
116,1.1563,0.8412
117,1.1542,0.8332
118,1.1520,0.8358
119,1.1498,0.8269
120,1.1477,0.8410
121,1.1457,0.8552
122,1.1434,0.8229
123,1.1414,0.8496
124,1.1392,0.8258
125,1.1371,0.8282
126,1.1352,0.8739
127,1.1336,0.9206
128,1.1316,0.8479
129,1.1296,0.8774
130,1.1278,0.8616
131,1.1259,0.8684
132,1.1240,0.8425
133,1.1221,0.8298
134,1.1201,0.8344
135,1.1182,0.8323
136,1.1164,0.8462
137,1.1146,0.8598
138,1.1127,0.8290
139,1.1108,0.8287
140,1.1090,0.8383
141,1.1072,0.8453
142,1.1054,0.8334
143,1.1035,0.8307
144,1.1018,0.8312
145,1.1000,0.8361
146,1.0983,0.8332
147,1.0966,0.8345
148,1.0948,0.8297
149,1.0931,0.8300
150,1.0914,0.8216
151,1.0897,0.8312
152,1.0881,0.8460
153,1.0864,0.8212
154,1.0847,0.8150
155,1.0830,0.8179
156,1.0815,0.8324
157,1.0799,0.8288
158,1.0783,0.8250
159,1.0767,0.8187
160,1.0751,0.8156
161,1.0737,0.8344
162,1.0721,0.8138
163,1.0706,0.8335
164,1.0691,0.8151
165,1.0676,0.8204
166,1.0662,0.8283
167,1.0648,0.8314
168,1.0634,0.8151
169,1.0619,0.8226
170,1.0606,0.8374
171,1.0592,0.8164
172,1.0579,0.8189
173,1.0564,0.8082
174,1.0550,0.8120
175,1.0538,0.8478
176,1.0524,0.8029
177,1.0511,0.8164
178,1.0497,0.8109
179,1.0484,0.8038
180,1.0471,0.8130
181,1.0458,0.8114
182,1.0445,0.8081
183,1.0432,0.8104
184,1.0419,0.8003
185,1.0406,0.7978
186,1.0393,0.8074
187,1.0381,0.7995
188,1.0368,0.7971
189,1.0356,0.8058
190,1.0344,0.7964
191,1.0331,0.7834
192,1.0319,0.7883
193,1.0307,0.7904
194,1.0295,0.7932
195,1.0283,0.7989
196,1.0272,0.8025
197,1.0261,0.8116
198,1.0250,0.7978
199,1.0238,0.7895
200,1.0228,0.8246
201,1.0217,0.8015
202,1.0206,0.8037
203,1.0196,0.8174
204,1.0185,0.7886
205,1.0175,0.8080
206,1.0164,0.8026
207,1.0153,0.7906
208,1.0143,0.7950
209,1.0133,0.7838
210,1.0122,0.7807
211,1.0112,0.7835
212,1.0101,0.7906
213,1.0091,0.7912
214,1.0081,0.7772
215,1.0071,0.7853
216,1.0061,0.7840
217,1.0051,0.7806
218,1.0041,0.7832
219,1.0032,0.7986
220,1.0022,0.7878
221,1.0012,0.7806
222,1.0003,0.7802
223,0.9993,0.7875
224,0.9984,0.7741
225,0.9974,0.7782
226,0.9965,0.7785
227,0.9956,0.7729
228,0.9946,0.7681
229,0.9937,0.7764
230,0.9928,0.7780
231,0.9919,0.7921
232,0.9910,0.7656
233,0.9901,0.7692
234,0.9892,0.7692
235,0.9883,0.7733
236,0.9875,0.7822
237,0.9866,0.7762
238,0.9857,0.7733
239,0.9849,0.7780
240,0.9840,0.7713
241,0.9832,0.7648
242,0.9823,0.7839
243,0.9815,0.7689
244,0.9807,0.7717
245,0.9799,0.7707
246,0.9790,0.7591
247,0.9782,0.7883
248,0.9774,0.7661
249,0.9766,0.7805
250,0.9759,0.7799
251,0.9751,0.7727
252,0.9743,0.7593
253,0.9735,0.7679
254,0.9727,0.7770
255,0.9719,0.7687
256,0.9712,0.7618
257,0.9704,0.7573
258,0.9696,0.7541
259,0.9688,0.7518
260,0.9681,0.7587
261,0.9674,0.7699
262,0.9666,0.7508
263,0.9658,0.7517
264,0.9651,0.7671
265,0.9644,0.7672
266,0.9637,0.7738
267,0.9629,0.7610
268,0.9622,0.7588
269,0.9615,0.7533
270,0.9608,0.7548
271,0.9601,0.7514
272,0.9593,0.7459
273,0.9586,0.7577
274,0.9579,0.7505
275,0.9572,0.7665
276,0.9566,0.7515
277,0.9559,0.7576
278,0.9552,0.7468
279,0.9545,0.7578
280,0.9539,0.7624
281,0.9532,0.7534
282,0.9525,0.7400
283,0.9518,0.7492
284,0.9511,0.7402
285,0.9504,0.7465
286,0.9498,0.7728
287,0.9492,0.7486
288,0.9485,0.7284
289,0.9478,0.7445
290,0.9471,0.7392
291,0.9465,0.7526
292,0.9458,0.7416
293,0.9452,0.7495
294,0.9446,0.7521
295,0.9440,0.7405
296,0.9433,0.7515
297,0.9427,0.7404
298,0.9421,0.7387
299,0.9414,0.7353
300,0.9408,0.7468
301,0.9402,0.7432
302,0.9396,0.7426
303,0.9390,0.7413
304,0.9384,0.7453
305,0.9378,0.7371
306,0.9372,0.7382
307,0.9366,0.7380
308,0.9360,0.7372
309,0.9354,0.7389
310,0.9348,0.7408
311,0.9342,0.7583
312,0.9336,0.7356
313,0.9331,0.7439
314,0.9325,0.7357
315,0.9319,0.7300
316,0.9314,0.7418
317,0.9308,0.7428
318,0.9303,0.7482
319,0.9297,0.7409
320,0.9291,0.7352
321,0.9286,0.7345
322,0.9280,0.7301
323,0.9274,0.7291
324,0.9269,0.7312
325,0.9263,0.7371
326,0.9258,0.7319
327,0.9252,0.7361
328,0.9247,0.7270
329,0.9241,0.7238
330,0.9236,0.7250
331,0.9230,0.7268
332,0.9225,0.7256
333,0.9219,0.7300
334,0.9214,0.7239
335,0.9209,0.7312
336,0.9203,0.7221
337,0.9198,0.7372
338,0.9193,0.7327
339,0.9188,0.7235
340,0.9183,0.7211
341,0.9178,0.7278
342,0.9172,0.7221
343,0.9167,0.7333
