iter,loss,rmse
1,0.9860,4.9990
2,1.2681,4.8021
3,1.4316,3.4536
4,1.4365,3.5300
5,1.4752,4.4514
6,1.4584,3.4077
7,1.4372,3.2998
8,1.4391,3.8159
9,1.4124,2.9903
10,1.3858,2.8596
11,1.3609,2.8189
12,1.3366,2.5908
13,1.3153,2.7470
14,1.2939,2.4990
15,1.2735,2.3951
16,1.2535,2.3698
17,1.2339,2.4479
18,1.2166,2.4998
19,1.1994,2.4163
20,1.1831,2.3885
21,1.1677,2.4006
22,1.1535,2.4214
23,1.1393,2.3391
24,1.1257,2.3304
25,1.1134,2.3531
26,1.1013,2.3171
27,1.0896,2.3231
28,1.0778,2.3038
29,1.0666,2.3434
30,1.0561,2.3752
31,1.0461,2.3270
32,1.0361,2.2672
33,1.0263,2.2431
34,1.0166,2.2350
35,1.0074,2.2772
36,0.9982,2.2620
37,0.9892,2.2541
38,0.9804,2.2338
39,0.9718,2.2090
40,0.9635,2.2870
41,0.9552,2.2339
42,0.9470,2.2278
43,0.9392,2.2204
44,0.9312,2.2177
45,0.9234,2.2723
46,0.9157,2.2561
47,0.9079,2.1505
48,0.9002,2.1428
49,0.8927,2.2148
50,0.8850,2.1860
51,0.8775,2.1967
52,0.8701,2.2014
53,0.8626,2.2024
54,0.8551,2.1429
55,0.8478,2.1288
56,0.8404,2.0859
57,0.8331,2.1499
58,0.8258,2.1458
59,0.8185,2.1121
60,0.8112,2.1010
61,0.8039,2.0654
62,0.7967,2.0387
63,0.7896,2.0230
64,0.7823,2.0387
65,0.7753,2.1023
66,0.7684,2.0210
67,0.7614,1.9504
68,0.7546,2.0147
69,0.7481,2.0619
70,0.7414,1.9603
71,0.7350,1.9648
72,0.7283,1.9648
73,0.7221,2.0815
74,0.7158,1.9553
75,0.7099,1.9276
76,0.7037,1.8966
77,0.6978,2.0245
78,0.6919,1.9403
79,0.6861,1.9098
80,0.6804,1.9178
81,0.6748,1.9416
82,0.6693,1.9418
83,0.6639,1.9343
84,0.6583,1.8060
85,0.6529,1.8352
86,0.6476,1.8158
87,0.6425,1.8616
88,0.6374,1.8403
89,0.6324,1.8087
90,0.6274,1.7982
91,0.6226,1.8419
92,0.6178,1.7832
93,0.6130,1.7831
94,0.6084,1.8585
95,0.6038,1.8353
96,0.5993,1.7897
97,0.5950,1.7619
98,0.5906,1.7333
99,0.5865,1.8973
100,0.5823,1.7578
101,0.5783,1.6870
102,0.5742,1.7476
103,0.5703,1.8625
104,0.5664,1.8321
105,0.5625,1.7538
106,0.5588,1.7335
107,0.5551,1.8003
108,0.5515,1.8824
109,0.5479,1.7695
110,0.5444,1.6825
111,0.5409,1.7255
112,0.5374,1.6696
113,0.5340,1.7322
114,0.5306,1.7622
115,0.5273,1.7369
116,0.5240,1.6530
117,0.5208,1.6780
118,0.5176,1.6953
119,0.5145,1.7677
120,0.5116,1.8708
121,0.5085,1.7163
122,0.5055,1.6635
123,0.5026,1.6549
124,0.4997,1.6698
125,0.4968,1.7442
126,0.4940,1.6933
127,0.4912,1.6627
128,0.4884,1.6578
129,0.4858,1.8365
130,0.4831,1.7468
131,0.4805,1.6942
132,0.4779,1.7096
133,0.4752,1.6869
134,0.4727,1.7251
135,0.4702,1.6657
136,0.4677,1.5881
137,0.4652,1.5781
138,0.4629,1.6593
139,0.4605,1.7366
140,0.4581,1.6926
141,0.4558,1.6873
142,0.4535,1.6439
143,0.4513,1.6428
144,0.4490,1.6034
145,0.4468,1.6618
146,0.4446,1.6833
147,0.4424,1.6073
148,0.4402,1.6883
149,0.4381,1.6884
150,0.4360,1.6428
151,0.4340,1.6382
152,0.4319,1.6192
153,0.4298,1.6215
154,0.4277,1.6156
155,0.4257,1.6073
156,0.4237,1.5931
157,0.4218,1.5924
158,0.4198,1.5938
159,0.4179,1.7100
160,0.4160,1.6309
161,0.4141,1.5827
162,0.4123,1.5449
163,0.4104,1.6079
164,0.4086,1.6903
165,0.4068,1.6431
166,0.4050,1.5770
167,0.4033,1.5364
168,0.4015,1.5912
169,0.3998,1.6384
170,0.3981,1.6759
171,0.3964,1.5495
172,0.3947,1.5365
173,0.3930,1.5659
174,0.3914,1.6964
175,0.3897,1.5790
176,0.3881,1.5010
177,0.3865,1.5503
178,0.3849,1.5555
179,0.3833,1.6045
180,0.3817,1.6201
181,0.3802,1.5598
182,0.3787,1.5524
183,0.3772,1.5581
184,0.3757,1.5831
185,0.3742,1.5700
186,0.3727,1.6045
187,0.3713,1.5825
188,0.3698,1.5561
189,0.3683,1.5587
190,0.3669,1.5289
191,0.3654,1.5735
192,0.3641,1.6009
193,0.3627,1.5584
194,0.3613,1.4956
195,0.3600,1.5176
196,0.3586,1.5433
197,0.3573,1.5852
198,0.3559,1.5233
199,0.3546,1.5492
200,0.3533,1.6034
201,0.3520,1.5547
202,0.3507,1.5201
203,0.3495,1.5781
204,0.3482,1.5273
205,0.3471,1.6749
206,0.3459,1.5840
207,0.3446,1.5147
208,0.3434,1.5022
209,0.3422,1.4887
210,0.3410,1.5088
211,0.3398,1.5745
212,0.3387,1.5249
213,0.3375,1.4907
214,0.3363,1.5043
215,0.3352,1.5892
216,0.3341,1.5950
217,0.3330,1.5501
218,0.3320,1.5425
219,0.3308,1.5041
220,0.3297,1.5623
221,0.3287,1.5581
222,0.3276,1.5552
223,0.3265,1.5370
224,0.3255,1.5527
225,0.3245,1.5214
226,0.3235,1.6156
227,0.3225,1.5332
228,0.3214,1.5347
229,0.3204,1.4937
230,0.3195,1.5625
231,0.3185,1.5744
232,0.3176,1.6015
233,0.3166,1.5503
234,0.3156,1.4872
235,0.3146,1.4223
236,0.3137,1.5123
237,0.3127,1.5428
238,0.3118,1.5550
239,0.3109,1.5551
240,0.3099,1.5362
241,0.3090,1.5381
242,0.3081,1.5152
243,0.3071,1.4951
244,0.3062,1.4989
245,0.3053,1.4834
246,0.3044,1.5338
247,0.3035,1.5459
248,0.3027,1.4875
249,0.3018,1.5488
250,0.3009,1.5224
251,0.3001,1.5338
252,0.2992,1.4793
253,0.2983,1.5069
254,0.2974,1.4781
255,0.2966,1.5163
256,0.2957,1.4720
257,0.2949,1.4824
258,0.2940,1.5045
259,0.2932,1.4501
260,0.2924,1.5025
261,0.2916,1.5041
262,0.2908,1.6036
263,0.2900,1.4954
264,0.2892,1.4362
265,0.2884,1.4667
266,0.2876,1.4666
267,0.2868,1.5098
268,0.2860,1.5013
269,0.2852,1.4623
270,0.2844,1.4661
271,0.2837,1.4844
272,0.2829,1.4771
273,0.2821,1.5005
274,0.2814,1.5534
275,0.2806,1.4476
276,0.2799,1.4713
277,0.2792,1.4834
278,0.2784,1.4888
279,0.2777,1.4782
280,0.2769,1.4178
281,0.2762,1.4268
282,0.2754,1.4270
283,0.2747,1.4848
284,0.2740,1.4656
285,0.2733,1.5009
286,0.2726,1.4703
287,0.2718,1.4548
288,0.2711,1.4315
289,0.2704,1.4377
290,0.2698,1.4328
291,0.2691,1.4570
292,0.2684,1.4353
293,0.2677,1.4635
294,0.2670,1.4723
295,0.2663,1.4708
296,0.2656,1.4516
297,0.2650,1.4482
298,0.2643,1.4418
299,0.2636,1.4359
300,0.2630,1.4486
301,0.2623,1.4526
302,0.2617,1.4375
303,0.2610,1.4717
304,0.2604,1.4278
305,0.2597,1.4157
306,0.2591,1.4598
307,0.2585,1.4213
308,0.2579,1.4466
309,0.2572,1.4605
310,0.2566,1.4649
311,0.2560,1.4459
312,0.2554,1.4358
313,0.2548,1.4687
314,0.2542,1.4378
315,0.2536,1.4468
316,0.2530,1.4303
317,0.2524,1.4227
318,0.2518,1.4110
319,0.2512,1.4150
320,0.2506,1.4371
321,0.2500,1.4094
322,0.2494,1.4080
323,0.2488,1.4540
324,0.2483,1.4584
325,0.2477,1.4579
326,0.2471,1.4273
327,0.2466,1.4784
328,0.2460,1.4187
329,0.2454,1.4065
330,0.2449,1.4156
331,0.2443,1.4279
332,0.2438,1.4336
333,0.2432,1.3983
334,0.2427,1.4531
335,0.2421,1.4515
336,0.2416,1.4338
337,0.2411,1.4503
338,0.2405,1.4123
339,0.2400,1.4133
340,0.2395,1.4350
341,0.2389,1.3935
342,0.2384,1.3963
343,0.2379,1.4286
344,0.2373,1.4063
345,0.2368,1.4133
346,0.2363,1.4033
347,0.2358,1.4234
348,0.2353,1.4516
349,0.2348,1.4320
350,0.2343,1.4432
351,0.2338,1.4250
352,0.2333,1.4304
353,0.2328,1.3874
354,0.2323,1.3858
355,0.2318,1.3992
356,0.2313,1.4095
357,0.2308,1.3862
358,0.2303,1.4381
359,0.2299,1.4298
360,0.2294,1.4119
361,0.2289,1.4202
362,0.2284,1.4843
363,0.2280,1.4342
364,0.2275,1.4394
365,0.2270,1.4061
366,0.2265,1.4055
367,0.2261,1.4213
368,0.2256,1.4170
369,0.2251,1.3982
370,0.2247,1.3840
371,0.2242,1.4019
372,0.2238,1.3937
373,0.2233,1.4509
374,0.2229,1.3968
375,0.2224,1.4593
376,0.2220,1.4463
377,0.2216,1.4153
378,0.2211,1.4342
379,0.2207,1.3963
380,0.2203,1.4151
381,0.2198,1.3993
382,0.2194,1.3761
383,0.2190,1.4005
384,0.2185,1.4025
385,0.2181,1.3755
386,0.2177,1.3888
387,0.2173,1.4223
388,0.2169,1.4035
389,0.2164,1.4155
390,0.2160,1.4107
391,0.2156,1.4160
392,0.2152,1.3965
393,0.2148,1.4016
394,0.2144,1.3675
395,0.2140,1.3878
396,0.2135,1.3769
397,0.2132,1.4223
398,0.2128,1.4054
399,0.2124,1.4112
400,0.2120,1.4088
401,0.2116,1.4377
402,0.2112,1.3973
403,0.2108,1.4255
404,0.2104,1.4245
405,0.2100,1.4112
406,0.2096,1.3838
407,0.2092,1.4061
408,0.2089,1.3824
409,0.2085,1.4144
410,0.2081,1.3874
411,0.2077,1.4001
412,0.2073,1.3989
413,0.2070,1.3973
414,0.2066,1.3821
415,0.2062,1.3763
416,0.2058,1.4202
417,0.2055,1.3935
418,0.2051,1.4006
419,0.2047,1.4176
420,0.2044,1.4111
421,0.2040,1.4150
422,0.2037,1.4309
423,0.2033,1.4251
424,0.2030,1.3998
425,0.2026,1.3955
426,0.2023,1.3919
427,0.2019,1.3890
428,0.2016,1.4205
429,0.2012,1.4121
430,0.2009,1.4122
431,0.2005,1.4185
432,0.2002,1.3971
433,0.1999,1.3806
434,0.1995,1.3923
435,0.1992,1.3721
436,0.1988,1.3753
437,0.1985,1.3718
438,0.1982,1.4229
439,0.1979,1.3987
440,0.1975,1.3784
441,0.1972,1.3821
442,0.1969,1.4284
443,0.1965,1.4037
444,0.1962,1.4240
445,0.1959,1.4324
446,0.1956,1.4187
447,0.1953,1.4152
448,0.1949,1.3933
449,0.1946,1.4248
450,0.1943,1.4024
451,0.1940,1.3745
452,0.1936,1.3493
453,0.1933,1.4070
454,0.1930,1.4044
455,0.1927,1.3784
456,0.1924,1.3826
457,0.1921,1.3865
458,0.1918,1.3827
459,0.1915,1.3871
460,0.1912,1.4164
461,0.1909,1.3824
462,0.1906,1.3973
463,0.1903,1.4299
464,0.1900,1.3933
465,0.1897,1.4060
466,0.1894,1.4285
467,0.1891,1.3925
468,0.1888,1.4074
469,0.1885,1.3695
470,0.1882,1.4068
471,0.1879,1.3756
472,0.1877,1.4183
473,0.1874,1.3689
474,0.1871,1.3785
475,0.1868,1.3653
476,0.1865,1.3758
477,0.1862,1.3739
478,0.1859,1.3946
479,0.1856,1.3991
480,0.1854,1.3654
481,0.1851,1.3818
482,0.1848,1.4073
483,0.1845,1.4010
484,0.1842,1.3968
485,0.1839,1.3997
486,0.1837,1.4038
487,0.1834,1.3981
488,0.1831,1.3852
489,0.1828,1.4193
490,0.1826,1.3946
491,0.1823,1.3885
492,0.1820,1.3889
493,0.1818,1.3734
494,0.1815,1.3910
495,0.1812,1.3619
496,0.1810,1.3750
497,0.1807,1.4068
498,0.1804,1.3770
499,0.1802,1.3719
500,0.1799,1.3891
501,0.1796,1.3635
502,0.1794,1.3749
503,0.1791,1.3662
504,0.1788,1.3405
505,0.1786,1.3874
506,0.1783,1.4126
507,0.1781,1.3942
508,0.1778,1.4068
509,0.1776,1.3966
510,0.1773,1.4125
511,0.1771,1.3777
512,0.1768,1.3997
513,0.1766,1.3838
514,0.1763,1.3694
515,0.1761,1.4113
516,0.1758,1.3718
517,0.1756,1.3820
518,0.1754,1.3926
519,0.1751,1.3924
520,0.1749,1.4030
521,0.1746,1.3764
522,0.1744,1.4118
523,0.1742,1.4105
524,0.1739,1.3948
525,0.1737,1.3866
526,0.1735,1.3807
527,0.1732,1.3907
528,0.1730,1.3899
529,0.1728,1.4090
530,0.1725,1.3849
531,0.1723,1.3607
532,0.1720,1.3558
533,0.1718,1.3948
534,0.1716,1.3877
535,0.1714,1.3956
536,0.1711,1.4185
537,0.1709,1.4307
538,0.1707,1.4064
539,0.1705,1.3927
540,0.1703,1.3944
541,0.1700,1.3861
542,0.1698,1.4092
543,0.1696,1.3634
544,0.1694,1.3735
545,0.1691,1.3856
546,0.1689,1.3669
547,0.1687,1.3675
548,0.1685,1.3904
549,0.1683,1.3462
550,0.1680,1.3594
551,0.1678,1.3936
552,0.1676,1.3640
553,0.1674,1.3948
554,0.1672,1.3867
555,0.1670,1.3764
556,0.1667,1.3893
557,0.1665,1.3827
558,0.1663,1.4100
559,0.1661,1.3965
560,0.1659,1.3657
561,0.1657,1.4058
562,0.1655,1.4001
563,0.1653,1.3630
564,0.1651,1.4118
565,0.1649,1.3638
566,0.1646,1.3937
567,0.1644,1.3861
568,0.1642,1.3892
569,0.1640,1.3552
570,0.1638,1.3750
571,0.1636,1.3761
572,0.1634,1.3697
573,0.1632,1.3659
574,0.1630,1.3845
575,0.1628,1.3735
576,0.1626,1.4122
577,0.1624,1.3938
578,0.1622,1.4163
579,0.1620,1.3807
580,0.1618,1.3589
581,0.1616,1.3790
582,0.1614,1.3970
583,0.1612,1.4002
584,0.1610,1.4194
585,0.1609,1.4014
586,0.1607,1.3920
587,0.1605,1.4050
588,0.1603,1.3655
589,0.1601,1.3641
590,0.1599,1.3695
591,0.1597,1.3839
592,0.1595,1.3854
593,0.1593,1.3733
594,0.1591,1.3606
595,0.1590,1.4083
596,0.1588,1.3801
597,0.1586,1.3751
598,0.1584,1.3679
599,0.1582,1.3925
600,0.1580,1.3849
601,0.1579,1.3715
602,0.1577,1.3836
603,0.1575,1.4055
604,0.1573,1.3714
605,0.1571,1.4090
606,0.1569,1.3859
607,0.1568,1.3624
608,0.1566,1.4208
609,0.1564,1.3860
610,0.1562,1.3675
611,0.1561,1.3834
612,0.1559,1.3784
613,0.1557,1.3614
614,0.1555,1.3541
