iter,loss,rmse
1,0.9861,4.9992
2,1.2698,4.8170
3,1.4111,3.5156
4,1.4238,3.6432
5,1.4125,3.5578
6,1.4041,3.2461
7,1.4275,4.0476
8,1.4063,3.3560
9,1.3893,2.9405
10,1.3688,2.7649
11,1.3500,3.1365
12,1.3298,2.9452
13,1.3077,2.5959
14,1.2911,2.5252
15,1.2725,2.5568
16,1.2551,2.6775
17,1.2371,2.6069
18,1.2192,2.4787
19,1.2029,2.3532
20,1.1873,2.3686
21,1.1725,2.4518
22,1.1577,2.4389
23,1.1436,2.4129
24,1.1304,2.3978
25,1.1183,2.4058
26,1.1064,2.3688
27,1.0949,2.3268
28,1.0831,2.3260
29,1.0719,2.3581
30,1.0611,2.3726
31,1.0510,2.3736
32,1.0409,2.3044
33,1.0311,2.2598
34,1.0216,2.2433
35,1.0123,2.2706
36,1.0031,2.2754
37,0.9941,2.2801
38,0.9855,2.2639
39,0.9768,2.2469
40,0.9685,2.2622
41,0.9603,2.2166
42,0.9522,2.2372
43,0.9443,2.2155
44,0.9362,2.1853
45,0.9282,2.2264
46,0.9205,2.2863
47,0.9127,2.2018
48,0.9051,2.1612
49,0.8973,2.1448
50,0.8895,2.1355
51,0.8821,2.1854
52,0.8746,2.2103
53,0.8671,2.1733
54,0.8599,2.1866
55,0.8526,2.1252
56,0.8455,2.1145
57,0.8384,2.0868
58,0.8315,2.0991
59,0.8246,2.0704
60,0.8178,2.0826
61,0.8112,2.1086
62,0.8047,2.1160
63,0.7983,2.1138
64,0.7919,2.0688
65,0.7856,2.0679
66,0.7793,2.0433
67,0.7732,2.0364
68,0.7671,2.0217
69,0.7612,2.0435
70,0.7553,2.0560
71,0.7496,2.0164
72,0.7438,1.9949
73,0.7382,1.9872
74,0.7326,2.0181
75,0.7271,1.9979
76,0.7216,1.9747
77,0.7163,1.9956
78,0.7110,1.9355
79,0.7058,1.9635
80,0.7006,1.9501
81,0.6955,1.9972
82,0.6904,1.9622
83,0.6856,2.0125
84,0.6807,1.9612
85,0.6758,1.9220
86,0.6710,1.9242
87,0.6662,1.9176
88,0.6615,1.8941
89,0.6570,1.8987
90,0.6524,1.9060
91,0.6479,1.9284
92,0.6436,1.9502
93,0.6392,1.8757
94,0.6349,1.8964
95,0.6308,1.9353
96,0.6266,1.8849
97,0.6224,1.8539
98,0.6183,1.8507
99,0.6143,1.8533
100,0.6103,1.8505
101,0.6063,1.8436
102,0.6024,1.8752
103,0.5986,1.8497
104,0.5948,1.8326
105,0.5911,1.8276
106,0.5874,1.8550
107,0.5838,1.7847
108,0.5802,1.8176
109,0.5767,1.8294
110,0.5732,1.8230
111,0.5699,1.8716
112,0.5664,1.7942
113,0.5631,1.7866
114,0.5598,1.8130
115,0.5566,1.8256
116,0.5534,1.8178
117,0.5502,1.7792
118,0.5472,1.7747
119,0.5441,1.7881
120,0.5411,1.8087
121,0.5381,1.8399
122,0.5352,1.8267
123,0.5323,1.8074
124,0.5294,1.7850
125,0.5266,1.7594
126,0.5237,1.7523
127,0.5209,1.7754
128,0.5181,1.7349
129,0.5154,1.7508
130,0.5126,1.7302
131,0.5099,1.7091
132,0.5072,1.7198
133,0.5046,1.7835
134,0.5020,1.7473
135,0.4994,1.7046
136,0.4968,1.6883
137,0.4943,1.6693
138,0.4919,1.6972
139,0.4894,1.7449
140,0.4870,1.7101
141,0.4846,1.7374
142,0.4822,1.7464
143,0.4799,1.6737
144,0.4775,1.6595
145,0.4752,1.6735
146,0.4729,1.7037
147,0.4705,1.6842
148,0.4684,1.7349
149,0.4662,1.6868
150,0.4640,1.6767
151,0.4618,1.6084
152,0.4598,1.6926
153,0.4576,1.6446
154,0.4555,1.6672
155,0.4535,1.6773
156,0.4514,1.6501
157,0.4494,1.7041
158,0.4474,1.6812
159,0.4454,1.6980
160,0.4435,1.6560
161,0.4415,1.6757
162,0.4396,1.6232
163,0.4377,1.6380
164,0.4359,1.6544
165,0.4341,1.7021
166,0.4323,1.7327
167,0.4305,1.6729
168,0.4288,1.6539
169,0.4270,1.6300
170,0.4252,1.6799
171,0.4235,1.6861
172,0.4218,1.6776
173,0.4201,1.6106
174,0.4184,1.5763
175,0.4167,1.6066
176,0.4150,1.6106
177,0.4133,1.6251
178,0.4116,1.6305
179,0.4100,1.6050
180,0.4084,1.6939
181,0.4068,1.6450
182,0.4052,1.6741
183,0.4036,1.5943
184,0.4021,1.6056
185,0.4006,1.6188
186,0.3991,1.6347
187,0.3976,1.6611
188,0.3962,1.6524
189,0.3947,1.5841
190,0.3933,1.6176
191,0.3918,1.6235
192,0.3904,1.6488
193,0.3890,1.7166
194,0.3876,1.6376
195,0.3862,1.6182
196,0.3848,1.5553
197,0.3834,1.5478
198,0.3820,1.6063
199,0.3807,1.6651
200,0.3794,1.6406
201,0.3781,1.6372
202,0.3768,1.6030
203,0.3755,1.6159
