uid	sid
0	22644
0	27384
0	3559
0	14334
0	14023
1	13803
1	1211
1	11555
2	14254
2	12092
2	1480
2	18121
2	5354
2	37786
2	14371
3	39186
3	16383
3	36578
3	14614
3	15522
4	20619
4	29369
4	17165
5	37495
5	21550
5	10111
5	29340
5	320
5	10633
6	17692
6	21412
6	571
6	34006
6	1339
7	30702
7	26394
7	18685
8	29685
8	16846
8	37694
9	23853
9	6541
9	33979
9	11610
9	21434
10	27208
10	19740
10	18111
10	5822
11	7979
11	37625
11	32551
11	31683
12	18246
12	24524
12	5290
12	30527
13	36640
13	9652
13	2251
14	23041
14	2733
14	29616
15	3384
15	6531
15	39232
15	1986
15	11633
15	27333
16	36495
16	24402
16	5125
16	15286
17	33286
17	32456
17	4882
18	2025
18	24360
18	20711
19	13900
19	22316
19	30491
20	24410
20	19409
20	20171
21	36031
21	38294
21	36650
22	21452
22	31804
22	33966
22	15983
22	25667
22	25702
22	6271
23	22962
23	13005
23	18728
23	16591
23	1452
23	22092
23	11793
24	32999
24	19791
24	33862
25	20902
25	34465
25	27826
26	32203
26	14247
26	17580
26	27646
26	14723
26	22711
26	205
26	22522
26	30080
26	22334
27	7217
27	20762
27	27047
27	18605
27	24901
27	32000
27	23456
28	8002
28	13070
28	14957
28	23849
28	26028
28	23541
28	38288
28	24200
28	39161
28	12706
29	36776
29	12144
29	19254
30	7099
30	32588
30	16760
31	7952
31	38898
31	9105
31	28404
31	2909
31	3005
31	6735
32	7430
32	7191
32	8718
32	33415
33	2529
33	18144
33	23141
34	882
34	3983
34	31246
34	29819
34	36113
35	23362
35	13395
35	14474
35	1705
36	3270
36	34985
36	8446
36	19648
36	30369
37	11202
37	783
37	24495
37	4979
37	14751
37	20597
37	32385
37	19879
37	12213
37	5467
37	4211
38	428
38	16181
38	21933
38	18183
38	3705
38	1048
38	27748
39	15683
39	5765
39	29598
40	15616
40	39332
40	25733
41	32973
41	24219
41	527
42	20150
42	5538
42	38344
43	14254
43	25616
43	28189
44	7671
44	37448
44	10717
44	5596
44	1554
45	29105
45	24446
45	5724
45	13837
45	3639
46	32618
46	12232
46	26621
47	33126
47	37010
47	7279
48	20424
48	12087
48	20717
49	10649
49	25513
49	34336
50	29377
50	20961
50	7491
50	14365
51	19617
51	20676
51	4232
51	17142
52	28636
52	11927
52	16118
52	37101
52	23342
52	36625
52	12024
52	32515
53	11623
53	26648
53	26329
54	7801
54	33187
54	30390
54	32863
54	30907
55	36221
55	604
55	31778
55	7820
56	22114
56	16473
56	9595
57	22286
57	37344
57	7791
58	5172
58	29177
58	27334
58	10995
58	20676
58	33906
58	38035
58	12204
59	15885
59	37153
59	33932
60	24837
60	8948
60	14365
60	24679
60	4105
61	10758
61	27976
61	3561
62	4627
62	15216
62	23528
63	10893
63	28997
63	14503
63	22546
63	19262
64	20947
64	38543
64	13208
64	2527
65	7079
65	6178
65	27329
65	34166
65	88
65	18867
65	18925
65	7898
65	2235
65	17885
66	12639
66	26246
66	33025
67	15382
67	1523
67	10585
68	10866
68	37866
68	34291
68	2761
68	641
68	30322
69	28540
69	10835
69	16188
69	22596
70	3161
70	28240
70	7682
71	4148
71	13073
71	4170
71	2481
71	31243
71	36015
72	38105
72	10581
72	7826
73	33851
73	34668
73	24124
73	18643
74	1529
74	1035
74	14824
74	26348
74	3488
74	5627
74	36808
74	7153
75	19633
75	25013
75	30031
75	29217
75	32947
75	17188
76	14970
76	9875
76	17987
77	29642
77	29071
77	29431
78	19992
78	4605
78	34282
79	27448
79	20308
79	9508
80	4257
80	28742
80	30761
81	25439
81	19353
81	25216
81	17017
82	28793
82	4845
82	33364
82	19880
82	20534
83	15319
83	18885
83	34850
84	26725
84	12465
84	20844
84	33270
84	30702
84	7989
85	38579
85	27412
85	5248
85	9340
85	9609
86	38575
86	12069
86	2032
86	29728
87	27469
87	2069
87	7097
87	748
88	13421
88	25536
88	25417
89	19466
89	18728
89	10350
89	11647
90	12223
90	19480
90	1920
91	23777
91	7225
91	18179
92	27752
92	19338
92	14091
92	29357
92	22496
93	641
93	4916
93	28957
93	6941
94	12128
94	6906
94	37781
95	25364
95	33537
95	28606
95	38937
95	27172
95	22476
96	8826
96	9625
96	580
96	24301
96	8441
97	11807
97	31396
97	24027
97	12498
98	19628
98	26137
98	36438
99	2092
99	18024
99	9276
99	10082
100	28603
100	10281
100	3908
100	3779
100	10525
100	23867
101	9271
101	203
101	17442
102	34322
102	24823
102	30904
103	4416
103	20913
103	20576
104	5083
104	2757
104	31072
105	32588
105	26243
105	26529
106	12498
106	35151
106	11272
107	28337
107	36039
107	2687
108	7544
108	5651
108	13522
108	30488
108	28696
108	11910
108	14924
108	10799
108	7
108	31741
108	28606
108	30576
108	2491
108	27665
108	37380
109	10751
109	3736
109	18475
110	19549
110	30015
110	17725
110	23849
111	12333
111	16735
111	31450
112	25595
112	38516
112	3548
112	30379
113	34645
113	31292
113	3764
114	34678
114	36198
114	17899
115	30667
115	10695
115	3471
115	24749
116	1777
116	24985
116	27259
116	30499
117	34110
117	26671
117	21003
117	8749
117	17636
117	19641
117	154
118	6611
118	23345
118	5503
118	29787
118	9871
119	39429
119	3200
119	5486
119	12943
120	1270
120	5311
120	19806
120	957
121	18395
121	9986
121	20775
121	28316
121	3731
121	22887
122	38625
122	34042
122	14361
122	29523
123	25555
123	11939
123	12328
124	11508
124	7897
124	25233
125	24035
125	24255
125	33327
125	7492
125	5265
125	13870
126	5202
126	17298
126	3332
126	35799
126	35525
126	33567
126	28029
127	32061
127	38638
127	26389
127	35639
128	27400
128	26736
128	28912
128	13827
129	2031
129	6334
129	11468
129	37391
129	8883
130	869
130	13527
130	34986
131	22637
131	31837
131	11477
132	33192
132	33732
132	9811
132	28727
133	21511
133	16641
133	19800
133	5311
134	2662
134	3384
134	4253
134	37286
134	23780
135	17347
135	39282
135	26493
135	4559
135	12314
135	30634
135	29391
135	6782
136	2500
136	13647
136	39161
137	25261
137	34880
137	32402
137	22923
137	19035
137	32668
137	37743
138	19176
138	2469
138	32985
139	25667
139	3116
139	6489
139	1152
140	3405
140	451
140	31214
141	32518
141	7144
141	1486
142	35939
142	26037
142	25324
143	14412
143	28290
143	27079
143	21253
144	7502
144	22992
144	32691
145	30471
145	28108
145	24023
145	10634
145	17987
145	7111
146	37423
146	29748
146	3113
146	16572
147	35377
147	21284
147	19248
148	36592
148	1131
148	22733
148	25781
149	4745
149	32167
149	1180
149	39007
149	8721
149	36271
149	37704
149	25288
149	22267
149	38124
149	34686
150	104
150	35898
150	19665
150	351
150	11074
150	27142
150	5501
151	1463
151	12061
151	9454
151	22875
152	23774
152	17414
152	19589
152	33973
152	10217
153	12440
153	16531
153	9535
153	29874
153	33361
153	7306
153	4607
153	22030
153	9871
153	9791
153	17405
154	30968
154	5996
154	34593
154	17474
155	37163
155	31824
155	14270
156	19534
156	5028
156	17207
156	16110
157	35599
157	31163
157	8125
158	22633
158	12418
158	11000
158	37458
158	25769
158	37319
158	31707
159	22911
159	7289
159	24432
160	24771
160	3686
160	21591
161	6840
161	33478
161	20067
161	28048
161	21925
162	11293
162	9013
162	33578
163	13780
163	3363
163	39338
163	8826
163	33110
163	18688
163	19206
163	32745
163	14119
163	25676
163	23020
163	33054
163	3453
163	24736
163	38719
163	21485
164	31564
164	12777
164	9571
164	19097
164	6826
165	3063
165	37578
165	5194
165	29960
166	33651
166	5316
166	12892
167	17643
167	24612
167	13291
167	28499
167	24734
168	31527
168	32390
168	8024
169	38633
169	25142
169	22345
169	21071
169	24050
169	22619
169	17856
169	32281
169	7087
169	12309
169	14479
170	396
170	19208
170	32201
170	17695
170	36013
170	36242
171	27099
171	16406
171	5688
172	23973
172	14575
172	22081
172	34713
173	3679
173	30415
173	22221
174	35972
174	28641
174	32246
175	18299
175	32251
175	12868
175	39130
175	15345
175	31015
175	2711
175	34079
175	7121
176	23863
176	21231
176	26862
176	154
176	6138
176	634
176	18121
176	6214
176	3247
176	13247
176	33107
176	20473
176	24859
176	4250
176	895
176	27658
176	22261
176	31983
176	36544
176	23849
176	5182
176	26070
177	17524
177	12979
177	28649
178	33836
178	33118
178	3477
178	28759
179	13362
179	17583
179	36293
179	10894
180	31638
180	23837
180	10145
181	8030
181	33151
181	20965
182	5469
182	10214
182	418
183	25433
183	32389
183	6115
184	38415
184	24550
184	8182
185	30175
185	22658
185	21784
185	35683
185	1915
185	28649
185	19020
186	33334
186	5186
186	16531
186	11557
186	34165
186	31837
186	15989
186	18597
187	29719
187	1949
187	38154
187	37635
187	30402
187	3107
188	17178
188	38079
188	3074
188	17923
189	23871
189	25654
189	38562
189	28404
189	10673
189	4170
189	36467
190	27849
190	31746
190	29525
190	38264
190	18547
190	6750
190	8106
191	5724
191	7363
191	31196
191	34405
192	27333
192	12573
192	15471
193	2043
193	30873
193	8954
193	35783
194	15738
194	5174
194	16261
194	26681
194	10735
