uid	sid	3
0	27231	cart
0	26656	cart
0	9365	cart
0	4533	cart
0	29961	cart
0	6556	cart
0	2353	cart
0	8759	cart
1	7675	cart
1	11555	cart
1	1211	cart
2	22581	cart
2	31475	cart
2	14140	cart
3	6605	cart
4	34427	cart
4	1563	cart
4	28655	cart
4	16116	cart
5	8774	cart
5	16811	cart
5	25192	cart
5	5785	cart
5	32279	cart
5	28781	cart
6	24005	cart
6	34006	cart
6	571	cart
7	34476	cart
7	16326	cart
7	13049	cart
8	19196	cart
8	25741	cart
8	17561	cart
8	16980	cart
8	7628	cart
8	24931	cart
9	27132	cart
9	18752	cart
9	14002	cart
9	11822	cart
9	4245	cart
9	18925	cart
9	26810	cart
10	35467	cart
10	17822	cart
10	27911	cart
12	23267	cart
12	8358	cart
12	19002	cart
12	30527	cart
12	28734	cart
13	12366	cart
13	9652	cart
14	2733	cart
16	18603	cart
16	13711	cart
17	13139	cart
18	37693	cart
18	37970	cart
18	14134	cart
18	18940	cart
19	30933	cart
19	5735	cart
19	35880	cart
19	19116	cart
19	8222	cart
19	4276	cart
20	18940	cart
20	38105	cart
20	20171	cart
20	14119	cart
20	35011	cart
20	347	cart
20	7333	cart
20	24757	cart
22	4092	cart
22	6271	cart
22	15983	cart
22	26329	cart
22	19836	cart
24	31592	cart
26	20456	cart
26	14205	cart
26	32123	cart
27	31588	cart
28	2758	cart
29	2732	cart
29	30306	cart
29	24886	cart
29	36114	cart
29	37949	cart
30	7099	cart
30	38139	cart
30	19480	cart
31	6735	cart
31	2909	cart
31	38898	cart
31	3005	cart
31	9105	cart
31	28404	cart
32	7191	cart
33	26886	cart
33	11293	cart
33	2529	cart
33	5691	cart
33	27148	cart
35	6177	cart
35	23216	cart
35	14474	cart
35	7713	cart
36	16535	cart
36	24847	cart
38	18916	cart
38	37969	cart
38	31389	cart
38	35098	cart
38	27748	cart
39	15147	cart
39	4207	cart
40	39332	cart
41	20521	cart
41	18266	cart
41	5946	cart
41	9778	cart
41	16567	cart
42	19875	cart
42	12768	cart
43	11277	cart
43	4001	cart
44	24037	cart
44	20227	cart
45	4903	cart
45	33047	cart
45	15762	cart
45	5724	cart
45	37376	cart
45	156	cart
45	36737	cart
45	21156	cart
45	8002	cart
45	11114	cart
45	4046	cart
45	36118	cart
46	5003	cart
46	26077	cart
46	32195	cart
46	6831	cart
46	27676	cart
46	16219	cart
47	8909	cart
47	10312	cart
49	35733	cart
50	35976	cart
50	344	cart
50	11714	cart
51	9222	cart
51	14552	cart
51	14808	cart
51	32487	cart
51	25001	cart
51	35912	cart
52	2315	cart
52	10101	cart
52	31394	cart
53	8606	cart
53	18004	cart
53	26648	cart
53	26329	cart
53	11623	cart
54	26404	cart
54	16928	cart
54	38865	cart
56	37040	cart
56	16473	cart
56	3456	cart
56	6130	cart
56	9595	cart
56	19241	cart
56	30698	cart
57	14866	cart
57	18532	cart
57	33790	cart
57	5052	cart
57	32429	cart
57	9281	cart
59	38538	cart
59	6665	cart
59	22826	cart
59	18598	cart
60	3333	cart
60	14051	cart
60	6828	cart
60	1969	cart
60	35483	cart
60	14365	cart
60	18940	cart
60	35412	cart
61	7665	cart
61	25654	cart
61	3561	cart
61	33779	cart
61	27976	cart
61	1599	cart
61	30608	cart
65	34908	cart
65	30991	cart
65	20636	cart
65	432	cart
65	11512	cart
65	31340	cart
65	29007	cart
65	10526	cart
65	5706	cart
65	34923	cart
65	35750	cart
65	17885	cart
65	30415	cart
66	26246	cart
66	23774	cart
68	2761	cart
68	33677	cart
68	4089	cart
68	31321	cart
68	34946	cart
68	6988	cart
