uid	sid	3
0	8759	pv
0	33672	pv
0	14334	pv
0	3559	pv
0	27384	pv
0	4168	pv
0	38500	pv
0	19125	pv
0	22424	pv
0	23055	pv
0	34448	pv
0	26428	pv
0	31797	pv
0	10894	pv
0	5746	pv
0	5956	pv
0	39025	pv
0	19652	pv
0	31096	pv
0	28785	pv
0	5447	pv
0	35958	pv
0	1249	pv
0	27283	pv
0	14858	pv
0	2717	pv
0	25928	pv
0	32715	pv
0	35904	pv
0	10632	pv
0	26337	pv
0	36822	pv
0	14023	pv
0	36414	pv
0	24982	pv
0	23455	pv
0	35160	pv
0	7733	pv
0	5359	pv
0	35928	pv
0	27055	pv
0	35921	pv
0	1603	pv
0	9129	pv
0	7317	pv
0	23018	pv
0	19782	pv
0	19480	pv
0	30104	pv
0	19729	pv
0	37962	pv
0	26571	pv
0	33242	pv
0	6960	pv
0	37551	pv
0	17757	pv
0	26655	pv
0	34360	pv
0	36403	pv
0	13797	pv
0	18392	pv
0	2894	pv
0	24504	pv
0	18159	pv
0	29961	pv
0	23502	pv
0	37310	pv
0	10779	pv
0	35955	pv
0	17302	pv
0	25892	pv
0	26656	pv
0	1382	pv
0	20548	pv
0	10414	pv
0	3787	pv
0	35113	pv
0	33165	pv
0	31882	pv
0	28049	pv
0	34000	pv
0	13686	pv
0	30147	pv
0	25965	pv
0	34975	pv
0	27401	pv
0	23511	pv
0	22603	pv
0	24805	pv
0	3027	pv
0	36629	pv
0	2275	pv
0	23405	pv
0	36353	pv
0	9318	pv
0	22644	pv
0	36662	pv
0	36821	pv
0	1380	pv
0	13556	pv
0	5612	pv
0	19745	pv
0	24886	pv
0	34683	pv
0	2041	pv
0	18572	pv
0	7771	pv
0	27184	pv
0	24931	pv
0	20499	pv
0	11516	pv
0	39285	pv
0	2338	pv
0	36849	pv
0	22686	pv
1	7675	pv
1	37367	pv
1	15877	pv
1	9012	pv
1	31153	pv
1	9971	pv
1	18125	pv
1	11555	pv
1	17167	pv
1	14585	pv
1	34368	pv
1	1211	pv
1	8179	pv
1	29852	pv
1	1875	pv
1	35732	pv
1	37638	pv
1	9868	pv
1	22905	pv
1	4826	pv
1	29358	pv
1	32318	pv
1	21042	pv
1	18136	pv
1	38722	pv
1	17654	pv
1	30965	pv
1	33462	pv
1	23646	pv
1	28639	pv
1	5977	pv
1	36165	pv
2	11098	pv
2	6140	pv
2	11168	pv
2	14140	pv
2	28163	pv
2	2755	pv
2	5354	pv
2	15866	pv
2	14371	pv
2	6231	pv
2	37786	pv
2	11820	pv
2	6022	pv
2	14847	pv
2	9339	pv
2	10446	pv
2	33130	pv
2	13122	pv
2	24253	pv
2	25693	pv
2	15836	pv
2	22216	pv
2	15277	pv
2	12141	pv
2	12092	pv
2	6351	pv
2	39209	pv
2	2346	pv
2	20211	pv
2	35168	pv
2	8356	pv
2	3419	pv
2	23022	pv
2	21134	pv
2	33931	pv
2	30206	pv
2	1480	pv
2	14254	pv
2	6673	pv
2	24962	pv
2	19880	pv
2	28112	pv
2	5130	pv
2	35524	pv
2	2795	pv
2	29849	pv
2	18626	pv
2	11495	pv
2	17608	pv
2	25171	pv
2	22872	pv
2	30092	pv
2	7841	pv
2	26723	pv
2	18121	pv
2	17049	pv
3	39186	pv
3	14402	pv
3	32080	pv
3	21880	pv
3	8122	pv
3	11500	pv
3	34191	pv
3	6605	pv
3	34160	pv
3	20829	pv
3	14919	pv
3	25443	pv
3	23156	pv
3	4057	pv
3	9145	pv
3	15522	pv
3	28961	pv
3	30578	pv
4	37684	pv
4	29369	pv
4	33516	pv
4	34330	pv
4	15584	pv
4	1543	pv
4	3540	pv
4	8946	pv
4	24227	pv
4	39305	pv
4	12498	pv
4	29554	pv
4	12748	pv
4	18530	pv
4	23241	pv
4	11967	pv
4	11668	pv
4	28655	pv
4	28136	pv
4	13023	pv
4	36275	pv
4	32226	pv
4	28578	pv
4	38874	pv
4	35861	pv
4	4106	pv
4	36607	pv
4	11084	pv
5	35647	pv
5	7672	pv
5	3748	pv
5	21550	pv
5	32681	pv
5	27354	pv
5	5174	pv
5	25195	pv
5	9371	pv
5	3615	pv
5	16392	pv
5	19400	pv
5	28781	pv
5	12800	pv
5	18050	pv
5	36460	pv
5	18548	pv
5	37547	pv
5	29983	pv
5	25192	pv
5	22261	pv
5	20556	pv
5	12911	pv
5	8774	pv
5	16018	pv
5	26090	pv
5	14908	pv
5	320	pv
5	24840	pv
5	31170	pv
5	33184	pv
5	10633	pv
5	28456	pv
5	16811	pv
5	9277	pv
5	25533	pv
5	15441	pv
5	29340	pv
5	28666	pv
5	10691	pv
5	5785	pv
5	27400	pv
5	10111	pv
5	32368	pv
5	24608	pv
5	11001	pv
5	21542	pv
5	14827	pv
5	31043	pv
5	4396	pv
5	30753	pv
5	16785	pv
5	11314	pv
5	25917	pv
5	25223	pv
5	26869	pv
5	3638	pv
6	10898	pv
6	20432	pv
6	17692	pv
6	15149	pv
6	9991	pv
6	4582	pv
6	2708	pv
6	22280	pv
6	17186	pv
6	32182	pv
6	37889	pv
6	35894	pv
6	571	pv
6	21412	pv
6	34006	pv
6	27575	pv
6	16274	pv
6	10966	pv
6	24005	pv
6	10524	pv
6	31193	pv
7	31923	pv
7	36294	pv
7	24316	pv
7	36629	pv
7	13049	pv
7	36430	pv
7	4541	pv
7	23973	pv
7	2026	pv
7	30702	pv
7	34328	pv
7	24935	pv
7	10485	pv
7	837	pv
7	11777	pv
7	18685	pv
7	20308	pv
7	11515	pv
7	17318	pv
7	35363	pv
7	19992	pv
7	24368	pv
7	2757	pv
7	27653	pv
7	5104	pv
7	3088	pv
7	4905	pv
7	34476	pv
7	26394	pv
7	24775	pv
7	35233	pv
7	33659	pv
7	8931	pv
7	7995	pv
7	16326	pv
7	25434	pv
7	26509	pv
7	22023	pv
7	21562	pv
7	34585	pv
7	21237	pv
7	23147	pv
7	33270	pv
7	4005	pv
7	5412	pv
8	12962	pv
8	15936	pv
8	7195	pv
8	3851	pv
8	22279	pv
8	25741	pv
8	3530	pv
8	3071	pv
8	764	pv
8	33094	pv
8	10866	pv
8	13198	pv
8	24786	pv
8	8794	pv
8	15508	pv
8	7628	pv
8	8403	pv
8	7536	pv
8	24931	pv
8	34031	pv
8	2931	pv
8	31505	pv
8	31821	pv
8	9823	pv
8	11516	pv
8	37694	pv
8	2501	pv
8	19175	pv
8	32186	pv
8	9430	pv
8	4758	pv
8	16846	pv
8	31971	pv
9	1613	pv
9	36962	pv
9	10688	pv
9	21711	pv
9	39362	pv
9	17575	pv
9	17700	pv
9	35945	pv
9	13525	pv
9	23853	pv
9	23247	pv
9	23593	pv
9	3091	pv
9	6541	pv
9	14858	pv
9	25708	pv
9	30161	pv
9	612	pv
9	27989	pv
9	11330	pv
9	11822	pv
9	18011	pv
9	24637	pv
9	39313	pv
9	20476	pv
9	27132	pv
9	24045	pv
