iter,loss,rmse
1,0.7785,1.0747
2,0.9730,0.8319
3,1.0197,0.6736
4,1.0106,0.6801
5,0.9831,0.7768
6,0.9599,0.8106
7,0.9446,0.7949
8,0.9275,0.7752
9,0.9066,0.7512
10,0.8832,0.7052
11,0.8660,0.6611
12,0.8541,0.6758
13,0.8410,0.6593
14,0.8253,0.6496
15,0.8112,0.6739
16,0.7985,0.6916
17,0.7875,0.6982
18,0.7770,0.6933
19,0.7663,0.6818
20,0.7558,0.6643
21,0.7459,0.6483
22,0.7370,0.6359
23,0.7287,0.6306
24,0.7208,0.6303
25,0.7128,0.6364
26,0.7049,0.6456
27,0.6974,0.6548
28,0.6904,0.6623
29,0.6837,0.6673
30,0.6772,0.6608
31,0.6708,0.6515
32,0.6646,0.6442
33,0.6588,0.6360
34,0.6532,0.6295
35,0.6478,0.6269
36,0.6426,0.6277
37,0.6374,0.6333
38,0.6325,0.6404
39,0.6277,0.6392
40,0.6229,0.6390
41,0.6184,0.6349
42,0.6140,0.6324
43,0.6097,0.6258
44,0.6056,0.6214
45,0.6016,0.6173
46,0.5977,0.6152
47,0.5939,0.6188
48,0.5902,0.6203
49,0.5866,0.6218
50,0.5832,0.6239
51,0.5798,0.6198
52,0.5765,0.6186
53,0.5733,0.6150
54,0.5702,0.6064
55,0.5671,0.6048
56,0.5641,0.6064
57,0.5612,0.6092
58,0.5583,0.6110
59,0.5555,0.6111
60,0.5527,0.6118
61,0.5500,0.6030
62,0.5475,0.6055
63,0.5449,0.6039
64,0.5425,0.5991
65,0.5401,0.6028
66,0.5378,0.6087
67,0.5355,0.6050
68,0.5332,0.6040
69,0.5310,0.5997
70,0.5288,0.5989
71,0.5267,0.6013
72,0.5246,0.6033
73,0.5226,0.5967
74,0.5206,0.6030
75,0.5187,0.6022
76,0.5168,0.6052
77,0.5150,0.6012
78,0.5132,0.5992
79,0.5114,0.6036
80,0.5097,0.5993
81,0.5081,0.6019
82,0.5064,0.6010
83,0.5048,0.6008
84,0.5032,0.6002
85,0.5017,0.5959
86,0.5002,0.6011
87,0.4987,0.6045
88,0.4973,0.5981
89,0.4958,0.5941
90,0.4945,0.5964
91,0.4931,0.5971
92,0.4917,0.5968
93,0.4904,0.6001
94,0.4891,0.5993
95,0.4878,0.5966
96,0.4866,0.5896
97,0.4853,0.5949
98,0.4841,0.5986
99,0.4830,0.5969
100,0.4818,0.6007
101,0.4807,0.5963
102,0.4796,0.5975
103,0.4785,0.5953
104,0.4774,0.5983
105,0.4764,0.5977
106,0.4753,0.5978
107,0.4743,0.5961
108,0.4733,0.5973
109,0.4723,0.5970
110,0.4713,0.5928
111,0.4703,0.5945
112,0.4694,0.5961
113,0.4684,0.5897
114,0.4675,0.5961
115,0.4666,0.5951
116,0.4657,0.5982
117,0.4648,0.5904
118,0.4640,0.5924
119,0.4631,0.5972
120,0.4623,0.6013
121,0.4615,0.6031
122,0.4607,0.5983
123,0.4599,0.5962
124,0.4591,0.5941
125,0.4583,0.5911
126,0.4575,0.5939
127,0.4568,0.5869
128,0.4560,0.5960
129,0.4553,0.5933
130,0.4546,0.5917
131,0.4538,0.5978
132,0.4531,0.5925
133,0.4525,0.6001
134,0.4518,0.5964
135,0.4511,0.6011
136,0.4505,0.5944
137,0.4498,0.5932
138,0.4492,0.5915
139,0.4485,0.5940
140,0.4479,0.5924
141,0.4473,0.5927
142,0.4466,0.5901
143,0.4460,0.5969
144,0.4454,0.5947
145,0.4448,0.5977
146,0.4442,0.5900
147,0.4436,0.5932
148,0.4431,0.5989
149,0.4425,0.5934
150,0.4420,0.5945
151,0.4414,0.6012
152,0.4409,0.5948
153,0.4403,0.5944
154,0.4398,0.5923
155,0.4393,0.5930
156,0.4388,0.5987
157,0.4383,0.5950
158,0.4378,0.5963
159,0.4373,0.5981
160,0.4368,0.5925
161,0.4363,0.5951
162,0.4358,0.5891
163,0.4353,0.5922
164,0.4348,0.5927
165,0.4344,0.5899
166,0.4339,0.5909
167,0.4335,0.5968
168,0.4330,0.6050
169,0.4326,0.5965
170,0.4322,0.5958
171,0.4317,0.5897
172,0.4313,0.5962
173,0.4309,0.5906
174,0.4304,0.5923
175,0.4300,0.5883
176,0.4296,0.5926
177,0.4292,0.5902
178,0.4288,0.5960
179,0.4284,0.5952
180,0.4280,0.5910
181,0.4276,0.5948
182,0.4272,0.5958
183,0.4268,0.5950
184,0.4264,0.5959
185,0.4260,0.5938
186,0.4256,0.5954
187,0.4253,0.5977
188,0.4249,0.5924
189,0.4245,0.5952
190,0.4242,0.5993
191,0.4238,0.5950
192,0.4235,0.5955
193,0.4232,0.6001
194,0.4228,0.5931
195,0.4225,0.5936
196,0.4221,0.5902
197,0.4218,0.5880
198,0.4214,0.5898
199,0.4211,0.5925
200,0.4208,0.5889
201,0.4205,0.5927
202,0.4202,0.5930
203,0.4198,0.5945
204,0.4195,0.5954
205,0.4192,0.5908
206,0.4189,0.5968
207,0.4186,0.5971
208,0.4183,0.5970
209,0.4180,0.5958
210,0.4177,0.5935
211,0.4174,0.5925
212,0.4171,0.5897
213,0.4168,0.5943
214,0.4165,0.5925
215,0.4162,0.5939
216,0.4160,0.5902
217,0.4157,0.5943
218,0.4154,0.5939
219,0.4151,0.5908
220,0.4149,0.5923
221,0.4146,0.5896
222,0.4143,0.5883
223,0.4141,0.5944
224,0.4138,0.5903
225,0.4136,0.5968
226,0.4133,0.5923
227,0.4130,0.5902
228,0.4128,0.5960
229,0.4125,0.5971
230,0.4123,0.5920
231,0.4121,0.5970
232,0.4118,0.5917
233,0.4116,0.5903
234,0.4113,0.5911
235,0.4111,0.5940
236,0.4108,0.5829
237,0.4106,0.5951
238,0.4104,0.5884
239,0.4101,0.5888
240,0.4099,0.5922
241,0.4097,0.5885
242,0.4094,0.5896
243,0.4092,0.5914
244,0.4090,0.5978
245,0.4087,0.5940
246,0.4085,0.5930
247,0.4083,0.5932
248,0.4081,0.5938
249,0.4079,0.5882
250,0.4077,0.5963
251,0.4075,0.5933
252,0.4072,0.5895
253,0.4070,0.5895
254,0.4068,0.5938
255,0.4066,0.5925
256,0.4064,0.5942
257,0.4062,0.5890
258,0.4060,0.5906
259,0.4058,0.5937
260,0.4056,0.5918
261,0.4054,0.5931
262,0.4052,0.5935
263,0.4050,0.5966
264,0.4048,0.5958
265,0.4047,0.5981
266,0.4045,0.5944
267,0.4043,0.5933
268,0.4041,0.5931
269,0.4039,0.5933
270,0.4037,0.5948
271,0.4035,0.5923
272,0.4033,0.5922
273,0.4032,0.5935
274,0.4030,0.5940
275,0.4028,0.5971
276,0.4026,0.5971
277,0.4025,0.5952
278,0.4023,0.5940
279,0.4021,0.5948
280,0.4020,0.5899
281,0.4018,0.5871
282,0.4016,0.5922
283,0.4015,0.5950
284,0.4013,0.5923
285,0.4011,0.5970
286,0.4010,0.5884
287,0.4008,0.5857
288,0.4006,0.5925
289,0.4005,0.5879
290,0.4003,0.5960
291,0.4001,0.5924
292,0.4000,0.5915
293,0.3998,0.5910
294,0.3997,0.5857
295,0.3995,0.5914
296,0.3994,0.5896
297,0.3992,0.5931
