iter,loss,rmse
1,0.7789,1.0740
2,0.9690,0.8145
3,1.0124,0.6608
4,0.9998,0.6840
5,0.9723,0.7753
6,0.9501,0.7989
7,0.9371,0.7837
8,0.9204,0.7633
9,0.8988,0.7369
10,0.8759,0.6833
11,0.8621,0.6889
12,0.8517,0.7099
13,0.8377,0.6597
14,0.8215,0.6559
15,0.8074,0.6799
16,0.7947,0.6929
17,0.7836,0.6978
18,0.7730,0.6918
19,0.7621,0.6798
20,0.7516,0.6625
21,0.7413,0.6425
22,0.7323,0.6302
23,0.7240,0.6249
24,0.7156,0.6218
25,0.7075,0.6250
26,0.6993,0.6325
27,0.6915,0.6380
28,0.6841,0.6459
29,0.6771,0.6499
30,0.6704,0.6468
31,0.6638,0.6405
32,0.6574,0.6337
33,0.6513,0.6216
34,0.6456,0.6116
35,0.6400,0.6063
36,0.6347,0.6174
37,0.6294,0.6159
38,0.6244,0.6225
39,0.6194,0.6258
40,0.6147,0.6265
41,0.6101,0.6208
42,0.6055,0.6214
43,0.6012,0.6152
44,0.5970,0.6128
45,0.5930,0.6044
46,0.5891,0.6032
47,0.5853,0.6085
48,0.5816,0.6089
49,0.5780,0.6110
50,0.5746,0.6179
51,0.5713,0.6161
52,0.5680,0.6142
53,0.5649,0.6131
54,0.5618,0.6018
55,0.5589,0.6039
56,0.5559,0.6041
57,0.5530,0.6004
58,0.5502,0.6010
59,0.5474,0.6047
60,0.5447,0.6039
61,0.5421,0.6025
62,0.5395,0.6020
63,0.5370,0.6050
64,0.5347,0.6024
65,0.5324,0.5992
66,0.5301,0.6056
67,0.5279,0.5970
68,0.5257,0.5952
69,0.5236,0.5959
70,0.5216,0.5979
71,0.5196,0.6039
72,0.5176,0.6028
73,0.5157,0.5995
74,0.5138,0.6061
75,0.5119,0.6032
76,0.5102,0.6068
77,0.5084,0.5996
78,0.5067,0.5952
79,0.5051,0.5978
80,0.5035,0.5988
81,0.5019,0.5956
82,0.5002,0.5961
83,0.4987,0.5975
84,0.4972,0.5986
85,0.4956,0.5952
86,0.4942,0.6005
87,0.4928,0.6037
88,0.4914,0.5957
89,0.4900,0.5936
90,0.4887,0.5968
91,0.4873,0.5964
92,0.4860,0.5960
93,0.4848,0.5938
94,0.4835,0.5936
95,0.4823,0.5961
96,0.4811,0.5891
97,0.4799,0.5931
98,0.4787,0.5951
99,0.4776,0.5962
100,0.4765,0.6014
101,0.4753,0.5973
102,0.4743,0.5953
103,0.4732,0.5950
104,0.4721,0.5958
105,0.4711,0.5956
106,0.4701,0.5987
107,0.4691,0.5908
108,0.4681,0.5947
109,0.4671,0.5931
110,0.4661,0.5941
111,0.4652,0.5902
112,0.4642,0.5972
113,0.4633,0.5880
114,0.4624,0.5938
115,0.4615,0.5921
116,0.4607,0.5962
117,0.4598,0.5879
118,0.4590,0.5867
119,0.4581,0.5927
120,0.4573,0.5963
121,0.4565,0.5979
122,0.4558,0.5985
123,0.4550,0.5989
124,0.4542,0.5978
125,0.4535,0.5963
126,0.4527,0.5942
127,0.4520,0.5895
128,0.4513,0.5941
129,0.4506,0.5932
130,0.4499,0.5914
131,0.4492,0.5930
132,0.4485,0.5914
133,0.4478,0.5952
134,0.4472,0.5931
135,0.4465,0.5961
136,0.4459,0.5955
137,0.4452,0.5909
138,0.4446,0.5916
139,0.4440,0.5925
140,0.4434,0.5924
141,0.4427,0.5955
142,0.4421,0.5920
143,0.4415,0.5970
144,0.4409,0.5927
145,0.4404,0.5957
146,0.4398,0.5915
147,0.4392,0.5917
148,0.4387,0.5971
149,0.4382,0.5898
150,0.4376,0.5935
151,0.4371,0.5955
152,0.4365,0.5950
153,0.4360,0.5945
154,0.4355,0.5919
155,0.4350,0.5912
156,0.4345,0.5968
157,0.4340,0.5915
158,0.4335,0.5949
159,0.4330,0.5924
160,0.4325,0.5913
161,0.4320,0.5926
162,0.4316,0.5899
163,0.4311,0.5890
164,0.4307,0.5952
165,0.4302,0.5898
166,0.4297,0.5886
167,0.4293,0.5948
168,0.4289,0.5996
169,0.4284,0.5965
170,0.4280,0.5949
171,0.4276,0.5906
172,0.4272,0.5949
173,0.4268,0.5895
174,0.4263,0.5905
175,0.4259,0.5871
176,0.4255,0.5917
177,0.4251,0.5864
178,0.4247,0.5909
179,0.4243,0.5918
180,0.4239,0.5911
181,0.4235,0.5885
182,0.4231,0.5942
183,0.4227,0.5930
184,0.4224,0.5922
185,0.4220,0.5875
186,0.4216,0.5954
187,0.4213,0.5985
188,0.4209,0.5922
189,0.4206,0.5909
190,0.4202,0.5956
191,0.4199,0.5927
192,0.4195,0.5944
193,0.4192,0.5953
194,0.4188,0.5892
195,0.4185,0.5908
196,0.4182,0.5920
197,0.4178,0.5881
198,0.4175,0.5898
199,0.4172,0.5952
200,0.4169,0.5862
201,0.4166,0.5896
202,0.4162,0.5948
203,0.4159,0.5912
204,0.4156,0.5929
205,0.4153,0.5886
206,0.4150,0.5919
207,0.4147,0.5958
208,0.4144,0.5960
209,0.4141,0.5907
210,0.4138,0.5898
211,0.4135,0.5925
212,0.4132,0.5900
213,0.4130,0.5932
214,0.4127,0.5927
215,0.4124,0.5934
216,0.4121,0.5899
217,0.4119,0.5955
218,0.4116,0.5957
219,0.4113,0.5873
220,0.4111,0.5884
221,0.4108,0.5889
222,0.4105,0.5869
223,0.4103,0.5909
224,0.4100,0.5892
225,0.4098,0.5934
226,0.4095,0.5919
227,0.4093,0.5919
228,0.4090,0.5943
229,0.4088,0.5983
230,0.4086,0.5928
231,0.4083,0.5921
232,0.4081,0.5927
233,0.4078,0.5900
234,0.4076,0.5914
235,0.4074,0.5935
236,0.4071,0.5846
237,0.4069,0.5927
238,0.4067,0.5918
239,0.4064,0.5912
240,0.4062,0.5911
241,0.4060,0.5846
242,0.4057,0.5903
243,0.4055,0.5895
244,0.4053,0.5969
245,0.4051,0.5907
246,0.4049,0.5934
247,0.4047,0.5919
248,0.4044,0.5918
249,0.4042,0.5871
250,0.4040,0.5950
251,0.4038,0.5913
252,0.4036,0.5902
253,0.4034,0.5934
254,0.4032,0.5916
255,0.4030,0.5927
256,0.4028,0.5914
257,0.4026,0.5878
258,0.4024,0.5873
259,0.4022,0.5889
260,0.4020,0.5887
261,0.4018,0.5924
262,0.4016,0.5950
263,0.4014,0.5908
264,0.4012,0.5910
265,0.4010,0.5948
266,0.4008,0.5920
267,0.4006,0.5916
268,0.4005,0.5909
269,0.4003,0.5904
270,0.4001,0.5923
271,0.3999,0.5908
272,0.3997,0.5911
273,0.3995,0.5923
274,0.3994,0.5886
275,0.3992,0.5925
276,0.3990,0.5924
277,0.3989,0.5914
278,0.3987,0.5914
279,0.3985,0.5919
280,0.3984,0.5890
281,0.3982,0.5885
282,0.3980,0.5912
283,0.3979,0.5907
284,0.3977,0.5887
285,0.3975,0.5945
286,0.3974,0.5886
287,0.3972,0.5868
288,0.3970,0.5889
289,0.3969,0.5860
290,0.3967,0.5913
291,0.3965,0.5895
292,0.3964,0.5891
293,0.3962,0.5914
294,0.3961,0.5835
