iter,loss,rmse
1,0.8031,1.0548
2,0.9870,0.9881
3,1.0084,0.8515
4,0.9622,0.6771
5,0.8992,0.5815
6,0.8551,0.5858
7,0.8287,0.5989
8,0.8089,0.6028
9,0.7868,0.5987
10,0.7631,0.5926
11,0.7387,0.5807
12,0.7171,0.5743
13,0.7003,0.5853
14,0.6863,0.5927
15,0.6723,0.5808
16,0.6581,0.5683
17,0.6444,0.5700
18,0.6323,0.5753
19,0.6216,0.5816
20,0.6124,0.5864
21,0.6035,0.5823
22,0.5949,0.5747
23,0.5867,0.5655
24,0.5792,0.5597
25,0.5727,0.5605
26,0.5667,0.5600
27,0.5609,0.5599
28,0.5551,0.5590
29,0.5497,0.5642
30,0.5446,0.5696
31,0.5399,0.5739
32,0.5354,0.5748
33,0.5311,0.5717
34,0.5270,0.5671
35,0.5230,0.5617
36,0.5193,0.5585
37,0.5159,0.5571
38,0.5126,0.5570
39,0.5095,0.5577
40,0.5064,0.5607
41,0.5035,0.5648
42,0.5007,0.5679
43,0.4981,0.5707
44,0.4955,0.5714
45,0.4931,0.5696
46,0.4908,0.5667
47,0.4885,0.5638
48,0.4863,0.5611
49,0.4843,0.5597
50,0.4823,0.5600
51,0.4804,0.5607
52,0.4786,0.5627
53,0.4768,0.5646
54,0.4750,0.5665
55,0.4734,0.5671
56,0.4718,0.5670
57,0.4702,0.5659
58,0.4687,0.5640
59,0.4672,0.5622
60,0.4658,0.5608
61,0.4645,0.5601
62,0.4632,0.5605
63,0.4619,0.5611
64,0.4606,0.5623
65,0.4594,0.5635
66,0.4583,0.5644
67,0.4571,0.5645
68,0.4560,0.5640
69,0.4549,0.5629
70,0.4539,0.5618
71,0.4529,0.5609
72,0.4519,0.5608
73,0.4509,0.5605
74,0.4500,0.5614
75,0.4491,0.5620
76,0.4482,0.5629
77,0.4473,0.5637
78,0.4464,0.5632
79,0.4456,0.5631
80,0.4448,0.5623
81,0.4440,0.5616
82,0.4432,0.5613
83,0.4425,0.5610
84,0.4417,0.5613
85,0.4410,0.5614
86,0.4403,0.5622
87,0.4396,0.5628
88,0.4389,0.5628
89,0.4383,0.5628
90,0.4376,0.5623
91,0.4370,0.5619
92,0.4363,0.5615
93,0.4357,0.5612
94,0.4351,0.5609
95,0.4346,0.5612
96,0.4340,0.5614
97,0.4334,0.5618
98,0.4329,0.5620
99,0.4323,0.5620
100,0.4318,0.5618
101,0.4313,0.5616
102,0.4307,0.5611
103,0.4302,0.5606
104,0.4297,0.5604
105,0.4292,0.5602
106,0.4288,0.5605
107,0.4283,0.5606
108,0.4278,0.5610
109,0.4274,0.5608
110,0.4269,0.5605
111,0.4264,0.5601
112,0.4260,0.5599
113,0.4256,0.5600
114,0.4251,0.5596
115,0.4247,0.5595
116,0.4243,0.5598
117,0.4239,0.5598
118,0.4235,0.5603
119,0.4230,0.5596
120,0.4226,0.5592
121,0.4222,0.5582
122,0.4218,0.5578
123,0.4215,0.5577
124,0.4211,0.5573
125,0.4207,0.5588
126,0.4203,0.5585
127,0.4199,0.5584
128,0.4195,0.5567
129,0.4192,0.5559
130,0.4188,0.5553
131,0.4184,0.5558
132,0.4181,0.5564
133,0.4177,0.5565
134,0.4174,0.5566
135,0.4170,0.5561
136,0.4167,0.5553
137,0.4164,0.5554
138,0.4160,0.5554
139,0.4157,0.5555
140,0.4154,0.5536
141,0.4150,0.5564
142,0.4147,0.5543
143,0.4144,0.5544
144,0.4141,0.5551
145,0.4138,0.5538
146,0.4135,0.5541
147,0.4132,0.5551
148,0.4129,0.5567
149,0.4126,0.5541
150,0.4123,0.5533
151,0.4120,0.5536
152,0.4117,0.5544
