iter,loss,rmse
1,0.7756,0.9646
2,0.9531,0.9951
3,0.9790,0.9968
4,0.9478,0.8712
5,0.8783,0.5366
6,0.8180,0.3939
7,0.7685,0.3190
8,0.7322,0.3137
9,0.7091,0.3242
10,0.6933,0.3298
11,0.6696,0.3248
12,0.6478,0.3270
13,0.6274,0.3309
14,0.6166,0.3456
15,0.6001,0.3093
16,0.5874,0.3187
17,0.5761,0.3158
18,0.5634,0.3151
19,0.5534,0.3165
20,0.5414,0.3116
21,0.5322,0.3235
22,0.5231,0.3212
23,0.5185,0.3260
24,0.5098,0.3259
25,0.5027,0.3329
26,0.4966,0.3266
27,0.4894,0.3133
28,0.4823,0.3196
29,0.4767,0.3283
30,0.4730,0.4784
31,0.4674,0.3230
32,0.4628,0.3403
33,0.4575,0.3195
34,0.4525,0.3089
35,0.4473,0.3179
36,0.4428,0.3194
37,0.4384,0.3174
38,0.4343,0.3288
39,0.4301,0.3148
40,0.4258,0.3131
41,0.4224,0.3152
42,0.4190,0.3199
43,0.4155,0.3121
44,0.4122,0.3156
45,0.4088,0.3093
46,0.4057,0.3155
47,0.4027,0.3164
48,0.3999,0.3088
49,0.3972,0.3142
50,0.3944,0.3099
51,0.3917,0.3170
52,0.3891,0.3138
53,0.3865,0.3134
54,0.3841,0.3111
55,0.3818,0.3145
56,0.3797,0.3174
57,0.3773,0.3123
58,0.3751,0.3140
59,0.3730,0.3172
60,0.3709,0.3162
61,0.3689,0.3167
62,0.3671,0.3192
63,0.3651,0.3099
64,0.3631,0.3084
65,0.3614,0.3097
66,0.3598,0.3191
67,0.3581,0.3134
68,0.3565,0.3156
69,0.3548,0.3129
70,0.3532,0.3135
71,0.3517,0.3175
72,0.3502,0.3158
73,0.3487,0.3146
74,0.3474,0.3157
75,0.3460,0.3111
76,0.3446,0.3132
77,0.3431,0.3096
78,0.3419,0.3145
79,0.3406,0.3106
80,0.3394,0.3130
81,0.3380,0.3116
82,0.3368,0.3148
83,0.3356,0.3163
84,0.3345,0.3149
85,0.3333,0.3136
86,0.3322,0.3148
87,0.3311,0.3138
88,0.3300,0.3126
89,0.3290,0.3129
90,0.3279,0.3121
91,0.3269,0.3152
92,0.3259,0.3103
93,0.3250,0.3121
94,0.3241,0.3097
95,0.3231,0.3121
96,0.3222,0.3130
97,0.3211,0.3116
98,0.3203,0.3141
99,0.3194,0.3128
100,0.3185,0.3128
101,0.3177,0.3118
102,0.3169,0.3134
103,0.3160,0.3100
104,0.3152,0.3095
105,0.3144,0.3103
106,0.3136,0.3090
107,0.3128,0.3067
108,0.3120,0.3088
109,0.3113,0.3118
110,0.3105,0.3116
111,0.3098,0.3121
112,0.3091,0.3149
113,0.3085,0.3145
114,0.3078,0.3158
115,0.3072,0.3134
116,0.3065,0.3142
117,0.3059,0.3103
118,0.3053,0.3143
119,0.3047,0.3117
120,0.3042,0.3161
121,0.3036,0.3085
122,0.3030,0.3115
123,0.3025,0.3105
124,0.3019,0.3119
125,0.3013,0.3130
126,0.3008,0.3152
127,0.3002,0.3122
128,0.2997,0.3140
129,0.2992,0.3138
130,0.2986,0.3123
131,0.2981,0.3131
132,0.2976,0.3126
133,0.2972,0.3161
134,0.2966,0.3110
135,0.2961,0.3105
136,0.2956,0.3094
137,0.2951,0.3114
138,0.2946,0.3125
139,0.2941,0.3119
140,0.2937,0.3116
141,0.2933,0.3125
142,0.2928,0.3108
143,0.2924,0.3098
144,0.2919,0.3088
145,0.2915,0.3121
146,0.2910,0.3106
147,0.2906,0.3115
148,0.2901,0.3116
149,0.2897,0.3097
150,0.2893,0.3102
151,0.2889,0.3082
152,0.2886,0.3125
153,0.2881,0.3093
154,0.2878,0.3102
155,0.2873,0.3074
156,0.2870,0.3105
157,0.2866,0.3147
158,0.2862,0.3080
159,0.2858,0.3124
160,0.2855,0.3116
161,0.2851,0.3114
162,0.2848,0.3117
163,0.2844,0.3105
164,0.2841,0.3106
165,0.2837,0.3110
166,0.2834,0.3095
167,0.2830,0.3108
168,0.2827,0.3103
169,0.2824,0.3106
170,0.2820,0.3115
171,0.2818,0.3132
172,0.2814,0.3127
173,0.2812,0.3139
174,0.2809,0.3087
175,0.2806,0.3090
176,0.2803,0.3092
177,0.2800,0.3103
178,0.2797,0.3109
179,0.2794,0.3115
180,0.2791,0.3135
181,0.2788,0.3082
182,0.2785,0.3109
183,0.2782,0.3104
184,0.2780,0.3099
185,0.2777,0.3099
186,0.2774,0.3092
187,0.2772,0.3146
188,0.2769,0.3074
189,0.2766,0.3103
190,0.2764,0.3113
191,0.2761,0.3081
192,0.2758,0.3100
193,0.2756,0.3066
194,0.2753,0.3076
195,0.2751,0.3126
196,0.2748,0.3091
197,0.2745,0.3086
198,0.2743,0.3099
199,0.2741,0.3179
200,0.2739,0.3117
201,0.2737,0.3142
202,0.2735,0.3118
203,0.2732,0.3112
204,0.2730,0.3133
205,0.2728,0.3129
206,0.2726,0.3108
207,0.2724,0.3109
208,0.2722,0.3134
209,0.2720,0.3167
210,0.2718,0.3083
211,0.2716,0.3129
212,0.2714,0.3141
213,0.2712,0.3114
214,0.2710,0.3119
215,0.2708,0.3127
216,0.2706,0.3136
217,0.2704,0.3087
218,0.2702,0.3106
219,0.2700,0.3111
220,0.2698,0.3110
221,0.2696,0.3102
222,0.2694,0.3058
223,0.2692,0.3091
224,0.2691,0.3108
225,0.2689,0.3103
226,0.2687,0.3125
227,0.2685,0.3117
228,0.2684,0.3148
229,0.2682,0.3154
230,0.2680,0.3118
231,0.2678,0.3107
232,0.2677,0.3118
233,0.2675,0.3124
234,0.2673,0.3123
235,0.2671,0.3133
236,0.2669,0.3081
237,0.2668,0.3123
238,0.2666,0.3088
239,0.2665,0.3117
240,0.2663,0.3097
241,0.2661,0.3112
242,0.2660,0.3127
243,0.2658,0.3104
244,0.2657,0.3134
245,0.2655,0.3083
246,0.2654,0.3108
247,0.2652,0.3106
248,0.2651,0.3110
249,0.2649,0.3126
250,0.2648,0.3112
251,0.2647,0.3118
252,0.2645,0.3131
253,0.2643,0.3096
254,0.2642,0.3130
255,0.2641,0.3112
256,0.2639,0.3139
257,0.2638,0.3116
258,0.2636,0.3101
259,0.2635,0.3065
260,0.2633,0.3088
261,0.2632,0.3121
262,0.2630,0.3118
263,0.2629,0.3130
264,0.2627,0.3105
265,0.2626,0.3108
266,0.2625,0.3125
267,0.2623,0.3093
268,0.2622,0.3105
269,0.2621,0.3114
