iter,loss,rmse
1,0.8360,1.2094
2,1.0426,0.8887
3,1.1022,0.6198
4,1.1218,0.6862
5,1.1277,0.7994
6,1.1190,0.7863
7,1.0974,0.7128
8,1.0676,0.6447
9,1.0335,0.5888
10,1.0009,0.5872
11,0.9716,0.6443
12,0.9432,0.6137
13,0.9182,0.5758
14,0.8940,0.5753
15,0.8720,0.6117
16,0.8516,0.6075
17,0.8317,0.5668
18,0.8131,0.5632
19,0.7952,0.5617
20,0.7784,0.5665
21,0.7625,0.5589
22,0.7473,0.5606
23,0.7331,0.5615
24,0.7200,0.5565
25,0.7078,0.5592
26,0.6965,0.5695
27,0.6859,0.5665
28,0.6761,0.5584
29,0.6667,0.5596
30,0.6579,0.5646
31,0.6496,0.5637
32,0.6417,0.5571
33,0.6343,0.5538
34,0.6273,0.5537
35,0.6206,0.5563
36,0.6143,0.5592
37,0.6083,0.5566
38,0.6026,0.5533
39,0.5972,0.5517
40,0.5920,0.5520
41,0.5870,0.5551
42,0.5823,0.5578
43,0.5778,0.5565
44,0.5735,0.5546
45,0.5694,0.5537
46,0.5654,0.5562
47,0.5616,0.5590
48,0.5580,0.5587
49,0.5545,0.5563
50,0.5511,0.5561
51,0.5479,0.5573
52,0.5448,0.5585
53,0.5418,0.5574
54,0.5389,0.5558
55,0.5361,0.5550
56,0.5334,0.5551
57,0.5307,0.5565
58,0.5282,0.5563
59,0.5258,0.5552
60,0.5234,0.5545
61,0.5211,0.5547
62,0.5189,0.5550
63,0.5167,0.5562
64,0.5146,0.5565
65,0.5126,0.5554
66,0.5107,0.5551
67,0.5087,0.5550
68,0.5069,0.5570
69,0.5051,0.5575
70,0.5033,0.5564
71,0.5016,0.5553
