iter,loss,rmse
1,0.8355,1.2097
2,1.0449,0.9036
3,1.1091,0.6500
4,1.1302,0.6548
5,1.1359,0.7549
6,1.1274,0.7538
7,1.1079,0.7118
8,1.0815,0.6527
9,1.0504,0.6039
10,1.0186,0.5791
11,0.9895,0.6134
12,0.9620,0.6327
13,0.9354,0.5809
14,0.9110,0.5729
15,0.8878,0.5790
16,0.8673,0.6152
17,0.8474,0.5866
18,0.8284,0.5645
19,0.8102,0.5625
20,0.7930,0.5666
21,0.7767,0.5612
22,0.7610,0.5574
23,0.7463,0.5596
24,0.7326,0.5556
25,0.7201,0.5543
26,0.7083,0.5644
27,0.6973,0.5672
28,0.6870,0.5616
29,0.6775,0.5543
30,0.6684,0.5574
31,0.6598,0.5630
32,0.6517,0.5616
33,0.6439,0.5569
34,0.6367,0.5519
35,0.6298,0.5515
36,0.6232,0.5548
37,0.6170,0.5575
38,0.6111,0.5574
39,0.6054,0.5529
40,0.6000,0.5506
41,0.5949,0.5511
42,0.5900,0.5557
43,0.5853,0.5576
44,0.5809,0.5571
45,0.5766,0.5539
46,0.5725,0.5529
47,0.5685,0.5549
48,0.5647,0.5587
49,0.5611,0.5588
50,0.5576,0.5559
51,0.5542,0.5533
52,0.5509,0.5541
53,0.5478,0.5560
54,0.5448,0.5574
55,0.5419,0.5559
56,0.5391,0.5533
57,0.5363,0.5531
58,0.5337,0.5542
59,0.5311,0.5553
60,0.5287,0.5554
61,0.5263,0.5538
62,0.5240,0.5530
63,0.5217,0.5539
64,0.5195,0.5548
65,0.5174,0.5549
66,0.5153,0.5543
67,0.5133,0.5533
68,0.5114,0.5537
69,0.5095,0.5546
70,0.5077,0.5549
71,0.5059,0.5538
72,0.5041,0.5533
73,0.5024,0.5531
74,0.5008,0.5538
75,0.4991,0.5538
76,0.4976,0.5526
77,0.4960,0.5525
78,0.4945,0.5525
79,0.4930,0.5529
80,0.4916,0.5518
81,0.4902,0.5519
82,0.4889,0.5532
83,0.4875,0.5517
84,0.4862,0.5514
85,0.4849,0.5507
86,0.4837,0.5516
87,0.4825,0.5525
88,0.4813,0.5511
89,0.4801,0.5498
90,0.4789,0.5500
91,0.4778,0.5509
92,0.4767,0.5507
93,0.4756,0.5508
94,0.4745,0.5495
95,0.4735,0.5497
96,0.4725,0.5495
97,0.4715,0.5509
98,0.4705,0.5499
99,0.4695,0.5488
100,0.4686,0.5486
101,0.4676,0.5475
102,0.4667,0.5483
103,0.4658,0.5486
104,0.4649,0.5503
105,0.4640,0.5489
106,0.4632,0.5484
107,0.4623,0.5470
108,0.4615,0.5470
109,0.4607,0.5464
110,0.4599,0.5482
111,0.4591,0.5495
112,0.4584,0.5481
113,0.4576,0.5482
114,0.4568,0.5472
115,0.4561,0.5463
116,0.4554,0.5469
117,0.4547,0.5472
118,0.4540,0.5480
119,0.4533,0.5469
120,0.4526,0.5455
121,0.4519,0.5464
122,0.4512,0.5470
123,0.4506,0.5477
124,0.4499,0.5463
125,0.4493,0.5477
126,0.4487,0.5443
127,0.4480,0.5439
128,0.4474,0.5454
129,0.4468,0.5464
130,0.4462,0.5472
131,0.4456,0.5447
132,0.4450,0.5431
133,0.4445,0.5442
134,0.4439,0.5462
135,0.4433,0.5449
136,0.4428,0.5436
137,0.4422,0.5456
138,0.4417,0.5447
139,0.4411,0.5428
140,0.4406,0.5443
141,0.4401,0.5432
142,0.4396,0.5446
143,0.4391,0.5447
144,0.4386,0.5447
145,0.4381,0.5419
146,0.4376,0.5429
147,0.4371,0.5439
148,0.4366,0.5466
149,0.4361,0.5428
150,0.4356,0.5423
151,0.4352,0.5420
152,0.4347,0.5415
153,0.4342,0.5418
154,0.4338,0.5454
155,0.4333,0.5449
156,0.4329,0.5449
157,0.4325,0.5445
158,0.4320,0.5438
159,0.4316,0.5398
160,0.4312,0.5435
161,0.4308,0.5425
162,0.4304,0.5433
163,0.4300,0.5443
164,0.4296,0.5443
165,0.4292,0.5438
166,0.4288,0.5434
167,0.4284,0.5436
168,0.4280,0.5429
169,0.4276,0.5432
170,0.4272,0.5423
171,0.4269,0.5433
172,0.4265,0.5452
173,0.4261,0.5445
174,0.4258,0.5440
175,0.4254,0.5428
176,0.4251,0.5434
177,0.4247,0.5423
178,0.4244,0.5431
179,0.4240,0.5442
180,0.4237,0.5448
181,0.4233,0.5441
182,0.4230,0.5434
183,0.4227,0.5432
184,0.4224,0.5416
185,0.4220,0.5442
186,0.4217,0.5442
187,0.4214,0.5437
188,0.4211,0.5465
189,0.4208,0.5464
190,0.4205,0.5452
191,0.4202,0.5423
192,0.4199,0.5412
193,0.4196,0.5425
194,0.4193,0.5432
195,0.4190,0.5449
196,0.4187,0.5474
197,0.4184,0.5458
198,0.4181,0.5439
199,0.4178,0.5431
200,0.4176,0.5428
201,0.4173,0.5428
202,0.4170,0.5427
203,0.4167,0.5446
204,0.4165,0.5457
205,0.4162,0.5453
206,0.4159,0.5443
207,0.4157,0.5454
208,0.4154,0.5443
209,0.4151,0.5440
210,0.4149,0.5432
211,0.4146,0.5443
212,0.4144,0.5424
213,0.4141,0.5440
