iter,loss,rmse
1,0.8360,1.2104
2,1.0445,0.8966
3,1.1077,0.6431
4,1.1292,0.6756
5,1.1348,0.7626
6,1.1269,0.7622
7,1.1075,0.7068
8,1.0796,0.6455
9,1.0480,0.5956
10,1.0164,0.5821
11,0.9873,0.6235
12,0.9589,0.6202
13,0.9332,0.5783
14,0.9087,0.5730
15,0.8860,0.5972
16,0.8648,0.5860
17,0.8447,0.5695
18,0.8254,0.5637
19,0.8072,0.5674
20,0.7896,0.5589
21,0.7729,0.5562
22,0.7572,0.5563
23,0.7426,0.5561
24,0.7290,0.5628
25,0.7165,0.5635
26,0.7050,0.5622
27,0.6941,0.5663
28,0.6840,0.5622
29,0.6744,0.5580
30,0.6654,0.5589
31,0.6568,0.5592
32,0.6487,0.5567
33,0.6411,0.5549
34,0.6339,0.5537
35,0.6270,0.5542
36,0.6205,0.5551
37,0.6143,0.5547
38,0.6085,0.5531
39,0.6029,0.5531
40,0.5976,0.5544
41,0.5925,0.5551
42,0.5877,0.5566
43,0.5831,0.5558
44,0.5786,0.5568
45,0.5744,0.5566
46,0.5703,0.5559
47,0.5664,0.5563
48,0.5626,0.5572
49,0.5590,0.5568
50,0.5556,0.5564
51,0.5522,0.5557
52,0.5490,0.5559
53,0.5459,0.5557
54,0.5429,0.5557
55,0.5401,0.5551
56,0.5373,0.5546
57,0.5346,0.5553
58,0.5320,0.5553
59,0.5295,0.5548
60,0.5270,0.5547
61,0.5247,0.5547
62,0.5224,0.5549
63,0.5202,0.5559
64,0.5180,0.5557
65,0.5159,0.5549
66,0.5139,0.5550
67,0.5119,0.5554
68,0.5100,0.5560
69,0.5081,0.5558
70,0.5063,0.5546
71,0.5046,0.5543
72,0.5028,0.5553
73,0.5012,0.5553
74,0.4995,0.5541
75,0.4980,0.5532
76,0.4964,0.5538
77,0.4949,0.5548
78,0.4934,0.5542
79,0.4920,0.5531
80,0.4906,0.5528
81,0.4892,0.5545
82,0.4879,0.5556
83,0.4866,0.5528
84,0.4853,0.5528
85,0.4840,0.5543
86,0.4828,0.5542
87,0.4816,0.5535
88,0.4805,0.5526
89,0.4793,0.5525
90,0.4782,0.5535
91,0.4771,0.5532
92,0.4760,0.5517
93,0.4750,0.5530
94,0.4739,0.5528
95,0.4729,0.5519
96,0.4719,0.5517
97,0.4709,0.5536
98,0.4700,0.5522
99,0.4690,0.5516
100,0.4681,0.5515
101,0.4672,0.5512
102,0.4663,0.5525
103,0.4655,0.5514
104,0.4646,0.5516
105,0.4637,0.5510
106,0.4629,0.5508
107,0.4621,0.5515
108,0.4613,0.5513
109,0.4605,0.5504
110,0.4598,0.5511
111,0.4590,0.5515
112,0.4583,0.5510
113,0.4575,0.5512
114,0.4568,0.5516
115,0.4561,0.5496
116,0.4554,0.5502
117,0.4547,0.5504
118,0.4541,0.5511
