iter,loss,rmse
1,0.9818,2.2806
2,1.2997,2.2326
3,1.4759,2.3895
4,1.5654,2.3159
5,1.6215,2.2755
6,1.6962,2.5473
7,1.7512,2.6318
8,1.7629,2.3011
9,1.7744,2.3873
10,1.7816,2.2971
11,1.7851,2.1621
12,1.7860,2.2180
13,1.7861,2.2529
14,1.7857,2.2408
15,1.7841,2.1428
16,1.7826,2.0607
17,1.7796,2.0937
18,1.7761,2.1282
19,1.7723,2.1002
20,1.7678,2.0100
21,1.7630,1.9393
22,1.7580,1.9228
23,1.7528,1.9005
24,1.7474,1.8674
25,1.7418,1.8360
26,1.7360,1.7627
27,1.7301,1.7598
28,1.7240,1.7540
29,1.7177,1.7255
30,1.7112,1.6458
31,1.7046,1.6332
32,1.6979,1.5491
33,1.6911,1.5722
34,1.6841,1.5768
35,1.6769,1.5342
36,1.6696,1.3948
37,1.6622,1.4067
38,1.6549,1.5281
39,1.6473,1.3989
40,1.6398,1.3083
41,1.6320,1.2961
42,1.6242,1.3661
43,1.6163,1.3280
44,1.6083,1.2350
45,1.6006,1.1678
46,1.5927,1.3032
47,1.5848,1.2322
48,1.5769,1.1650
49,1.5690,1.1351
50,1.5611,1.1913
51,1.5535,1.2505
52,1.5459,1.1099
53,1.5382,1.1323
54,1.5307,1.2078
55,1.5231,1.1430
56,1.5157,1.0983
57,1.5083,1.1324
58,1.5012,1.2039
59,1.4940,1.1091
60,1.4872,1.0800
61,1.4802,1.1328
62,1.4735,1.1720
63,1.4667,1.1115
64,1.4601,1.1034
65,1.4535,1.1106
66,1.4471,1.1321
67,1.4407,1.1210
68,1.4346,1.0821
69,1.4284,1.1175
70,1.4223,1.1377
71,1.4163,1.1217
72,1.4103,1.1018
73,1.4046,1.0932
74,1.3988,1.0997
75,1.3932,1.1279
76,1.3877,1.1170
77,1.3822,1.0918
78,1.3769,1.0953
79,1.3717,1.1386
80,1.3665,1.1410
81,1.3614,1.1428
82,1.3565,1.0894
83,1.3516,1.1440
84,1.3467,1.1342
85,1.3419,1.0989
86,1.3373,1.0826
87,1.3325,1.0864
88,1.3279,1.0860
89,1.3234,1.0695
90,1.3190,1.0788
91,1.3145,1.0798
92,1.3102,1.0782
93,1.3058,1.0410
94,1.3016,1.0368
95,1.2974,1.0794
96,1.2933,1.0680
97,1.2892,1.0606
98,1.2852,1.0679
99,1.2812,1.0698
100,1.2773,1.0813
101,1.2734,1.0483
102,1.2697,1.0972
103,1.2659,1.0375
104,1.2623,1.0152
105,1.2587,1.0347
106,1.2551,1.0593
107,1.2517,1.0686
108,1.2482,1.0528
109,1.2448,1.0434
110,1.2417,1.0741
111,1.2384,1.0503
112,1.2351,1.0456
113,1.2321,1.0891
114,1.2290,1.0815
115,1.2259,1.0269
116,1.2230,1.0382
117,1.2201,1.0091
118,1.2171,1.0199
119,1.2141,1.0259
120,1.2112,1.0380
121,1.2084,1.0280
122,1.2055,1.0105
123,1.2028,1.0153
124,1.2002,1.0318
125,1.1975,0.9844
126,1.1947,0.9703
127,1.1921,1.0366
128,1.1896,1.0306
129,1.1871,1.0372
130,1.1845,0.9888
131,1.1819,0.9809
132,1.1795,0.9834
133,1.1770,0.9887
134,1.1746,1.0186
