iter,loss,rmse
1,0.9820,2.2914
2,1.2965,2.2773
3,1.4890,2.7505
4,1.5670,2.1793
5,1.6182,2.2092
6,1.6521,2.1997
7,1.6745,2.1634
8,1.6902,2.0435
9,1.7014,2.1481
10,1.7092,2.0718
11,1.7139,2.0661
12,1.7164,1.9920
13,1.7168,1.9430
14,1.7161,2.0017
15,1.7143,1.9355
16,1.7121,1.8484
17,1.7091,1.9107
18,1.7061,1.7200
19,1.7019,1.6698
20,1.6987,1.7918
21,1.6948,1.8571
22,1.6907,1.7251
23,1.6882,1.2636
24,1.6838,1.7330
25,1.6802,1.8897
26,1.6757,1.7050
27,1.6711,1.4088
28,1.6665,1.3084
29,1.6617,1.4423
30,1.6569,1.4462
31,1.6520,1.3300
32,1.6472,1.1833
33,1.6424,1.3070
34,1.6379,1.5377
35,1.6332,1.3870
36,1.6283,1.0795
37,1.6232,1.1272
38,1.6181,1.2958
39,1.6129,1.3127
40,1.6077,1.1680
41,1.6040,0.9816
42,1.5986,1.1555
43,1.5940,1.2988
44,1.5889,1.1873
45,1.5838,1.0321
46,1.5787,0.9830
47,1.5739,1.3774
48,1.5685,1.1724
49,1.5631,1.0459
50,1.5577,0.9765
51,1.5522,1.1010
52,1.5468,1.2400
53,1.5413,1.0744
54,1.5357,0.9922
55,1.5303,1.0522
56,1.5247,1.0240
57,1.5192,1.0031
58,1.5140,1.1103
59,1.5084,1.0559
60,1.5031,1.0024
61,1.4976,1.0654
62,1.4920,1.0186
63,1.4865,0.9712
64,1.4811,1.0142
65,1.4757,0.9532
66,1.4701,0.9921
67,1.4646,1.0241
68,1.4591,1.0373
69,1.4537,0.9845
70,1.4484,0.9907
71,1.4430,0.9880
72,1.4377,0.9675
73,1.4325,1.0011
74,1.4274,0.9854
75,1.4223,0.9828
76,1.4173,1.0241
77,1.4123,1.0015
78,1.4076,1.0039
79,1.4027,1.0210
80,1.3981,0.9847
81,1.3936,1.0451
82,1.3889,0.9962
83,1.3845,1.0325
84,1.3799,1.0020
85,1.3755,1.0546
86,1.3711,1.0090
87,1.3667,0.9955
88,1.3626,1.0456
89,1.3584,1.0394
90,1.3544,1.0418
91,1.3504,1.0673
92,1.3467,1.0848
93,1.3429,1.0809
94,1.3390,1.0365
95,1.3352,1.0338
96,1.3315,1.0417
97,1.3278,1.0481
98,1.3242,1.0385
99,1.3206,1.0788
100,1.3171,1.0555
101,1.3136,1.0663
102,1.3101,1.0465
103,1.3069,1.0745
104,1.3036,1.0721
105,1.3005,1.0740
106,1.2973,1.0720
107,1.2942,1.0745
108,1.2912,1.0532
109,1.2881,1.0736
110,1.2851,1.0743
111,1.2822,1.0756
112,1.2793,1.0844
113,1.2763,1.0683
