iter,loss,rmse
1,0.9818,2.2808
2,1.2994,2.2269
3,1.4765,2.4518
4,1.5613,2.2808
5,1.6166,2.2256
6,1.6654,2.2891
7,1.6930,2.3168
8,1.7106,2.3019
9,1.7219,2.2193
10,1.7303,2.1063
11,1.7349,2.0637
12,1.7373,2.0444
13,1.7384,2.1063
14,1.7392,2.0530
15,1.7413,1.9347
16,1.7399,2.2021
17,1.7378,2.1861
18,1.7347,2.0762
19,1.7309,1.9624
20,1.7267,1.8127
21,1.7222,1.8173
22,1.7172,1.8723
23,1.7121,1.9086
24,1.7068,1.8693
25,1.7013,1.8008
26,1.6954,1.6727
27,1.6895,1.5992
28,1.6833,1.6257
29,1.6770,1.6275
30,1.6706,1.6262
31,1.6639,1.5522
32,1.6570,1.4692
33,1.6502,1.4364
34,1.6432,1.4805
35,1.6359,1.4902
36,1.6286,1.4238
37,1.6212,1.3670
38,1.6137,1.3375
39,1.6061,1.2816
40,1.5985,1.3114
41,1.5909,1.3269
42,1.5833,1.2213
43,1.5756,1.2655
44,1.5680,1.1940
45,1.5604,1.1886
46,1.5528,1.2506
47,1.5452,1.1327
48,1.5378,1.2364
49,1.5303,1.1141
50,1.5228,1.1201
51,1.5157,1.2193
52,1.5085,1.1119
53,1.5011,1.0990
54,1.4941,1.1762
55,1.4869,1.1131
56,1.4799,1.0789
57,1.4730,1.1078
58,1.4665,1.2058
59,1.4597,1.1049
60,1.4532,1.0645
61,1.4466,1.1122
62,1.4402,1.1644
63,1.4338,1.1022
64,1.4275,1.0869
65,1.4213,1.1017
66,1.4152,1.1151
67,1.4091,1.1210
68,1.4033,1.1044
69,1.3975,1.1208
70,1.3919,1.1592
71,1.3862,1.1252
72,1.3807,1.1308
73,1.3752,1.1476
74,1.3698,1.1370
75,1.3646,1.1480
76,1.3594,1.1133
77,1.3542,1.1206
78,1.3492,1.1269
79,1.3442,1.1154
80,1.3393,1.0835
81,1.3345,1.1461
82,1.3298,1.0900
83,1.3251,1.1025
84,1.3205,1.0930
85,1.3160,1.0917
86,1.3114,1.0921
87,1.3070,1.0846
88,1.3027,1.0660
89,1.2985,1.0721
90,1.2943,1.0795
91,1.2902,1.0646
92,1.2861,1.0740
93,1.2821,1.0554
94,1.2782,1.0589
95,1.2744,1.0628
96,1.2706,1.0626
97,1.2669,1.0741
98,1.2632,1.0898
99,1.2596,1.0782
100,1.2561,1.0721
101,1.2526,1.0519
102,1.2492,1.0881
103,1.2458,1.0518
104,1.2425,1.0409
105,1.2391,1.0546
106,1.2359,1.0973
107,1.2327,1.0598
108,1.2295,1.0307
109,1.2264,1.0550
110,1.2234,1.0738
111,1.2203,1.0672
112,1.2173,1.0515
113,1.2144,1.0248
114,1.2115,1.0221
115,1.2086,1.0330
116,1.2058,1.0545
117,1.2030,1.0585
118,1.2002,1.0398
119,1.1975,1.0077
120,1.1948,1.0110
121,1.1921,1.0448
122,1.1895,1.0715
123,1.1869,1.0597
124,1.1843,1.0078
125,1.1819,1.0098
126,1.1794,0.9681
127,1.1770,1.0327
128,1.1745,1.0181
129,1.1722,1.0529
130,1.1697,1.0008
131,1.1674,0.9948
132,1.1651,0.9841
133,1.1628,0.9868
134,1.1605,1.0141
135,1.1582,1.0143
136,1.1560,0.9752
137,1.1538,0.9557
138,1.1516,0.9829
139,1.1494,0.9743
140,1.1472,0.9655
141,1.1451,0.9650
142,1.1429,0.9749
143,1.1408,0.9772
144,1.1388,0.9905
145,1.1367,0.9911
146,1.1347,1.0122
147,1.1327,0.9690
148,1.1308,0.9676
149,1.1288,0.9686
150,1.1269,0.9726
151,1.1250,0.9752
152,1.1231,0.9839
153,1.1213,0.9799
154,1.1194,0.9646
155,1.1176,0.9606
156,1.1158,0.9553
157,1.1139,0.9695
158,1.1123,1.0159
159,1.1105,0.9625
160,1.1088,0.9757
161,1.1070,0.9466
162,1.1053,0.9594
163,1.1037,0.9792
164,1.1020,0.9733
165,1.1003,0.9464
166,1.0987,0.9404
167,1.0971,0.9441
168,1.0955,0.9451
169,1.0939,0.9505
170,1.0923,0.9298
171,1.0908,0.9517
172,1.0892,0.9607
173,1.0877,0.9678
174,1.0862,0.9584
175,1.0847,0.9358
176,1.0832,0.9285
177,1.0817,0.9459
178,1.0803,0.9392
179,1.0789,0.9416
180,1.0775,0.9756
181,1.0760,0.9573
182,1.0746,0.9396
183,1.0732,0.9510
184,1.0719,0.9413
185,1.0705,0.9834
186,1.0692,0.9252
187,1.0678,0.9390
188,1.0665,0.9167
189,1.0652,0.9377
190,1.0639,0.9111
191,1.0626,0.9531
192,1.0613,0.9210
193,1.0600,0.9247
194,1.0587,0.9210
195,1.0575,0.9415
196,1.0563,0.9279
197,1.0551,0.9242
198,1.0538,0.9421
199,1.0526,0.9311
200,1.0514,0.9461
201,1.0502,0.9312
202,1.0491,0.9209
203,1.0479,0.9380
204,1.0467,0.9420
205,1.0456,0.9271
206,1.0445,0.9346
207,1.0434,0.9283
208,1.0422,0.9055
209,1.0411,0.9234
210,1.0400,0.9128
211,1.0389,0.9348
212,1.0379,0.9320
213,1.0368,0.9395
214,1.0357,0.9213
215,1.0347,0.9230
216,1.0337,0.9102
217,1.0327,0.9347
218,1.0316,0.9116
219,1.0306,0.9347
220,1.0296,0.9583
221,1.0286,0.9355
222,1.0277,0.9447
223,1.0267,0.9198
224,1.0257,0.9314
225,1.0248,0.9153
226,1.0238,0.9153
227,1.0228,0.9066
228,1.0219,0.8998
229,1.0209,0.9141
230,1.0200,0.9398
231,1.0191,0.9419
232,1.0182,0.9201
233,1.0173,0.9287
234,1.0164,0.9233
235,1.0155,0.9024
236,1.0146,0.9243
237,1.0138,0.9149
238,1.0129,0.9178
239,1.0120,0.9234
240,1.0111,0.9328
241,1.0103,0.9298
242,1.0094,0.9279
243,1.0086,0.9078
244,1.0078,0.9104
245,1.0070,0.9042
246,1.0061,0.9198
247,1.0053,0.8911
248,1.0045,0.9122
249,1.0038,0.9738
250,1.0029,0.9139
251,1.0022,0.9363
252,1.0014,0.9284
253,1.0006,0.9209
254,0.9998,0.9034
255,0.9990,0.9078
256,0.9983,0.9130
257,0.9975,0.9027
258,0.9967,0.9119
259,0.9960,0.9221
260,0.9953,0.9150
261,0.9945,0.9007
262,0.9938,0.9141
263,0.9931,0.9222
264,0.9923,0.9432
265,0.9916,0.9206
266,0.9909,0.9050
267,0.9902,0.9038
268,0.9895,0.9027
269,0.9888,0.9093
270,0.9881,0.9092
271,0.9874,0.9043
272,0.9867,0.9289
273,0.9861,0.9470
274,0.9854,0.8938
275,0.9847,0.8982
276,0.9840,0.9104
277,0.9834,0.8936
278,0.9827,0.9000
279,0.9821,0.9038
280,0.9814,0.9121
281,0.9808,0.9168
282,0.9801,0.9465
283,0.9795,0.9394
284,0.9789,0.9028
285,0.9782,0.9014
286,0.9776,0.9079
287,0.9770,0.8953
288,0.9764,0.9038
289,0.9757,0.8944
290,0.9751,0.8984
291,0.9745,0.8983
292,0.9739,0.9200
293,0.9734,0.9531
294,0.9728,0.9107
295,0.9722,0.9276
296,0.9716,0.9007
297,0.9710,0.8845
298,0.9704,0.8987
299,0.9698,0.9015
300,0.9692,0.8936
301,0.9687,0.8959
302,0.9681,0.9004
303,0.9676,0.9446
304,0.9670,0.9130
305,0.9664,0.9110
306,0.9659,0.9413
307,0.9653,0.9018
308,0.9648,0.8954
309,0.9643,0.9070
310,0.9637,0.8819
311,0.9632,0.8947
312,0.9626,0.8984
313,0.9621,0.9208
314,0.9616,0.9122
315,0.9611,0.9108
316,0.9605,0.9003
317,0.9600,0.9038
318,0.9595,0.8855
319,0.9590,0.8950
320,0.9584,0.9019
321,0.9579,0.8956
322,0.9574,0.8934
323,0.9569,0.9309
324,0.9564,0.9104
325,0.9559,0.9195
326,0.9554,0.8999
327,0.9549,0.9267
328,0.9545,0.8955
329,0.9540,0.8841
330,0.9535,0.8881
331,0.9530,0.8780
332,0.9525,0.8950
333,0.9521,0.9109
334,0.9516,0.9055
335,0.9511,0.9256
336,0.9507,0.9345
337,0.9502,0.9177
338,0.9497,0.8909
339,0.9493,0.8907
340,0.9489,0.8930
341,0.9484,0.8866
342,0.9480,0.8967
343,0.9475,0.9221
344,0.9471,0.9216
345,0.9467,0.9075
346,0.9462,0.9288
347,0.9458,0.9073
348,0.9454,0.9195
349,0.9449,0.8986
350,0.9445,0.8803
351,0.9441,0.8847
352,0.9436,0.8843
353,0.9432,0.8875
354,0.9428,0.8840
355,0.9423,0.8900
356,0.9419,0.8958
357,0.9415,0.9140
358,0.9411,0.9133
359,0.9407,0.9212
360,0.9403,0.8970
361,0.9399,0.8839
362,0.9395,0.8829
363,0.9391,0.8933
364,0.9387,0.8999
365,0.9383,0.8977
366,0.9379,0.9024
367,0.9375,0.9076
368,0.9371,0.9204
369,0.9367,0.9212
370,0.9363,0.8934
371,0.9359,0.8865
372,0.9355,0.8878
373,0.9351,0.8865
374,0.9348,0.8843
375,0.9344,0.8954
376,0.9340,0.9017
377,0.9336,0.9206
378,0.9333,0.9292
379,0.9329,0.9160
380,0.9325,0.8885
381,0.9321,0.8817
382,0.9318,0.8894
383,0.9314,0.9051
384,0.9310,0.8947
385,0.9307,0.8809
386,0.9303,0.8973
387,0.9300,0.9182
388,0.9296,0.9124
389,0.9292,0.8899
390,0.9289,0.8797
391,0.9285,0.8895
392,0.9282,0.8844
393,0.9278,0.8795
394,0.9275,0.8793
395,0.9271,0.9207
396,0.9268,0.9222
397,0.9264,0.9016
398,0.9261,0.9053
399,0.9257,0.8966
400,0.9254,0.9005
401,0.9250,0.8941
402,0.9247,0.8826
403,0.9244,0.8937
404,0.9240,0.8919
405,0.9237,0.8814
406,0.9234,0.8907
407,0.9231,0.8977
408,0.9228,0.9433
409,0.9225,0.9338
410,0.9221,0.8932
411,0.9218,0.8939
412,0.9215,0.9014
413,0.9212,0.8814
414,0.9208,0.8766
415,0.9205,0.8854
416,0.9202,0.8860
417,0.9199,0.8806
418,0.9196,0.8956
419,0.9193,0.8960
420,0.9190,0.9079
421,0.9187,0.9128
422,0.9184,0.9267
423,0.9181,0.9176
424,0.9177,0.8903
425,0.9174,0.8807
426,0.9172,0.8746
427,0.9169,0.8758
428,0.9166,0.8712
429,0.9163,0.8885
430,0.9160,0.8850
