iter,loss,rmse
1,0.9818,2.2807
2,1.2991,2.2114
3,1.4795,2.4461
4,1.5696,2.3415
5,1.6326,2.2851
6,1.7029,2.5208
7,1.7426,2.3151
8,1.7569,2.2659
9,1.7710,2.4372
10,1.7776,2.3136
11,1.7824,2.1825
12,1.7843,2.1777
13,1.7848,2.2385
14,1.7848,2.2357
15,1.7838,2.1854
16,1.7819,2.1293
17,1.7795,2.0765
18,1.7764,2.0419
19,1.7731,2.0592
20,1.7692,2.0638
21,1.7650,2.0657
22,1.7604,1.9945
23,1.7557,1.9131
24,1.7507,1.7552
25,1.7456,1.8018
26,1.7403,1.8186
27,1.7347,1.8124
28,1.7293,1.7657
29,1.7233,1.7518
30,1.7174,1.7151
31,1.7112,1.6783
32,1.7048,1.5520
33,1.6984,1.5421
34,1.6919,1.5913
35,1.6850,1.5418
