iter,loss,rmse
1,0.9820,2.2919
2,1.2992,2.2817
3,1.4795,2.3538
4,1.5640,2.3126
5,1.6174,2.2014
6,1.6532,2.2433
7,1.6794,2.2978
8,1.6973,2.2984
9,1.7106,2.1571
10,1.7192,2.1036
11,1.7244,2.1476
12,1.7278,2.1601
13,1.7296,2.1263
14,1.7297,1.9167
15,1.7283,2.0216
16,1.7264,2.1057
17,1.7235,1.9715
18,1.7201,1.8997
19,1.7161,1.8898
20,1.7117,1.8877
21,1.7072,1.9245
22,1.7020,1.7538
23,1.6969,1.6238
24,1.6913,1.7144
25,1.6861,1.8682
26,1.6803,1.6477
27,1.6744,1.4872
28,1.6681,1.5751
29,1.6618,1.6202
30,1.6551,1.4481
31,1.6485,1.3214
32,1.6415,1.4585
33,1.6346,1.4934
34,1.6277,1.3233
35,1.6203,1.3097
36,1.6130,1.2613
37,1.6056,1.3307
38,1.5982,1.1940
39,1.5907,1.2433
40,1.5832,1.1952
41,1.5756,1.2117
42,1.5681,1.1889
43,1.5607,1.1618
44,1.5534,1.1544
45,1.5461,1.2452
46,1.5392,1.0699
47,1.5323,1.2548
48,1.5251,1.1921
49,1.5183,1.0769
50,1.5115,1.2170
51,1.5046,1.1058
52,1.4978,1.1231
53,1.4911,1.1395
54,1.4843,1.1026
55,1.4776,1.1031
56,1.4711,1.1590
57,1.4646,1.1348
58,1.4581,1.1337
59,1.4517,1.1090
60,1.4453,1.1090
61,1.4390,1.1192
62,1.4329,1.0983
63,1.4268,1.0859
64,1.4210,1.1884
65,1.4151,1.1399
66,1.4093,1.1076
67,1.4036,1.1698
68,1.3979,1.1582
69,1.3923,1.1095
70,1.3869,1.1162
71,1.3814,1.1167
72,1.3761,1.1450
73,1.3709,1.1203
74,1.3658,1.1147
75,1.3608,1.2363
76,1.3559,1.1628
77,1.3509,1.1083
78,1.3461,1.1120
79,1.3415,1.1974
80,1.3368,1.1141
81,1.3322,1.0998
82,1.3276,1.1057
83,1.3231,1.1441
84,1.3188,1.1392
85,1.3144,1.1263
86,1.3102,1.1254
87,1.3060,1.1077
88,1.3018,1.1120
89,1.2978,1.1103
90,1.2938,1.1147
91,1.2899,1.1019
92,1.2861,1.1155
93,1.2823,1.0880
94,1.2786,1.0780
95,1.2750,1.0895
96,1.2714,1.0780
97,1.2678,1.1017
98,1.2644,1.1249
99,1.2610,1.0949
100,1.2576,1.0945
101,1.2543,1.0831
102,1.2511,1.1366
103,1.2479,1.1076
104,1.2447,1.0635
105,1.2416,1.0822
106,1.2385,1.0989
107,1.2356,1.1296
108,1.2326,1.1007
109,1.2297,1.0940
110,1.2269,1.0929
111,1.2241,1.0597
112,1.2213,1.1129
113,1.2187,1.1554
114,1.2160,1.1153
115,1.2133,1.0791
116,1.2109,1.0820
117,1.2082,1.0897
118,1.2057,1.1450
119,1.2033,1.1357
120,1.2007,1.0713
121,1.1982,1.0370
122,1.1958,1.0233
123,1.1934,1.0627
124,1.1910,1.0873
125,1.1886,1.0946
126,1.1862,1.0599
127,1.1839,1.0707
128,1.1816,1.0483
129,1.1793,1.0585
130,1.1771,1.0298
131,1.1748,1.0341
132,1.1726,1.0077
133,1.1704,1.0322
134,1.1682,1.0479
135,1.1661,1.0343
136,1.1640,1.0342
137,1.1619,0.9861
138,1.1598,1.0168
139,1.1578,1.0199
140,1.1558,1.0337
141,1.1538,1.0255
142,1.1517,1.0173
143,1.1498,1.0113
144,1.1479,1.0101
145,1.1459,1.0016
146,1.1441,1.0510
147,1.1422,1.0099
148,1.1403,1.0302
149,1.1385,1.0225
150,1.1367,1.0051
151,1.1349,1.0011
152,1.1332,0.9955
153,1.1314,1.0282
154,1.1297,1.0151
155,1.1280,1.0065
156,1.1263,0.9875
157,1.1246,0.9968
158,1.1229,1.0337
159,1.1213,0.9843
160,1.1197,1.0016
161,1.1180,0.9979
162,1.1164,0.9817
163,1.1148,0.9919
164,1.1133,1.0247
165,1.1117,0.9771
166,1.1101,0.9834
167,1.1086,0.9751
168,1.1071,0.9835
169,1.1056,0.9779
170,1.1041,0.9652
171,1.1027,0.9852
172,1.1012,0.9881
173,1.0998,0.9951
174,1.0983,0.9668
175,1.0969,0.9629
176,1.0955,0.9602
177,1.0941,0.9789
178,1.0927,0.9941
179,1.0913,0.9652
180,1.0900,1.0273
