iter,loss,rmse
1,0.9818,2.2808
2,1.3011,2.2311
3,1.4772,2.3818
4,1.5833,2.4221
5,1.6476,2.2866
6,1.8218,3.6069
7,1.8690,1.8973
8,1.8984,2.7705
9,1.8969,2.2850
10,1.8949,2.2939
11,1.8953,2.4407
12,1.8907,2.2704
13,1.8860,2.1905
14,1.8812,2.1483
15,1.8756,2.2298
16,1.8701,2.2788
17,1.8647,2.2774
18,1.8589,2.2077
19,1.8530,2.1222
20,1.8469,2.0407
21,1.8407,2.0299
22,1.8344,2.0310
23,1.8280,2.0347
24,1.8215,2.0360
25,1.8151,2.0377
26,1.8085,1.9464
27,1.8019,1.8821
28,1.7951,1.8480
29,1.7883,1.8072
30,1.7814,1.7682
31,1.7745,1.8002
32,1.7677,1.7017
33,1.7605,1.6571
34,1.7534,1.5911
35,1.7462,1.5845
36,1.7388,1.5272
37,1.7314,1.5478
38,1.7239,1.5080
39,1.7163,1.3889
40,1.7087,1.4137
41,1.7009,1.4148
42,1.6931,1.4236
43,1.6850,1.3544
44,1.6769,1.2994
45,1.6688,1.2704
46,1.6606,1.3184
47,1.6522,1.2766
48,1.6439,1.2498
49,1.6356,1.2193
50,1.6274,1.2304
51,1.6194,1.3342
52,1.6112,1.1950
53,1.6031,1.1565
54,1.5950,1.2531
55,1.5869,1.2545
56,1.5789,1.1583
57,1.5709,1.1661
58,1.5631,1.2407
59,1.5553,1.2087
60,1.5477,1.1482
61,1.5401,1.1484
62,1.5326,1.2070
63,1.5250,1.1665
64,1.5177,1.1389
65,1.5104,1.1344
66,1.5032,1.1576
67,1.4962,1.1702
68,1.4893,1.1361
69,1.4825,1.1376
70,1.4758,1.1717
71,1.4692,1.1437
72,1.4629,1.1386
73,1.4565,1.1454
74,1.4503,1.1528
75,1.4441,1.1318
76,1.4381,1.1320
77,1.4322,1.1332
78,1.4263,1.1203
79,1.4206,1.1152
80,1.4150,1.1119
81,1.4095,1.1297
82,1.4040,1.1085
83,1.3987,1.1170
84,1.3934,1.0975
85,1.3883,1.1071
86,1.3832,1.1105
87,1.3783,1.1160
88,1.3734,1.1028
89,1.3686,1.1001
90,1.3640,1.1049
91,1.3593,1.1011
92,1.3548,1.0926
93,1.3503,1.1025
94,1.3459,1.0943
95,1.3416,1.1064
96,1.3374,1.0823
