iter,loss,rmse
1,0.9818,2.2807
2,1.2994,2.2130
3,1.4743,2.3957
4,1.5602,2.2746
5,1.6162,2.2718
6,1.6727,2.3584
7,1.7032,2.3940
8,1.7190,2.3027
9,1.7298,2.2908
10,1.7374,2.1735
11,1.7423,2.0291
12,1.7445,2.0921
13,1.7453,2.1563
14,1.7457,2.1425
15,1.7459,2.0255
16,1.7435,2.0328
17,1.7415,2.0866
18,1.7379,2.0195
19,1.7344,1.9517
20,1.7304,1.8383
21,1.7258,1.9360
22,1.7211,1.9197
23,1.7159,1.7626
24,1.7104,1.6651
25,1.7047,1.7830
26,1.6989,1.7833
27,1.6928,1.7191
28,1.6866,1.5671
29,1.6802,1.5080
30,1.6737,1.5376
31,1.6671,1.6122
32,1.6603,1.5059
33,1.6533,1.4300
34,1.6463,1.4009
35,1.6390,1.4127
36,1.6317,1.3947
37,1.6243,1.3647
38,1.6168,1.2898
39,1.6092,1.3221
40,1.6015,1.2946
41,1.5937,1.2404
42,1.5861,1.2366
43,1.5786,1.3216
44,1.5710,1.1633
45,1.5634,1.2740
46,1.5558,1.1503
47,1.5481,1.1312
48,1.5408,1.2540
49,1.5333,1.1184
50,1.5259,1.1122
51,1.5189,1.2451
52,1.5115,1.1107
53,1.5046,1.0740
54,1.4975,1.1396
55,1.4906,1.1800
56,1.4836,1.0922
57,1.4768,1.0746
58,1.4700,1.1266
59,1.4633,1.1374
60,1.4566,1.0882
61,1.4500,1.0716
62,1.4435,1.1006
63,1.4370,1.1173
64,1.4307,1.1238
65,1.4246,1.0863
66,1.4184,1.0993
67,1.4125,1.1780
68,1.4066,1.1468
69,1.4008,1.1330
70,1.3951,1.1226
71,1.3894,1.1235
72,1.3838,1.1464
73,1.3783,1.1579
74,1.3731,1.0974
75,1.3678,1.1578
76,1.3626,1.1698
77,1.3575,1.1193
78,1.3524,1.1071
79,1.3476,1.1662
80,1.3427,1.1394
81,1.3380,1.1392
82,1.3333,1.0855
83,1.3287,1.1305
84,1.3241,1.1082
85,1.3196,1.1101
86,1.3151,1.0898
87,1.3107,1.1005
88,1.3064,1.0916
89,1.3022,1.1175
90,1.2979,1.0960
91,1.2938,1.0571
92,1.2897,1.0623
93,1.2857,1.0841
94,1.2817,1.0964
95,1.2778,1.0562
96,1.2740,1.0401
97,1.2701,1.0975
98,1.2665,1.1240
99,1.2629,1.0617
100,1.2592,1.0323
101,1.2556,1.0533
102,1.2521,1.1013
103,1.2485,1.0565
104,1.2452,1.0480
105,1.2418,1.0440
106,1.2384,1.0683
107,1.2352,1.1125
108,1.2320,1.0748
109,1.2288,1.0715
110,1.2258,1.0614
111,1.2229,1.0504
112,1.2198,1.0198
113,1.2168,1.0682
114,1.2139,1.0843
115,1.2110,1.0620
116,1.2080,1.0433
117,1.2052,1.0271
118,1.2024,1.0165
119,1.1996,1.0171
120,1.1968,1.0275
121,1.1942,1.0363
122,1.1914,1.0183
123,1.1889,1.0122
124,1.1863,1.0312
125,1.1837,1.0159
126,1.1810,0.9851
127,1.1786,1.0536
128,1.1761,1.0064
129,1.1737,1.0463
130,1.1713,0.9804
131,1.1688,0.9761
132,1.1664,0.9796
133,1.1640,1.0063
134,1.1617,1.0256
135,1.1594,0.9878
136,1.1571,0.9758
137,1.1549,0.9523
138,1.1526,0.9805
139,1.1504,1.0025
140,1.1483,1.0005
141,1.1461,0.9655
142,1.1440,0.9538
143,1.1419,0.9562
144,1.1398,0.9654
145,1.1377,0.9893
146,1.1357,1.0488
147,1.1337,1.0084
148,1.1317,0.9890
149,1.1297,0.9470
150,1.1277,0.9322
151,1.1258,0.9609
152,1.1239,0.9403
153,1.1219,0.9647
154,1.1200,0.9406
155,1.1182,0.9447
156,1.1163,0.9465
157,1.1145,0.9509
158,1.1127,1.0004
159,1.1109,0.9673
160,1.1091,0.9760
161,1.1074,0.9496
162,1.1056,0.9264
163,1.1039,0.9384
164,1.1022,0.9497
165,1.1005,0.9272
166,1.0988,0.9338
167,1.0971,0.9232
168,1.0954,0.9333
169,1.0938,0.9340
170,1.0922,0.9242
171,1.0906,0.9201
172,1.0890,0.9239
173,1.0874,0.9353
174,1.0859,0.9524
175,1.0844,0.9283
176,1.0828,0.9245
177,1.0813,0.9392
178,1.0798,0.9281
179,1.0783,0.9184
180,1.0769,0.9637
181,1.0754,0.9229
182,1.0739,0.9161
183,1.0725,0.9243
184,1.0711,0.9188
185,1.0698,0.9618
186,1.0684,0.9206
187,1.0670,0.9356
188,1.0657,0.9027
189,1.0643,0.9175
190,1.0630,0.9154
191,1.0617,0.9436
192,1.0604,0.9280
193,1.0591,0.9232
194,1.0578,0.9015
195,1.0565,0.9379
196,1.0553,0.9134
197,1.0540,0.9230
198,1.0528,0.9369
199,1.0515,0.9384
200,1.0503,0.9290
201,1.0491,0.9108
202,1.0479,0.9072
203,1.0467,0.9123
204,1.0455,0.9278
205,1.0444,0.9192
206,1.0432,0.9181
207,1.0421,0.9197
208,1.0409,0.8975
209,1.0398,0.9111
210,1.0386,0.9065
211,1.0375,0.9112
212,1.0364,0.9279
213,1.0353,0.9359
214,1.0343,0.9192
215,1.0332,0.9161
216,1.0322,0.8971
217,1.0311,0.9352
218,1.0301,0.9016
219,1.0290,0.9212
220,1.0280,0.9235
221,1.0270,0.9209
222,1.0260,0.9218
223,1.0250,0.9130
224,1.0240,0.9489
225,1.0230,0.9194
226,1.0221,0.9056
227,1.0211,0.9029
228,1.0201,0.8931
229,1.0192,0.8921
230,1.0182,0.9279
231,1.0173,0.9251
232,1.0164,0.9048
233,1.0154,0.9218
234,1.0145,0.9044
235,1.0136,0.8888
236,1.0127,0.9124
237,1.0118,0.9056
238,1.0109,0.9009
239,1.0100,0.9062
240,1.0091,0.9086
241,1.0083,0.9186
242,1.0074,0.9214
243,1.0066,0.9044
244,1.0057,0.9087
245,1.0049,0.9014
246,1.0040,0.9139
247,1.0032,0.8882
248,1.0024,0.9025
249,1.0016,0.9536
250,1.0008,0.8964
251,1.0000,0.9081
252,0.9992,0.9029
253,0.9983,0.9051
254,0.9976,0.9029
255,0.9968,0.9011
256,0.9960,0.9080
257,0.9952,0.9054
258,0.9944,0.9146
259,0.9937,0.9114
260,0.9929,0.9022
261,0.9922,0.8972
262,0.9915,0.8937
263,0.9907,0.9169
264,0.9900,0.9443
265,0.9893,0.9096
266,0.9886,0.9119
267,0.9878,0.8974
268,0.9871,0.9102
269,0.9864,0.9057
270,0.9857,0.8969
271,0.9850,0.8921
272,0.9843,0.9154
273,0.9836,0.9188
274,0.9829,0.8839
275,0.9822,0.8907
276,0.9816,0.9125
277,0.9809,0.8870
278,0.9802,0.8923
279,0.9796,0.8967
280,0.9789,0.9084
281,0.9782,0.9048
282,0.9776,0.9268
283,0.9770,0.9367
284,0.9763,0.8873
285,0.9757,0.8946
286,0.9751,0.9094
287,0.9744,0.8853
288,0.9738,0.9011
289,0.9732,0.8928
290,0.9725,0.8850
291,0.9719,0.8859
292,0.9713,0.8956
293,0.9707,0.9420
294,0.9701,0.8968
295,0.9695,0.9070
296,0.9689,0.9019
297,0.9683,0.8784
298,0.9677,0.8967
299,0.9672,0.9043
300,0.9666,0.8964
301,0.9660,0.8875
302,0.9654,0.8922
303,0.9648,0.9093
