iter,loss,rmse
1,0.9818,2.2809
2,1.3031,2.2360
3,1.4720,2.2777
4,1.6377,2.5281
5,1.8046,2.7377
6,2.0872,5.2748
7,2.1207,1.9043
8,2.2566,3.6546
9,2.2289,2.4574
10,2.2104,2.3901
11,2.1852,2.4012
12,2.1642,2.4951
13,2.1415,2.2538
14,2.1214,2.1952
15,2.1032,2.1805
16,2.0869,2.2734
17,2.0714,2.2748
18,2.0569,2.2066
19,2.0443,2.1399
20,2.0319,2.1505
21,2.0197,2.1929
22,2.0079,2.2015
23,1.9963,2.1412
24,1.9848,2.0748
25,1.9737,2.0108
26,1.9629,1.9825
27,1.9523,1.9445
28,1.9420,1.9522
29,1.9319,1.9706
30,1.9221,1.9684
31,1.9125,1.9406
32,1.9030,1.8696
33,1.8935,1.8033
34,1.8841,1.7351
35,1.8748,1.7026
36,1.8656,1.6643
37,1.8565,1.6543
38,1.8474,1.6560
39,1.8384,1.5979
40,1.8293,1.5609
41,1.8203,1.4793
42,1.8111,1.4377
43,1.8020,1.4544
44,1.7930,1.4362
45,1.7839,1.3851
46,1.7749,1.3991
47,1.7658,1.3459
48,1.7569,1.2914
49,1.7479,1.2723
50,1.7388,1.3269
51,1.7298,1.3432
52,1.7208,1.2198
53,1.7117,1.2293
54,1.7026,1.2616
55,1.6936,1.2498
56,1.6847,1.1905
57,1.6758,1.1888
58,1.6669,1.2689
59,1.6580,1.2271
60,1.6494,1.1791
61,1.6407,1.1690
62,1.6321,1.2150
63,1.6236,1.1978
64,1.6151,1.1637
65,1.6068,1.1586
66,1.5985,1.2129
67,1.5904,1.2085
68,1.5824,1.1695
69,1.5746,1.1680
70,1.5668,1.1940
71,1.5592,1.1682
72,1.5517,1.1763
73,1.5443,1.1774
74,1.5371,1.1758
75,1.5300,1.1793
76,1.5231,1.1999
77,1.5163,1.1834
78,1.5096,1.1642
79,1.5031,1.1933
80,1.4966,1.1724
81,1.4904,1.1760
82,1.4843,1.1798
83,1.4783,1.1893
84,1.4723,1.1717
85,1.4665,1.1686
86,1.4608,1.1622
87,1.4552,1.1692
88,1.4498,1.1844
89,1.4444,1.1735
90,1.4392,1.1755
91,1.4341,1.1698
92,1.4290,1.1697
93,1.4241,1.1670
94,1.4193,1.1718
95,1.4145,1.1770
96,1.4099,1.1667
97,1.4053,1.1745
98,1.4008,1.1699
99,1.3965,1.1754
100,1.3921,1.1717
101,1.3879,1.1612
102,1.3838,1.1689
103,1.3797,1.1585
104,1.3757,1.1573
105,1.3718,1.1707
106,1.3679,1.1672
107,1.3641,1.1625
108,1.3603,1.1556
109,1.3567,1.1793
110,1.3530,1.1728
111,1.3495,1.1758
112,1.3460,1.1694
113,1.3426,1.1734
114,1.3392,1.1689
115,1.3359,1.1778
116,1.3326,1.1764
117,1.3294,1.1647
118,1.3262,1.1691
119,1.3231,1.1643
120,1.3201,1.1603
121,1.3170,1.1791
122,1.3140,1.1770
123,1.3111,1.1688
124,1.3082,1.1699
125,1.3054,1.1675
126,1.3025,1.1654
127,1.2998,1.1622
128,1.2971,1.1630
129,1.2944,1.1691
130,1.2918,1.1625
131,1.2892,1.1601
132,1.2866,1.1634
133,1.2841,1.1819
134,1.2816,1.1677
135,1.2792,1.1581
136,1.2768,1.1710
137,1.2744,1.1633
138,1.2721,1.1772
139,1.2698,1.1767
140,1.2675,1.1631
141,1.2652,1.1721
142,1.2631,1.1749
143,1.2609,1.1682
144,1.2587,1.1671
145,1.2565,1.1683
146,1.2544,1.1743
147,1.2523,1.1686
148,1.2503,1.1605
149,1.2483,1.1623
150,1.2463,1.1741
151,1.2443,1.1722
152,1.2423,1.1631
153,1.2404,1.1680
154,1.2385,1.1619
155,1.2366,1.1534
156,1.2347,1.1700
157,1.2328,1.1692
158,1.2310,1.1753
159,1.2292,1.1728
160,1.2275,1.1607
161,1.2257,1.1468
162,1.2240,1.1647
163,1.2223,1.1662
164,1.2206,1.1767
165,1.2189,1.1613
166,1.2172,1.1567
167,1.2156,1.1630
168,1.2140,1.1603
169,1.2123,1.1711
170,1.2107,1.1665
171,1.2091,1.1636
172,1.2076,1.1567
173,1.2060,1.1561
174,1.2045,1.1554
175,1.2030,1.1508
176,1.2015,1.1501
177,1.2000,1.1480
178,1.1985,1.1488
179,1.1971,1.1328
180,1.1956,1.1472
181,1.1942,1.1481
182,1.1928,1.1437
183,1.1914,1.1478
184,1.1900,1.1386
185,1.1886,1.1555
186,1.1873,1.1365
187,1.1859,1.1485
188,1.1846,1.1469
189,1.1832,1.1589
190,1.1819,1.1452
191,1.1806,1.1546
192,1.1794,1.1465
193,1.1781,1.1396
194,1.1768,1.1387
195,1.1756,1.1485
196,1.1743,1.1387
197,1.1731,1.1418
198,1.1719,1.1407
199,1.1707,1.1495
200,1.1695,1.1504
201,1.1683,1.1405
202,1.1672,1.1312
203,1.1660,1.1509
204,1.1649,1.1596
205,1.1637,1.1457
206,1.1626,1.1454
207,1.1614,1.1518
208,1.1603,1.1314
209,1.1592,1.1550
210,1.1581,1.1403
211,1.1570,1.1345
212,1.1560,1.1398
213,1.1549,1.1318
214,1.1539,1.1331
215,1.1528,1.1462
216,1.1518,1.1372
217,1.1507,1.1450
218,1.1497,1.1389
