iter,loss,rmse
1,0.9818,2.2807
2,1.3001,2.2320
3,1.4785,2.3890
4,1.5729,2.3441
5,1.6308,2.2634
6,1.7213,2.6260
7,1.7657,2.3373
8,1.7775,2.2049
9,1.7873,2.3791
10,1.7927,2.3330
11,1.7969,2.2422
12,1.7980,2.2094
13,1.7976,2.2299
14,1.7964,2.1976
15,1.7947,2.1552
16,1.7920,2.1149
17,1.7890,2.0691
18,1.7853,2.0470
19,1.7812,2.0046
20,1.7769,2.0500
21,1.7725,2.0658
22,1.7674,2.0262
23,1.7622,1.9610
24,1.7567,1.8630
25,1.7512,1.8021
26,1.7457,1.7092
27,1.7398,1.7313
28,1.7338,1.7656
29,1.7277,1.7609
30,1.7215,1.6376
31,1.7150,1.6317
32,1.7084,1.6211
33,1.7016,1.5873
34,1.6949,1.5158
35,1.6878,1.5320
36,1.6808,1.4588
37,1.6736,1.4935
38,1.6664,1.4867
39,1.6590,1.3276
40,1.6514,1.3596
41,1.6437,1.3934
42,1.6359,1.3587
43,1.6281,1.3020
44,1.6203,1.2836
45,1.6124,1.2943
46,1.6044,1.2766
47,1.5965,1.1804
48,1.5887,1.3046
49,1.5806,1.1955
50,1.5728,1.1360
51,1.5652,1.2953
52,1.5574,1.1909
53,1.5498,1.1262
54,1.5420,1.1853
55,1.5344,1.1617
56,1.5267,1.1136
57,1.5193,1.0985
58,1.5122,1.2366
59,1.5049,1.1858
60,1.4979,1.0845
61,1.4907,1.0894
62,1.4836,1.1574
63,1.4767,1.1609
64,1.4697,1.0942
65,1.4629,1.0712
66,1.4562,1.0666
67,1.4498,1.1579
68,1.4433,1.1278
69,1.4371,1.1279
70,1.4307,1.0934
71,1.4245,1.0898
72,1.4184,1.1282
73,1.4124,1.1356
74,1.4064,1.0890
75,1.4006,1.0837
76,1.3948,1.1150
77,1.3892,1.1166
78,1.3838,1.0771
79,1.3783,1.1062
80,1.3729,1.1044
81,1.3676,1.1199
82,1.3624,1.0878
83,1.3574,1.1007
84,1.3523,1.0803
85,1.3474,1.0890
86,1.3425,1.1013
87,1.3378,1.0979
88,1.3331,1.0797
89,1.3285,1.0696
90,1.3240,1.0611
91,1.3196,1.0748
92,1.3152,1.0622
93,1.3109,1.0490
94,1.3066,1.0584
95,1.3025,1.0583
96,1.2984,1.0387
97,1.2943,1.0398
98,1.2904,1.0592
99,1.2865,1.0695
100,1.2826,1.0556
101,1.2788,1.0462
102,1.2752,1.0664
103,1.2715,1.0345
104,1.2679,1.0164
105,1.2643,1.0378
106,1.2608,1.0873
107,1.2573,1.0452
108,1.2539,1.0402
109,1.2506,1.0276
110,1.2474,1.0404
111,1.2441,1.0326
112,1.2409,1.0541
113,1.2379,1.0935
114,1.2348,1.0640
115,1.2317,1.0148
116,1.2288,1.0180
117,1.2258,1.0084
118,1.2228,1.0432
119,1.2200,1.0797
120,1.2172,1.0598
121,1.2143,1.0398
122,1.2115,1.0384
123,1.2088,1.0057
124,1.2060,1.0006
