iter,loss,rmse
1,0.9820,2.2917
2,1.3006,2.3050
3,1.4764,2.3382
4,1.5633,2.3707
5,1.6178,2.2147
6,1.6573,2.4428
7,1.6826,2.2696
8,1.7057,2.4492
9,1.7177,2.2037
10,1.7259,2.1290
11,1.7314,2.1938
12,1.7347,2.2611
13,1.7361,2.2068
14,1.7358,2.1533
15,1.7348,2.1429
16,1.7326,2.1722
17,1.7298,2.1419
18,1.7264,2.0386
19,1.7231,1.9055
20,1.7191,2.0176
21,1.7146,2.0153
22,1.7100,1.8505
23,1.7050,1.8581
24,1.6998,1.8969
25,1.6945,1.9482
26,1.6888,1.8360
27,1.6831,1.6458
28,1.6772,1.6384
29,1.6711,1.6845
30,1.6649,1.6130
31,1.6582,1.4710
32,1.6519,1.4073
33,1.6451,1.6248
34,1.6385,1.6078
35,1.6315,1.3443
36,1.6247,1.2837
37,1.6176,1.4430
38,1.6105,1.4568
39,1.6033,1.2675
40,1.5960,1.2120
41,1.5887,1.2870
42,1.5814,1.2662
43,1.5741,1.1941
44,1.5669,1.2160
45,1.5596,1.2655
46,1.5524,1.1599
47,1.5452,1.1233
48,1.5386,1.3674
49,1.5315,1.1875
50,1.5253,1.0663
51,1.5186,1.2196
52,1.5118,1.1654
53,1.5050,1.0953
54,1.4984,1.0931
55,1.4920,1.0736
56,1.4854,1.1588
57,1.4789,1.1352
58,1.4725,1.1234
59,1.4663,1.1132
60,1.4600,1.1085
61,1.4539,1.1520
62,1.4478,1.1295
63,1.4419,1.0669
64,1.4359,1.0905
65,1.4301,1.0923
66,1.4243,1.0816
67,1.4186,1.1039
68,1.4131,1.1122
69,1.4076,1.1396
70,1.4022,1.1381
