iter,loss,rmse
1,0.9820,2.2921
2,1.3012,2.3141
3,1.4764,2.2302
4,1.5904,2.4515
5,1.6416,2.1877
6,1.8201,2.3731
7,1.8283,2.3329
8,1.8407,2.1523
9,1.9204,2.3688
10,1.9399,2.3164
11,1.9365,2.0058
12,1.9280,2.2780
13,1.9202,2.3882
14,1.9128,2.3287
15,1.9056,2.1869
16,1.8995,2.1449
17,1.8944,2.2329
18,1.8872,2.1980
19,1.8798,2.1814
20,1.8725,2.1828
21,1.8653,2.2390
22,1.8580,2.2174
23,1.8510,2.1784
24,1.8440,2.0966
25,1.8371,2.0496
26,1.8300,1.9717
27,1.8232,1.9322
28,1.8161,1.9446
29,1.8090,1.9099
30,1.8020,1.8689
31,1.7948,1.8524
32,1.7877,1.7989
33,1.7805,1.7785
34,1.7733,1.7117
35,1.7661,1.6577
36,1.7588,1.5837
37,1.7515,1.6019
38,1.7441,1.6186
39,1.7366,1.5033
40,1.7290,1.4351
41,1.7213,1.4473
