iter,loss,rmse
1,0.9820,2.2920
2,1.3008,2.3146
3,1.4756,2.2584
4,1.5883,2.4330
5,1.6429,2.1652
6,1.7903,2.4425
7,1.8115,2.0443
8,1.8177,2.2535
9,1.8219,2.3727
10,1.8241,2.2493
11,1.8258,2.1222
12,1.8252,2.2523
13,1.8238,2.3226
14,1.8215,2.2955
15,1.8182,2.2412
16,1.8145,2.1791
17,1.8103,2.1683
18,1.8058,2.1499
19,1.8009,2.1211
20,1.7959,2.0847
21,1.7905,2.0552
22,1.7850,2.0125
23,1.7793,1.9700
24,1.7732,1.9449
25,1.7673,1.9315
26,1.7612,1.9095
27,1.7551,1.8695
28,1.7488,1.8495
29,1.7424,1.7559
30,1.7359,1.7024
31,1.7293,1.7148
32,1.7227,1.6642
33,1.7159,1.6384
34,1.7091,1.5901
35,1.7022,1.5893
36,1.6952,1.5832
37,1.6881,1.5493
38,1.6810,1.4951
39,1.6738,1.3924
40,1.6664,1.4530
41,1.6590,1.4840
42,1.6515,1.3733
43,1.6439,1.3301
44,1.6364,1.3687
45,1.6287,1.3296
46,1.6210,1.2764
47,1.6133,1.2946
48,1.6056,1.3419
49,1.5980,1.1989
50,1.5904,1.3215
51,1.5828,1.3038
52,1.5761,1.1427
53,1.5686,1.1673
54,1.5618,1.4640
55,1.5549,1.4345
56,1.5475,1.1662
57,1.5411,1.1328
58,1.5338,1.1631
59,1.5270,1.2749
60,1.5200,1.2475
61,1.5130,1.1431
62,1.5062,1.1421
63,1.4993,1.1967
64,1.4926,1.2255
65,1.4859,1.1503
66,1.4794,1.1231
67,1.4729,1.1314
68,1.4664,1.1762
69,1.4602,1.1714
70,1.4539,1.1264
71,1.4479,1.1091
72,1.4419,1.1284
73,1.4361,1.1731
74,1.4302,1.1365
75,1.4246,1.1362
76,1.4189,1.1451
77,1.4133,1.1582
78,1.4078,1.1381
79,1.4024,1.1137
80,1.3970,1.1069
81,1.3918,1.1260
82,1.3867,1.1236
83,1.3816,1.1445
84,1.3767,1.1188
85,1.3719,1.1148
86,1.3671,1.1201
87,1.3624,1.1235
88,1.3579,1.1359
89,1.3534,1.1266
90,1.3490,1.1126
91,1.3446,1.1019
92,1.3403,1.1078
93,1.3361,1.1159
94,1.3319,1.1164
95,1.3279,1.1030
96,1.3238,1.0870
97,1.3198,1.1037
98,1.3159,1.1172
99,1.3121,1.0990
100,1.3083,1.1062
101,1.3046,1.1134
102,1.3010,1.1436
103,1.2974,1.0917
104,1.2939,1.0599
105,1.2905,1.0836
106,1.2870,1.1043
107,1.2837,1.1597
108,1.2805,1.1416
109,1.2772,1.1055
110,1.2741,1.0886
111,1.2709,1.0787
112,1.2678,1.0975
113,1.2649,1.1548
114,1.2619,1.1444
115,1.2588,1.0914
116,1.2560,1.0707
117,1.2532,1.1145
118,1.2502,1.1169
119,1.2475,1.1384
120,1.2446,1.1083
