iter,loss,rmse
1,0.9820,2.2914
2,1.2965,2.2773
3,1.4890,2.7505
4,1.5670,2.1793
5,1.6182,2.2092
6,1.6521,2.1997
7,1.6745,2.1634
8,1.6902,2.0435
9,1.7014,2.1481
10,1.7092,2.0718
11,1.7139,2.0661
12,1.7164,1.9920
13,1.7168,1.9430
14,1.7161,2.0017
15,1.7143,1.9355
16,1.7121,1.8484
17,1.7091,1.9107
18,1.7061,1.7200
19,1.7019,1.6698
20,1.6987,1.7918
21,1.6948,1.8571
22,1.6907,1.7251
23,1.6882,1.2636
24,1.6838,1.7330
25,1.6802,1.8897
26,1.6757,1.7050
27,1.6711,1.4088
28,1.6665,1.3084
