iter,loss,rmse
1,0.8061,1.0956
2,1.0158,1.1058
3,1.0759,1.1350
4,1.0801,1.1889
5,1.0675,1.2471
6,1.0510,1.2047
7,1.0291,1.0692
8,1.0025,0.8962
9,0.9722,0.7554
10,0.9412,0.6633
11,0.9101,0.6207
12,0.8798,0.6029
13,0.8543,0.6182
14,0.8306,0.6020
15,0.8090,0.5913
16,0.7896,0.5888
17,0.7720,0.5889
18,0.7553,0.5860
19,0.7402,0.5815
20,0.7261,0.5771
21,0.7127,0.5761
22,0.7002,0.5772
23,0.6887,0.5756
24,0.6781,0.5734
25,0.6682,0.5721
26,0.6589,0.5687
27,0.6502,0.5682
28,0.6421,0.5675
29,0.6344,0.5670
30,0.6271,0.5662
31,0.6203,0.5702
32,0.6138,0.5708
33,0.6076,0.5723
34,0.6018,0.5707
35,0.5964,0.5701
36,0.5912,0.5686
37,0.5862,0.5686
38,0.5815,0.5698
39,0.5770,0.5707
40,0.5727,0.5690
41,0.5686,0.5659
42,0.5646,0.5643
43,0.5609,0.5632
44,0.5573,0.5631
45,0.5538,0.5638
46,0.5505,0.5655
47,0.5473,0.5659
48,0.5443,0.5665
49,0.5413,0.5656
50,0.5385,0.5655
51,0.5357,0.5663
52,0.5331,0.5675
53,0.5305,0.5678
54,0.5281,0.5690
55,0.5257,0.5683
56,0.5234,0.5682
57,0.5212,0.5676
58,0.5191,0.5672
59,0.5170,0.5665
60,0.5150,0.5663
61,0.5130,0.5668
62,0.5112,0.5666
63,0.5093,0.5663
64,0.5076,0.5667
65,0.5058,0.5666
66,0.5042,0.5654
67,0.5026,0.5654
68,0.5010,0.5653
69,0.4995,0.5656
70,0.4980,0.5662
71,0.4965,0.5667
72,0.4951,0.5667
73,0.4938,0.5665
74,0.4924,0.5662
75,0.4911,0.5661
76,0.4899,0.5661
77,0.4886,0.5662
78,0.4874,0.5666
79,0.4862,0.5663
80,0.4851,0.5666
81,0.4840,0.5664
82,0.4829,0.5665
83,0.4818,0.5668
84,0.4808,0.5668
85,0.4798,0.5664
86,0.4788,0.5664
87,0.4778,0.5667
88,0.4768,0.5660
89,0.4759,0.5661
90,0.4750,0.5659
91,0.4741,0.5654
92,0.4732,0.5652
93,0.4724,0.5660
94,0.4715,0.5659
95,0.4707,0.5652
96,0.4699,0.5654
97,0.4691,0.5655
98,0.4683,0.5653
99,0.4676,0.5653
100,0.4668,0.5655
101,0.4661,0.5654
102,0.4654,0.5657
103,0.4647,0.5658
104,0.4640,0.5657
105,0.4633,0.5658
106,0.4627,0.5659
107,0.4620,0.5656
108,0.4614,0.5655
109,0.4607,0.5656
110,0.4601,0.5656
111,0.4595,0.5648
112,0.4589,0.5647
113,0.4583,0.5646
114,0.4577,0.5654
115,0.4572,0.5655
116,0.4566,0.5649
117,0.4560,0.5657
118,0.4555,0.5654
119,0.4550,0.5657
120,0.4544,0.5650
121,0.4539,0.5647
122,0.4534,0.5646
123,0.4529,0.5646
124,0.4524,0.5653
125,0.4519,0.5645
126,0.4515,0.5647
127,0.4510,0.5646
128,0.4505,0.5653
129,0.4501,0.5655
130,0.4496,0.5650
131,0.4492,0.5648
