iter,loss,rmse
1,0.8061,1.0956
2,1.0161,1.1057
3,1.0777,1.1340
4,1.0828,1.1850
5,1.0702,1.2420
6,1.0540,1.2142
7,1.0332,1.0877
8,1.0074,0.9175
9,0.9784,0.7770
10,0.9483,0.6833
11,0.9179,0.6293
12,0.8888,0.6077
13,0.8624,0.6092
14,0.8386,0.6054
15,0.8166,0.5901
16,0.7962,0.5859
17,0.7778,0.5870
18,0.7608,0.5848
19,0.7451,0.5791
20,0.7309,0.5771
21,0.7173,0.5766
22,0.7045,0.5761
23,0.6928,0.5761
24,0.6820,0.5745
25,0.6719,0.5723
26,0.6625,0.5686
27,0.6537,0.5676
28,0.6455,0.5673
29,0.6377,0.5663
30,0.6303,0.5668
31,0.6233,0.5705
32,0.6167,0.5721
33,0.6104,0.5710
34,0.6045,0.5685
35,0.5990,0.5667
36,0.5937,0.5680
37,0.5886,0.5703
38,0.5838,0.5716
39,0.5793,0.5702
40,0.5749,0.5669
41,0.5707,0.5643
42,0.5667,0.5624
43,0.5629,0.5625
44,0.5593,0.5639
45,0.5558,0.5655
46,0.5524,0.5662
47,0.5491,0.5661
48,0.5460,0.5656
49,0.5430,0.5647
50,0.5402,0.5648
51,0.5374,0.5663
52,0.5347,0.5687
53,0.5321,0.5699
54,0.5296,0.5697
55,0.5272,0.5687
56,0.5249,0.5679
57,0.5226,0.5673
58,0.5205,0.5664
59,0.5184,0.5660
60,0.5163,0.5656
61,0.5143,0.5668
62,0.5124,0.5667
63,0.5106,0.5664
64,0.5088,0.5664
65,0.5070,0.5662
66,0.5053,0.5653
67,0.5037,0.5649
68,0.5021,0.5646
69,0.5005,0.5654
70,0.4990,0.5661
71,0.4976,0.5658
72,0.4961,0.5661
73,0.4947,0.5656
74,0.4934,0.5661
75,0.4921,0.5660
76,0.4908,0.5657
77,0.4895,0.5657
78,0.4883,0.5662
79,0.4871,0.5659
80,0.4859,0.5659
81,0.4848,0.5663
82,0.4836,0.5658
83,0.4826,0.5655
84,0.4815,0.5654
85,0.4804,0.5651
86,0.4794,0.5661
87,0.4784,0.5658
88,0.4775,0.5654
89,0.4765,0.5655
90,0.4756,0.5656
91,0.4747,0.5651
92,0.4738,0.5640
93,0.4729,0.5647
94,0.4721,0.5657
95,0.4712,0.5646
96,0.4704,0.5649
97,0.4696,0.5649
98,0.4688,0.5641
99,0.4680,0.5644
100,0.4672,0.5643
101,0.4665,0.5644
102,0.4658,0.5646
103,0.4650,0.5647
104,0.4643,0.5646
105,0.4636,0.5653
106,0.4629,0.5643
107,0.4623,0.5644
108,0.4616,0.5639
109,0.4610,0.5643
110,0.4603,0.5641
111,0.4597,0.5640
112,0.4591,0.5632
113,0.4585,0.5637
114,0.4579,0.5641
115,0.4573,0.5640
116,0.4567,0.5645
117,0.4561,0.5642
118,0.4556,0.5635
119,0.4550,0.5636
120,0.4545,0.5645
121,0.4539,0.5629
122,0.4534,0.5632
123,0.4529,0.5628
124,0.4524,0.5633
125,0.4519,0.5636
126,0.4514,0.5627
127,0.4509,0.5627
128,0.4504,0.5637
129,0.4499,0.5627
130,0.4495,0.5627
131,0.4490,0.5627
132,0.4485,0.5626
133,0.4481,0.5628
134,0.4477,0.5627
135,0.4472,0.5621
136,0.4468,0.5625
137,0.4464,0.5630
138,0.4459,0.5628
139,0.4455,0.5622
140,0.4451,0.5615
141,0.4447,0.5621
142,0.4443,0.5618
143,0.4439,0.5622
144,0.4435,0.5624
145,0.4431,0.5621
146,0.4427,0.5620
147,0.4424,0.5617
148,0.4420,0.5626
149,0.4416,0.5618
150,0.4412,0.5620
151,0.4409,0.5608
152,0.4405,0.5607
153,0.4402,0.5607
154,0.4398,0.5606
155,0.4395,0.5615
156,0.4391,0.5611
157,0.4388,0.5612
158,0.4385,0.5617
159,0.4381,0.5616
160,0.4378,0.5603
161,0.4375,0.5595
162,0.4372,0.5609
163,0.4368,0.5595
164,0.4365,0.5606
165,0.4362,0.5601
166,0.4359,0.5605
167,0.4356,0.5604
168,0.4353,0.5604
169,0.4350,0.5602
