iter,loss,rmse
1,0.8362,1.2103
2,1.0434,0.8929
3,1.1037,0.6276
4,1.1234,0.6807
5,1.1290,0.7998
6,1.1193,0.7772
7,1.0978,0.7107
8,1.0676,0.6440
9,1.0338,0.5899
10,1.0010,0.5878
11,0.9720,0.6450
12,0.9438,0.6154
13,0.9190,0.5775
14,0.8950,0.5749
15,0.8733,0.6136
16,0.8529,0.6075
17,0.8331,0.5678
18,0.8144,0.5635
19,0.7965,0.5614
20,0.7797,0.5658
21,0.7637,0.5588
22,0.7485,0.5602
23,0.7342,0.5604
24,0.7210,0.5560
25,0.7088,0.5592
26,0.6976,0.5706
27,0.6870,0.5684
28,0.6771,0.5607
29,0.6678,0.5593
30,0.6589,0.5632
31,0.6506,0.5625
32,0.6426,0.5571
33,0.6352,0.5541
34,0.6282,0.5536
35,0.6215,0.5553
36,0.6152,0.5575
37,0.6092,0.5566
38,0.6034,0.5534
39,0.5980,0.5515
40,0.5928,0.5522
41,0.5879,0.5545
42,0.5831,0.5575
43,0.5786,0.5566
44,0.5743,0.5548
45,0.5701,0.5542
46,0.5662,0.5571
47,0.5623,0.5591
48,0.5587,0.5582
49,0.5552,0.5561
50,0.5518,0.5566
51,0.5485,0.5578
52,0.5454,0.5583
53,0.5424,0.5567
54,0.5395,0.5551
55,0.5367,0.5553
56,0.5339,0.5559
57,0.5313,0.5567
58,0.5288,0.5560
59,0.5263,0.5544
60,0.5240,0.5544
61,0.5216,0.5551
62,0.5194,0.5557
63,0.5173,0.5561
64,0.5152,0.5558
65,0.5131,0.5551
66,0.5112,0.5556
67,0.5092,0.5558
68,0.5074,0.5569
69,0.5055,0.5568
70,0.5038,0.5559
71,0.5021,0.5555
72,0.5004,0.5562
73,0.4988,0.5571
74,0.4972,0.5563
75,0.4956,0.5553
76,0.4941,0.5549
77,0.4927,0.5558
78,0.4912,0.5564
79,0.4899,0.5559
80,0.4885,0.5547
81,0.4872,0.5550
82,0.4859,0.5554
83,0.4846,0.5556
84,0.4834,0.5555
85,0.4822,0.5552
86,0.4810,0.5550
87,0.4798,0.5555
88,0.4787,0.5557
89,0.4776,0.5553
90,0.4765,0.5552
91,0.4755,0.5551
92,0.4744,0.5557
93,0.4734,0.5557
94,0.4724,0.5550
95,0.4715,0.5550
96,0.4705,0.5554
97,0.4696,0.5558
98,0.4686,0.5556
99,0.4677,0.5549
100,0.4669,0.5544
101,0.4660,0.5550
102,0.4651,0.5561
103,0.4643,0.5543
104,0.4635,0.5542
105,0.4627,0.5555
106,0.4619,0.5555
107,0.4611,0.5544
108,0.4604,0.5537
109,0.4596,0.5552
110,0.4589,0.5552
111,0.4582,0.5548
112,0.4575,0.5549
113,0.4568,0.5543
114,0.4561,0.5550
115,0.4554,0.5547
116,0.4547,0.5543
117,0.4541,0.5547
118,0.4535,0.5542
119,0.4528,0.5543
120,0.4522,0.5546
121,0.4516,0.5549
122,0.4510,0.5551
123,0.4504,0.5543
124,0.4498,0.5540
