iter,loss,rmse
10,0.7235,0.6173
20,0.5505,0.3193
30,0.4765,0.3412
40,0.4275,0.3195
50,0.3936,0.3132
60,0.3697,0.3146
70,0.3519,0.3138
80,0.3381,0.3136
90,0.3265,0.3137
100,0.3171,0.3122
110,0.3094,0.3122
120,0.3029,0.3116
130,0.2974,0.3130
140,0.2926,0.3107
150,0.2883,0.3112
160,0.2843,0.3095
170,0.2808,0.3100
180,0.2779,0.3152
190,0.2752,0.3097
200,0.2727,0.3103
210,0.2705,0.3107
220,0.2686,0.3109
230,0.2668,0.3138
240,0.2650,0.3093
250,0.2635,0.3102
260,0.2618,0.3069
270,0.2603,0.3102
280,0.2588,0.3074
290,0.2574,0.3094
300,0.2563,0.3143
310,0.2552,0.3092
320,0.2542,0.3088
330,0.2532,0.3088
340,0.2524,0.3147
350,0.2515,0.3080
360,0.2507,0.3077
370,0.2498,0.3073
380,0.2489,0.3123
390,0.2481,0.3098
400,0.2473,0.3059
410,0.2467,0.3096
420,0.2459,0.3077
430,0.2452,0.3065
440,0.2445,0.3071
450,0.2440,0.3081
460,0.2433,0.3059
470,0.2427,0.3079
480,0.2422,0.3099
490,0.2416,0.3058
500,0.2411,0.3096
510,0.2406,0.3075
520,0.2401,0.3075
530,0.2396,0.3074
540,0.2392,0.3074
550,0.2387,0.3072
560,0.2383,0.3083
570,0.2379,0.3045
580,0.2375,0.3092
590,0.2371,0.3081
600,0.2367,0.3085
610,0.2364,0.3087
620,0.2360,0.3068
630,0.2358,0.3072
640,0.2354,0.3075
650,0.2351,0.3065
660,0.2348,0.3091
670,0.2345,0.3081
680,0.2342,0.3060
690,0.2338,0.3074
700,0.2335,0.3090
710,0.2332,0.3076
720,0.2329,0.3048
730,0.2325,0.3075
740,0.2322,0.3044
750,0.2319,0.3078
760,0.2316,0.3064
770,0.2314,0.3075
780,0.2311,0.3055
790,0.2308,0.3062
800,0.2306,0.3087
810,0.2304,0.3044
820,0.2301,0.3053
830,0.2299,0.3052
840,0.2296,0.3049
850,0.2294,0.3085
860,0.2292,0.3053
870,0.2290,0.3053
880,0.2287,0.3046
890,0.2285,0.3058
900,0.2283,0.3068
910,0.2281,0.3071
920,0.2279,0.3067
930,0.2277,0.3052
940,0.2275,0.3062
950,0.2274,0.3061
960,0.2272,0.3070
970,0.2270,0.3085
980,0.2268,0.3064
990,0.2266,0.3064
1000,0.2265,0.3057
1010,0.2263,0.3060
1020,0.2261,0.3057
1030,0.2260,0.3064
1040,0.2258,0.3056
1050,0.2256,0.3040
1060,0.2254,0.3034
1070,0.2253,0.3087
1080,0.2251,0.3034
1090,0.2250,0.3070
1100,0.2248,0.3038
1110,0.2247,0.3041
1120,0.2246,0.3042
1130,0.2245,0.3050
1140,0.2243,0.3048
1150,0.2242,0.3051
1160,0.2240,0.3066
1170,0.2239,0.3035
1180,0.2238,0.3074
1190,0.2236,0.3071
1200,0.2235,0.3047
1210,0.2233,0.3055
1220,0.2232,0.3059
1230,0.2230,0.3050
1240,0.2229,0.3050
1250,0.2228,0.3046
1260,0.2227,0.3050
1270,0.2225,0.3045
1280,0.2224,0.3047
1290,0.2223,0.3056
1300,0.2222,0.3065
1310,0.2221,0.3059
1320,0.2220,0.3069
1330,0.2219,0.3051
1340,0.2218,0.3047
1350,0.2216,0.3048
1360,0.2215,0.3082
1370,0.2214,0.3037
1380,0.2213,0.3062
1390,0.2212,0.3036
1400,0.2211,0.3038
1410,0.2210,0.3051
1420,0.2209,0.3047
1430,0.2208,0.3050
1440,0.2207,0.3047
1450,0.2206,0.3044
1460,0.2205,0.3015
1470,0.2204,0.3061
1480,0.2203,0.3042
1490,0.2202,0.3044
1500,0.2201,0.3039
1510,0.2200,0.3029
1520,0.2199,0.3026
1530,0.2198,0.3045
1540,0.2197,0.3030
1550,0.2196,0.3038
1560,0.2196,0.3062
1570,0.2195,0.3055
1580,0.2194,0.3055
1590,0.2193,0.3029
1600,0.2192,0.3054
1610,0.2191,0.3036
1620,0.2191,0.3038
1630,0.2190,0.3032
1640,0.2189,0.3036
1650,0.2188,0.3030
1660,0.2187,0.3052
1670,0.2187,0.3032
1680,0.2186,0.3047
1690,0.2185,0.3021
1700,0.2184,0.3069
1710,0.2184,0.3059
1720,0.2183,0.3056
1730,0.2182,0.3032
1740,0.2181,0.3041
1750,0.2180,0.3037
1760,0.2180,0.3048
1770,0.2179,0.3045
1780,0.2178,0.3042
1790,0.2177,0.3052
1800,0.2177,0.3038
1810,0.2176,0.3050
1820,0.2175,0.3033
1830,0.2174,0.3053
1840,0.2174,0.3025
1850,0.2173,0.3042
1860,0.2173,0.3023
1870,0.2172,0.3054
1880,0.2171,0.3047
1890,0.2171,0.3030
1900,0.2170,0.3039
1910,0.2169,0.3057
1920,0.2169,0.3024
1930,0.2168,0.3030
1940,0.2168,0.3048
1950,0.2167,0.3036
1960,0.2167,0.3068
1970,0.2166,0.3045
1980,0.2165,0.3037
1990,0.2165,0.3019
2000,0.2164,0.3030
2010,0.2163,0.3068
2020,0.2163,0.3033
2030,0.2162,0.3025
2040,0.2162,0.3031
2050,0.2161,0.3044
2060,0.2161,0.3048
2070,0.2160,0.3051
2080,0.2159,0.3024
2090,0.2159,0.3047
2100,0.2158,0.3029
2110,0.2158,0.3040
2120,0.2157,0.3027
2130,0.2157,0.3031
2140,0.2156,0.3013
2150,0.2156,0.3043
2160,0.2155,0.3052
2170,0.2155,0.3048
2180,0.2154,0.3040
2190,0.2154,0.3058
2200,0.2153,0.3050
2210,0.2153,0.3034
2220,0.2152,0.3044
2230,0.2152,0.3021
2240,0.2151,0.3039
2250,0.2151,0.3034
2260,0.2150,0.3037
2270,0.2150,0.3026
2280,0.2149,0.3035
2290,0.2149,0.3032
2300,0.2148,0.3034
2310,0.2148,0.3033
2320,0.2147,0.3039
2330,0.2147,0.3043
2340,0.2146,0.3014
2350,0.2146,0.3009
2360,0.2145,0.3048
2370,0.2145,0.3037
2380,0.2145,0.3050
2390,0.2144,0.3040
2400,0.2144,0.3044
2410,0.2144,0.3046
2420,0.2143,0.3060
2430,0.2143,0.3021
2440,0.2142,0.3055
2450,0.2142,0.3033
2460,0.2141,0.3046
2470,0.2141,0.3044
