iter,loss,rmse
1,0.7650,0.9551
2,0.9412,0.9813
3,0.9725,1.0004
4,0.9394,0.8808
5,0.8699,0.5062
6,0.8133,0.3644
7,0.7621,0.3243
8,0.7242,0.3144
9,0.7096,0.3388
10,0.6921,0.3278
11,0.6732,0.3511
12,0.6501,0.3282
13,0.6284,0.3304
14,0.6146,0.3260
15,0.5998,0.3139
16,0.5885,0.3369
17,0.5754,0.3113
18,0.5625,0.3150
19,0.5516,0.3331
20,0.5407,0.3195
21,0.5319,0.3206
22,0.5240,0.3253
23,0.5151,0.3231
24,0.5067,0.3131
25,0.4995,0.3249
26,0.4932,0.3213
27,0.4872,0.3364
28,0.4802,0.3223
29,0.4737,0.3095
30,0.4675,0.3168
31,0.4623,0.3240
32,0.4567,0.3161
33,0.4514,0.3150
34,0.4462,0.3119
35,0.4416,0.3215
36,0.4373,0.3197
37,0.4333,0.3267
38,0.4291,0.3179
39,0.4253,0.3167
40,0.4214,0.3183
41,0.4176,0.3138
42,0.4139,0.3145
43,0.4104,0.3118
44,0.4071,0.3130
45,0.4039,0.3154
46,0.4009,0.3114
47,0.3979,0.3163
48,0.3947,0.3126
49,0.3920,0.3154
50,0.3893,0.3158
51,0.3868,0.3206
52,0.3843,0.3205
53,0.3817,0.3172
54,0.3793,0.3135
55,0.3768,0.3084
56,0.3748,0.3179
57,0.3728,0.3178
58,0.3707,0.3138
59,0.3685,0.3128
60,0.3665,0.3155
61,0.3646,0.3121
62,0.3627,0.3125
63,0.3608,0.3132
64,0.3589,0.3109
65,0.3574,0.3193
66,0.3556,0.3115
67,0.3539,0.3140
68,0.3524,0.3168
69,0.3508,0.3071
70,0.3494,0.3174
71,0.3481,0.3173
72,0.3465,0.3099
73,0.3450,0.3111
74,0.3437,0.3157
75,0.3424,0.3158
76,0.3410,0.3136
77,0.3396,0.3131
78,0.3384,0.3160
79,0.3372,0.3162
80,0.3361,0.3158
81,0.3348,0.3138
82,0.3337,0.3142
83,0.3325,0.3143
84,0.3314,0.3128
85,0.3303,0.3126
86,0.3291,0.3142
87,0.3280,0.3106
88,0.3270,0.3126
89,0.3260,0.3116
90,0.3250,0.3100
91,0.3241,0.3130
92,0.3231,0.3130
93,0.3221,0.3128
94,0.3213,0.3152
95,0.3204,0.3123
96,0.3196,0.3145
97,0.3187,0.3153
98,0.3178,0.3142
99,0.3169,0.3126
100,0.3161,0.3134
101,0.3153,0.3131
102,0.3146,0.3153
103,0.3138,0.3127
104,0.3131,0.3136
105,0.3123,0.3109
106,0.3116,0.3117
107,0.3108,0.3130
108,0.3101,0.3107
109,0.3094,0.3140
110,0.3087,0.3161
111,0.3080,0.3126
112,0.3074,0.3172
113,0.3068,0.3143
114,0.3061,0.3148
115,0.3055,0.3155
116,0.3049,0.3139
117,0.3043,0.3122
118,0.3037,0.3136
119,0.3031,0.3107
120,0.3025,0.3120
121,0.3019,0.3100
122,0.3014,0.3111
123,0.3008,0.3113
124,0.3003,0.3123
125,0.2998,0.3118
126,0.2993,0.3108
127,0.2988,0.3100
128,0.2982,0.3120
129,0.2977,0.3138
130,0.2972,0.3104
131,0.2967,0.3132
132,0.2963,0.3167
133,0.2959,0.3185
134,0.2954,0.3126
135,0.2949,0.3104
136,0.2944,0.3116
137,0.2939,0.3103
138,0.2935,0.3107
139,0.2930,0.3141
140,0.2926,0.3135
141,0.2923,0.3143
142,0.2918,0.3136
143,0.2915,0.3138
144,0.2910,0.3099
145,0.2906,0.3118
146,0.2902,0.3093
147,0.2898,0.3126
148,0.2894,0.3082
149,0.2890,0.3110
150,0.2886,0.3118
151,0.2882,0.3096
152,0.2878,0.3130
153,0.2874,0.3131
154,0.2870,0.3149
155,0.2866,0.3116
156,0.2863,0.3087
157,0.2859,0.3142
158,0.2856,0.3148
159,0.2852,0.3118
160,0.2849,0.3138
161,0.2846,0.3101
162,0.2843,0.3142
163,0.2839,0.3107
164,0.2836,0.3120
165,0.2833,0.3090
166,0.2830,0.3089
167,0.2827,0.3103
168,0.2824,0.3080
169,0.2820,0.3099
170,0.2817,0.3099
171,0.2814,0.3139
172,0.2811,0.3129
173,0.2808,0.3115
174,0.2805,0.3124
175,0.2803,0.3148
176,0.2799,0.3117
177,0.2797,0.3124
178,0.2794,0.3122
179,0.2791,0.3122
180,0.2788,0.3116
181,0.2785,0.3102
182,0.2783,0.3087
183,0.2780,0.3100
184,0.2777,0.3117
185,0.2774,0.3105
186,0.2772,0.3098
187,0.2769,0.3141
188,0.2767,0.3109
189,0.2765,0.3165
190,0.2762,0.3123
191,0.2760,0.3096
192,0.2757,0.3112
193,0.2755,0.3136
194,0.2752,0.3124
195,0.2750,0.3108
196,0.2747,0.3113
197,0.2745,0.3093
198,0.2743,0.3137
199,0.2740,0.3090
200,0.2738,0.3120
201,0.2736,0.3136
202,0.2734,0.3133
203,0.2732,0.3110
204,0.2730,0.3123
205,0.2728,0.3120
206,0.2726,0.3106
207,0.2724,0.3116
208,0.2722,0.3148
209,0.2720,0.3118
210,0.2718,0.3082
211,0.2716,0.3116
212,0.2714,0.3136
213,0.2712,0.3111
214,0.2710,0.3125
215,0.2708,0.3137
216,0.2706,0.3110
217,0.2704,0.3101
218,0.2702,0.3121
219,0.2700,0.3119
220,0.2698,0.3111
221,0.2697,0.3126
222,0.2695,0.3095
223,0.2693,0.3103
224,0.2692,0.3133
225,0.2690,0.3104
226,0.2688,0.3122
227,0.2686,0.3149
228,0.2685,0.3148
229,0.2683,0.3141
230,0.2682,0.3119
231,0.2680,0.3117
232,0.2678,0.3127
233,0.2676,0.3128
234,0.2675,0.3102
235,0.2673,0.3120
236,0.2672,0.3117
237,0.2670,0.3155
238,0.2669,0.3124
239,0.2667,0.3152
240,0.2665,0.3104
241,0.2664,0.3126
242,0.2663,0.3126
243,0.2661,0.3102
244,0.2660,0.3130
245,0.2658,0.3116
246,0.2657,0.3090
247,0.2655,0.3127
248,0.2653,0.3094
249,0.2652,0.3122
250,0.2651,0.3170
251,0.2649,0.3092
252,0.2648,0.3113
253,0.2646,0.3111
254,0.2645,0.3111
255,0.2644,0.3115
256,0.2643,0.3122
257,0.2641,0.3111
258,0.2640,0.3115
259,0.2638,0.3101
260,0.2637,0.3124
261,0.2636,0.3145
