iter,loss,rmse
1,0.9818,2.2807
2,1.3017,2.2408
3,1.4750,2.3720
4,1.5597,2.2598
5,1.6145,2.2303
6,1.6514,2.2067
7,1.6763,2.2241
8,1.6938,2.1123
9,1.7055,2.2250
10,1.7138,2.1283
11,1.7191,2.0862
12,1.7219,1.8827
13,1.7223,2.0803
14,1.7215,2.0222
15,1.7196,1.8559
16,1.7177,2.0154
17,1.7140,1.8483
18,1.7101,1.8836
19,1.7057,1.8406
20,1.7008,1.7635
21,1.6956,1.8583
22,1.6899,1.6666
23,1.6842,1.6683
24,1.6782,1.6213
25,1.6722,1.7164
26,1.6658,1.6203
27,1.6594,1.5263
28,1.6528,1.5990
29,1.6460,1.5152
30,1.6391,1.5061
31,1.6321,1.4222
32,1.6249,1.3944
33,1.6179,1.4816
34,1.6111,1.2902
35,1.6041,1.5545
36,1.5966,1.3868
37,1.5898,1.1751
38,1.5826,1.3726
39,1.5754,1.4339
40,1.5680,1.2223
41,1.5611,1.1274
42,1.5539,1.2592
43,1.5469,1.3087
44,1.5397,1.1944
45,1.5328,1.1252
46,1.5257,1.1514
47,1.5185,1.1745
48,1.5115,1.1504
49,1.5045,1.0888
50,1.4976,1.0686
51,1.4909,1.1857
52,1.4841,1.1490
53,1.4776,1.0880
54,1.4709,1.1032
55,1.4643,1.1275
56,1.4578,1.1002
57,1.4515,1.0962
58,1.4452,1.1522
59,1.4389,1.1179
60,1.4327,1.0861
61,1.4265,1.0912
62,1.4205,1.1578
63,1.4144,1.1289
64,1.4086,1.0947
65,1.4028,1.0926
66,1.3970,1.1532
67,1.3914,1.1504
68,1.3859,1.1116
69,1.3805,1.1405
70,1.3751,1.1553
71,1.3698,1.1346
72,1.3645,1.0942
73,1.3595,1.1149
74,1.3544,1.1146
75,1.3494,1.1577
76,1.3445,1.1158
77,1.3396,1.1304
78,1.3348,1.1337
79,1.3301,1.1328
80,1.3254,1.0908
81,1.3208,1.0827
82,1.3163,1.0842
83,1.3119,1.1468
84,1.3075,1.0662
85,1.3032,1.0821
86,1.2989,1.1290
87,1.2947,1.1021
88,1.2906,1.0589
89,1.2866,1.0775
90,1.2826,1.1160
91,1.2787,1.1068
92,1.2748,1.0694
93,1.2709,1.0520
94,1.2672,1.0547
95,1.2636,1.0621
96,1.2599,1.0559
97,1.2564,1.0905
98,1.2528,1.0825
99,1.2494,1.0666
100,1.2460,1.0514
101,1.2426,1.0503
102,1.2394,1.0953
103,1.2361,1.0681
104,1.2330,1.0685
105,1.2298,1.0818
106,1.2267,1.0874
107,1.2237,1.0735
108,1.2206,1.0352
109,1.2177,1.0592
110,1.2149,1.0911
111,1.2120,1.0683
112,1.2092,1.0638
113,1.2065,1.0653
114,1.2037,1.0321
115,1.2010,1.0418
116,1.1983,1.0646
117,1.1957,1.0571
118,1.1931,1.0688
119,1.1905,1.0448
120,1.1880,0.9951
121,1.1855,1.0076
122,1.1830,1.0377
123,1.1805,1.0697
124,1.1781,1.0573
125,1.1756,1.0334
126,1.1733,0.9848
127,1.1709,1.0129
128,1.1686,1.0036
