iter,loss,rmse
1,0.9819,2.2807
2,1.2991,2.2132
3,1.4792,2.4240
4,1.5656,2.2858
5,1.6202,2.2643
6,1.6757,2.3568
7,1.7109,2.4624
8,1.7267,2.3572
9,1.7383,2.3650
10,1.7462,2.2283
11,1.7512,2.0505
12,1.7536,2.1615
13,1.7546,2.2138
14,1.7557,2.1767
15,1.7547,2.0588
16,1.7534,2.0995
17,1.7506,2.0773
18,1.7474,2.0910
19,1.7437,2.0168
20,1.7397,1.9160
21,1.7353,1.9044
22,1.7305,1.9109
23,1.7255,1.8975
24,1.7203,1.7635
25,1.7148,1.7395
26,1.7092,1.7064
27,1.7034,1.7565
28,1.6974,1.7237
29,1.6911,1.6338
30,1.6846,1.5455
31,1.6780,1.5604
32,1.6713,1.5247
33,1.6643,1.4931
34,1.6573,1.4826
35,1.6501,1.4748
36,1.6429,1.3452
37,1.6354,1.3771
38,1.6278,1.4420
39,1.6201,1.3033
40,1.6125,1.2590
41,1.6049,1.3488
42,1.5972,1.2673
43,1.5895,1.2124
44,1.5818,1.2457
45,1.5741,1.2415
46,1.5663,1.1559
47,1.5585,1.1519
48,1.5509,1.2302
49,1.5434,1.1061
50,1.5359,1.2037
51,1.5285,1.1915
52,1.5215,1.0878
53,1.5140,1.0976
54,1.5070,1.2374
55,1.4996,1.1196
56,1.4927,1.0783
57,1.4855,1.0967
58,1.4789,1.2356
59,1.4722,1.1570
60,1.4655,1.0735
61,1.4589,1.0931
62,1.4523,1.1608
63,1.4457,1.1277
64,1.4395,1.1108
65,1.4331,1.0861
66,1.4270,1.1351
67,1.4208,1.1676
68,1.4148,1.1266
69,1.4089,1.1065
70,1.4030,1.1146
71,1.3972,1.1126
72,1.3916,1.1694
73,1.3860,1.1330
74,1.3807,1.0893
75,1.3753,1.1334
76,1.3700,1.1727
77,1.3648,1.1381
78,1.3597,1.1020
79,1.3548,1.1391
80,1.3498,1.1331
81,1.3450,1.1366
82,1.3403,1.1006
83,1.3356,1.1536
84,1.3310,1.1285
85,1.3265,1.1038
86,1.3220,1.0796
87,1.3175,1.1015
88,1.3131,1.0964
89,1.3088,1.0747
90,1.3044,1.0576
91,1.3002,1.0843
92,1.2960,1.1017
93,1.2918,1.0639
94,1.2877,1.0543
95,1.2837,1.0666
