iter,loss,rmse
1,0.9818,2.2807
2,1.2990,2.2234
3,1.4771,2.4147
4,1.5630,2.2718
5,1.6183,2.2770
6,1.6663,2.2293
7,1.7013,2.4763
8,1.7184,2.3426
9,1.7300,2.2881
10,1.7386,2.2198
11,1.7431,2.1174
12,1.7459,2.1471
13,1.7479,2.2180
14,1.7484,2.1330
15,1.7479,2.1140
16,1.7460,2.1122
17,1.7438,2.1058
18,1.7406,2.0583
19,1.7370,1.9660
20,1.7335,1.9018
21,1.7293,1.9914
22,1.7250,2.0183
23,1.7202,1.9436
24,1.7151,1.7481
25,1.7100,1.7319
26,1.7044,1.7389
27,1.6988,1.8304
28,1.6927,1.7667
29,1.6864,1.6447
30,1.6800,1.5632
31,1.6735,1.5524
32,1.6668,1.5591
33,1.6599,1.5577
34,1.6530,1.4481
35,1.6459,1.4528
36,1.6386,1.4065
37,1.6313,1.4371
38,1.6237,1.3809
39,1.6162,1.3177
40,1.6086,1.2813
41,1.6010,1.3395
42,1.5933,1.3027
43,1.5856,1.2350
44,1.5779,1.2483
45,1.5700,1.2364
46,1.5623,1.2068
47,1.5547,1.1564
48,1.5472,1.2785
49,1.5395,1.1419
50,1.5320,1.1183
51,1.5252,1.3816
52,1.5178,1.1890
53,1.5111,1.0899
54,1.5037,1.1093
55,1.4967,1.1878
56,1.4898,1.2069
57,1.4829,1.1002
58,1.4760,1.1122
59,1.4692,1.1331
60,1.4624,1.1022
61,1.4557,1.0858
62,1.4491,1.0969
63,1.4426,1.1013
64,1.4362,1.1139
65,1.4299,1.0946
66,1.4236,1.0809
67,1.4176,1.1235
68,1.4116,1.1282
69,1.4056,1.1467
70,1.3999,1.1243
71,1.3942,1.0788
72,1.3885,1.1425
73,1.3831,1.1869
74,1.3776,1.0944
75,1.3722,1.0877
76,1.3669,1.1489
77,1.3617,1.1650
78,1.3565,1.1024
79,1.3517,1.1120
80,1.3467,1.1085
81,1.3421,1.1920
82,1.3372,1.1003
83,1.3326,1.1210
84,1.3279,1.0842
85,1.3233,1.0917
86,1.3188,1.1147
87,1.3144,1.1046
88,1.3100,1.0516
89,1.3057,1.0540
