iter,loss,rmse
1,0.9818,2.2809
2,1.3032,2.2023
3,1.4734,2.3317
4,1.6094,2.5677
5,1.7925,2.9184
6,1.9904,4.4297
7,2.0023,1.8413
8,2.0809,3.7971
9,2.0623,2.4201
10,2.0474,2.1146
11,2.0346,2.4840
12,2.0223,2.4626
13,2.0087,2.1959
14,1.9960,2.1276
15,1.9846,2.1752
16,1.9742,2.3443
17,1.9641,2.3235
18,1.9540,2.2204
19,1.9445,2.0998
20,1.9353,2.0691
21,1.9260,2.1402
22,1.9169,2.1801
23,1.9081,2.1760
24,1.8992,2.1245
25,1.8905,2.0507
26,1.8819,1.9725
27,1.8733,1.9066
28,1.8648,1.9313
29,1.8562,1.9678
30,1.8478,1.9597
31,1.8394,1.9165
32,1.8313,1.8030
33,1.8228,1.7480
34,1.8145,1.7136
35,1.8061,1.7095
36,1.7979,1.6683
37,1.7895,1.6676
38,1.7812,1.6059
39,1.7729,1.4971
40,1.7644,1.4625
41,1.7560,1.4754
42,1.7475,1.4954
43,1.7391,1.4897
44,1.7308,1.3558
45,1.7223,1.3581
46,1.7138,1.3762
47,1.7053,1.3776
48,1.6968,1.3235
49,1.6883,1.2446
50,1.6797,1.2889
51,1.6714,1.3398
52,1.6628,1.2252
53,1.6542,1.2162
54,1.6457,1.2208
55,1.6373,1.2477
56,1.6289,1.1912
57,1.6205,1.1964
58,1.6123,1.2647
59,1.6040,1.1706
60,1.5959,1.1708
61,1.5879,1.2323
62,1.5799,1.1887
63,1.5722,1.1582
64,1.5643,1.1643
65,1.5569,1.2560
66,1.5494,1.2279
67,1.5421,1.1694
68,1.5349,1.1616
69,1.5277,1.1742
70,1.5207,1.1982
71,1.5137,1.1565
72,1.5069,1.1598
73,1.5003,1.1876
74,1.4937,1.1686
75,1.4872,1.1594
76,1.4809,1.1637
77,1.4747,1.2018
78,1.4686,1.1641
79,1.4626,1.1610
80,1.4568,1.1647
81,1.4512,1.1916
82,1.4456,1.1730
83,1.4401,1.1489
84,1.4349,1.1585
85,1.4296,1.1684
86,1.4244,1.1888
87,1.4193,1.1601
88,1.4144,1.1656
89,1.4095,1.1664
90,1.4047,1.1771
91,1.4000,1.1604
92,1.3954,1.1553
93,1.3908,1.1586
94,1.3864,1.1718
95,1.3820,1.1634
96,1.3777,1.1566
97,1.3734,1.1638
98,1.3693,1.1691
