iter,loss,rmse
1,0.9820,2.2921
2,1.3019,2.3230
3,1.4813,2.1597
4,1.7527,2.4558
5,1.8646,2.7494
6,2.0859,3.1614
7,2.0766,2.1343
8,2.1188,2.5890
9,2.1220,2.6209
10,2.1103,2.3873
11,2.0921,2.2820
12,2.0746,2.2860
13,2.0581,2.2851
14,2.0443,2.2496
15,2.0330,2.1520
16,2.0211,2.1940
17,2.0088,2.2225
18,1.9970,2.2332
19,1.9861,2.1635
20,1.9755,2.1714
21,1.9653,2.1335
22,1.9551,2.1653
23,1.9454,2.1595
24,1.9360,2.1051
25,1.9265,2.0499
26,1.9173,1.9936
27,1.9083,1.9426
28,1.8993,1.9569
29,1.8904,1.9367
30,1.8816,1.9583
31,1.8730,1.9216
32,1.8644,1.8499
33,1.8558,1.8078
34,1.8473,1.7372
35,1.8389,1.7194
36,1.8305,1.6908
37,1.8222,1.7060
38,1.8139,1.7144
39,1.8056,1.6186
40,1.7971,1.5765
41,1.7889,1.5411
42,1.7805,1.5945
43,1.7720,1.4994
44,1.7637,1.4731
45,1.7552,1.4464
46,1.7467,1.4659
47,1.7383,1.4153
48,1.7298,1.4007
49,1.7213,1.3394
50,1.7127,1.3649
51,1.7041,1.3855
52,1.6955,1.2657
53,1.6870,1.2790
54,1.6785,1.3790
55,1.6699,1.2942
56,1.6615,1.2211
57,1.6529,1.2253
58,1.6446,1.3302
59,1.6363,1.2780
60,1.6281,1.2250
61,1.6202,1.1916
62,1.6123,1.2015
63,1.6045,1.2455
64,1.5970,1.2816
65,1.5895,1.2315
66,1.5821,1.1932
67,1.5750,1.2028
68,1.5679,1.2070
69,1.5609,1.2269
70,1.5540,1.2377
71,1.5472,1.1977
72,1.5405,1.1889
73,1.5340,1.1905
74,1.5275,1.1977
75,1.5212,1.2072
76,1.5150,1.2034
77,1.5089,1.2033
78,1.5028,1.1848
79,1.4969,1.1865
80,1.4911,1.1869
81,1.4854,1.2041
82,1.4797,1.1899
83,1.4742,1.1896
84,1.4688,1.1857
85,1.4635,1.1804
86,1.4582,1.1997
87,1.4531,1.1985
88,1.4481,1.1850
89,1.4431,1.1789
90,1.4382,1.1891
91,1.4334,1.1992
92,1.4287,1.1978
93,1.4241,1.1829
94,1.4196,1.1771
95,1.4151,1.1882
96,1.4107,1.1910
97,1.4064,1.1882
98,1.4021,1.1750
99,1.3979,1.1670
100,1.3938,1.1786
101,1.3897,1.1880
102,1.3858,1.2032
103,1.3819,1.1705
104,1.3780,1.1705
105,1.3742,1.1830
106,1.3704,1.1916
107,1.3667,1.1864
108,1.3631,1.1774
109,1.3596,1.1830
110,1.3560,1.1865
111,1.3526,1.1773
112,1.3492,1.1860
113,1.3458,1.1824
114,1.3425,1.1815
115,1.3393,1.1787
116,1.3361,1.1748
117,1.3329,1.1728
118,1.3298,1.1814
119,1.3268,1.1756
120,1.3238,1.1732
121,1.3209,1.1830
122,1.3180,1.1779
123,1.3151,1.1906
124,1.3123,1.1845
125,1.3095,1.1694
126,1.3067,1.1609
127,1.3040,1.1620
128,1.3013,1.1693
129,1.2987,1.1789
130,1.2961,1.1805
131,1.2935,1.1791
132,1.2910,1.1604
133,1.2885,1.1678
134,1.2861,1.1658
135,1.2836,1.1737
136,1.2812,1.1688
137,1.2789,1.1648
138,1.2766,1.1790
139,1.2743,1.1726
140,1.2720,1.1699
141,1.2697,1.1609
142,1.2675,1.1597
143,1.2653,1.1612
144,1.2631,1.1699
145,1.2610,1.1626
146,1.2589,1.1637
147,1.2568,1.1515
148,1.2548,1.1611
149,1.2527,1.1828
150,1.2507,1.1698
151,1.2487,1.1621
152,1.2468,1.1410
153,1.2448,1.1640
154,1.2429,1.1690
155,1.2410,1.1700
156,1.2391,1.1597
157,1.2373,1.1593
158,1.2354,1.1633
159,1.2336,1.1525
160,1.2318,1.1629
161,1.2300,1.1584
162,1.2283,1.1532
163,1.2265,1.1616
164,1.2248,1.1697
165,1.2231,1.1437
166,1.2214,1.1558
167,1.2198,1.1520
168,1.2181,1.1537
169,1.2165,1.1395
170,1.2149,1.1361
171,1.2133,1.1568
172,1.2117,1.1415
173,1.2102,1.1517
174,1.2086,1.1471
175,1.2071,1.1440
176,1.2056,1.1266
177,1.2041,1.1375
178,1.2026,1.1364
179,1.2011,1.1350
180,1.1997,1.1526
181,1.1983,1.1230
182,1.1968,1.1290
183,1.1954,1.1336
184,1.1940,1.1302
185,1.1927,1.1557
186,1.1913,1.1355
187,1.1900,1.1507
188,1.1886,1.1255
189,1.1873,1.1438
190,1.1859,1.1415
191,1.1846,1.1538
192,1.1834,1.1374
193,1.1821,1.1347
194,1.1808,1.1218
195,1.1795,1.1390
196,1.1783,1.1301
197,1.1771,1.1278
198,1.1758,1.1258
199,1.1746,1.1338
200,1.1734,1.1340
201,1.1722,1.1164
202,1.1710,1.1176
203,1.1699,1.1400
204,1.1687,1.1377
205,1.1676,1.1191
206,1.1664,1.1350
207,1.1653,1.1376
208,1.1642,1.1274
209,1.1630,1.1320
210,1.1619,1.1137
211,1.1608,1.1143
212,1.1597,1.1236
213,1.1587,1.1328
214,1.1576,1.1238
215,1.1565,1.1147
216,1.1555,1.1050
217,1.1544,1.1183
218,1.1534,1.1137
219,1.1523,1.1302
220,1.1513,1.1283
