iter,loss,rmse
1,0.9820,2.2919
2,1.3005,2.3141
3,1.4777,2.2283
4,1.6033,2.4475
5,1.6596,2.2330
6,1.8268,2.5781
7,1.8455,2.0677
8,1.8494,2.1976
9,1.8536,2.4142
10,1.8531,2.2725
11,1.8537,2.1045
12,1.8516,2.2046
13,1.8492,2.2993
14,1.8458,2.2926
15,1.8416,2.2116
16,1.8370,2.1213
17,1.8324,2.0972
18,1.8273,2.1469
19,1.8222,2.1911
20,1.8167,2.1547
21,1.8110,2.0519
22,1.8051,1.9269
23,1.7992,1.8787
24,1.7930,1.8937
25,1.7869,1.9661
26,1.7806,1.9061
27,1.7744,1.8238
28,1.7682,1.7491
29,1.7617,1.7607
30,1.7552,1.7548
31,1.7486,1.7300
32,1.7421,1.5920
33,1.7353,1.5910
34,1.7284,1.6131
35,1.7215,1.6578
36,1.7145,1.6141
37,1.7074,1.5294
38,1.7002,1.4144
39,1.6929,1.4047
40,1.6856,1.4913
41,1.6781,1.4324
42,1.6706,1.3092
43,1.6629,1.3732
44,1.6553,1.4142
45,1.6475,1.3241
46,1.6397,1.2939
47,1.6319,1.2413
48,1.6242,1.3864
49,1.6163,1.2965
50,1.6089,1.1683
51,1.6013,1.3544
52,1.5935,1.2602
53,1.5859,1.1700
54,1.5781,1.2499
55,1.5704,1.2683
56,1.5627,1.1718
57,1.5550,1.1549
58,1.5476,1.2590
59,1.5400,1.1835
60,1.5327,1.1357
61,1.5252,1.1628
