iter,loss,rmse
1,0.8588,1.5308
2,1.1249,1.4373
3,1.2365,1.1683
4,1.3076,1.2456
5,1.3524,1.3563
6,1.3781,1.2813
7,1.3897,1.1530
8,1.4021,1.1270
9,1.4073,1.1363
10,1.4132,1.2228
11,1.4168,1.2027
12,1.4182,1.1244
13,1.4181,1.0945
14,1.4171,1.1087
15,1.4157,1.1181
16,1.4136,1.0807
17,1.4115,1.0612
18,1.4095,1.0661
19,1.4071,1.0608
20,1.4046,1.0776
21,1.4023,1.0895
22,1.3996,1.0643
23,1.3967,1.0119
24,1.3935,0.9953
25,1.3902,1.0071
26,1.3867,1.0143
27,1.3832,1.0382
28,1.3803,1.0454
29,1.3777,1.0217
30,1.3745,0.9898
31,1.3713,0.9908
32,1.3682,0.9821
33,1.3650,0.9919
34,1.3616,0.9938
35,1.3588,0.9934
36,1.3554,0.9783
37,1.3526,0.9548
38,1.3495,0.9573
39,1.3460,0.9619
40,1.3426,0.9388
41,1.3395,0.9703
42,1.3363,0.9397
43,1.3328,0.9290
44,1.3296,0.9289
45,1.3264,0.9370
46,1.3232,0.9260
47,1.3201,0.9359
48,1.3173,0.9353
49,1.3145,0.9188
50,1.3119,0.9601
51,1.3089,0.9359
52,1.3061,0.9115
53,1.3035,0.9191
54,1.3006,0.8993
55,1.2978,0.9334
56,1.2952,0.9338
57,1.2924,0.9174
58,1.2900,0.8961
59,1.2872,0.8955
60,1.2847,0.9185
61,1.2821,0.9088
62,1.2796,0.9096
63,1.2770,0.8943
64,1.2746,0.8939
65,1.2721,0.8933
66,1.2696,0.8796
67,1.2672,0.9045
68,1.2649,0.8961
69,1.2626,0.8836
70,1.2603,0.9122
71,1.2580,0.8773
72,1.2557,0.8885
73,1.2533,0.8829
74,1.2511,0.8858
75,1.2488,0.8841
76,1.2466,0.8588
77,1.2444,0.8751
78,1.2422,0.8925
79,1.2400,0.8845
80,1.2377,0.8618
81,1.2355,0.8619
82,1.2333,0.8684
83,1.2311,0.8868
84,1.2288,0.8643
85,1.2268,0.8794
86,1.2245,0.8593
87,1.2224,0.8774
88,1.2201,0.8631
89,1.2182,0.8636
90,1.2159,0.8397
91,1.2137,0.8833
92,1.2115,0.8543
93,1.2093,0.8609
94,1.2071,0.8605
95,1.2049,0.8554
96,1.2027,0.8525
97,1.2005,0.8411
98,1.1983,0.8531
99,1.1961,0.8368
100,1.1939,0.8574
101,1.1916,0.8403
102,1.1894,0.8490
103,1.1873,0.8604
104,1.1851,0.8274
105,1.1829,0.8441
106,1.1808,0.8430
107,1.1787,0.8522
108,1.1763,0.8261
109,1.1741,0.8453
110,1.1718,0.8387
111,1.1695,0.8336
112,1.1673,0.8290
113,1.1650,0.8295
114,1.1628,0.8362
115,1.1605,0.8375
116,1.1582,0.8235
117,1.1561,0.8408
118,1.1539,0.8194
119,1.1517,0.8414
120,1.1496,0.8550
121,1.1474,0.8248
122,1.1451,0.8188
123,1.1429,0.8215
124,1.1407,0.8238
125,1.1386,0.8240
126,1.1367,0.8719
127,1.1348,0.8838
128,1.1328,0.8541
129,1.1308,0.8493
130,1.1289,0.8435
131,1.1271,0.8380
132,1.1251,0.8311
133,1.1232,0.8490
134,1.1213,0.8532
135,1.1194,0.8353
136,1.1175,0.8565
137,1.1156,0.8439
138,1.1137,0.8363
139,1.1118,0.8296
140,1.1100,0.8391
141,1.1081,0.8295
142,1.1063,0.8304
143,1.1044,0.8213
144,1.1026,0.8223
145,1.1007,0.8179
146,1.0990,0.8400
147,1.0972,0.8245
148,1.0956,0.8400
149,1.0938,0.8288
150,1.0922,0.8223
151,1.0905,0.8221
152,1.0889,0.8437
153,1.0873,0.8432
154,1.0856,0.8147
155,1.0840,0.8245
156,1.0824,0.8218
157,1.0809,0.8353
158,1.0793,0.8232
159,1.0777,0.8174
160,1.0762,0.8378
161,1.0747,0.8308
162,1.0734,0.8589
163,1.0718,0.8090
164,1.0705,0.8896
165,1.0691,0.8321
166,1.0677,0.8443
167,1.0663,0.8366
168,1.0648,0.8295
169,1.0634,0.8287
170,1.0621,0.8299
171,1.0607,0.8241
172,1.0593,0.8137
173,1.0579,0.8240
174,1.0566,0.8280
175,1.0552,0.8246
176,1.0538,0.8173
177,1.0525,0.8224
178,1.0512,0.8132
179,1.0499,0.8041
180,1.0486,0.8094
181,1.0473,0.8169
182,1.0461,0.8335
183,1.0449,0.8179
184,1.0436,0.8095
185,1.0424,0.8124
186,1.0412,0.8097
187,1.0400,0.8139
188,1.0388,0.8200
189,1.0376,0.8102
190,1.0363,0.7977
191,1.0351,0.7893
192,1.0339,0.7960
193,1.0327,0.7891
194,1.0315,0.7999
195,1.0303,0.8043
196,1.0292,0.8030
197,1.0281,0.8164
198,1.0270,0.8191
199,1.0258,0.7871
200,1.0248,0.8357
201,1.0237,0.8047
202,1.0227,0.8141
203,1.0217,0.8137
204,1.0206,0.7934
205,1.0196,0.8273
206,1.0186,0.8106
207,1.0175,0.7935
208,1.0165,0.8136
209,1.0155,0.8001
210,1.0145,0.7904
211,1.0135,0.8132
212,1.0125,0.8056
213,1.0116,0.8068
214,1.0106,0.8035
215,1.0096,0.7890
216,1.0086,0.7873
217,1.0076,0.7849
218,1.0066,0.7935
219,1.0057,0.7965
220,1.0047,0.7848
221,1.0038,0.7905
222,1.0028,0.7847
223,1.0018,0.7961
224,1.0009,0.7839
225,1.0000,0.7868
226,0.9990,0.7886
227,0.9981,0.7904
228,0.9972,0.7774
229,0.9963,0.7873
230,0.9954,0.7828
231,0.9945,0.7859
232,0.9936,0.7719
233,0.9927,0.7757
234,0.9918,0.7770
235,0.9909,0.7754
236,0.9901,0.7851
237,0.9892,0.7783
238,0.9884,0.7798
239,0.9875,0.7815
240,0.9866,0.7669
241,0.9858,0.7730
242,0.9849,0.7765
243,0.9841,0.7831
244,0.9833,0.7749
245,0.9825,0.7728
246,0.9817,0.7657
247,0.9809,0.7837
248,0.9801,0.7716
249,0.9793,0.7824
250,0.9785,0.7742
251,0.9777,0.7791
252,0.9769,0.7723
253,0.9761,0.7703
254,0.9753,0.7788
255,0.9745,0.7754
256,0.9738,0.7763
257,0.9730,0.7670
258,0.9722,0.7548
259,0.9714,0.7595
260,0.9707,0.7717
261,0.9699,0.7588
262,0.9691,0.7579
263,0.9684,0.7687
264,0.9677,0.7729
265,0.9670,0.7838
266,0.9663,0.7728
267,0.9656,0.7823
268,0.9649,0.7777
269,0.9642,0.7610
270,0.9635,0.7682
271,0.9628,0.7728
272,0.9621,0.7667
273,0.9614,0.7691
274,0.9607,0.7627
275,0.9600,0.7633
276,0.9593,0.7563
277,0.9586,0.7561
278,0.9580,0.7614
279,0.9573,0.7648
280,0.9567,0.7791
281,0.9560,0.7660
282,0.9554,0.7679
283,0.9547,0.7580
284,0.9541,0.7571
285,0.9534,0.7636
286,0.9528,0.7810
287,0.9522,0.7623
288,0.9515,0.7596
289,0.9509,0.7611
290,0.9503,0.7551
291,0.9497,0.7634
292,0.9490,0.7610
293,0.9484,0.7592
294,0.9478,0.7648
295,0.9472,0.7575
296,0.9466,0.7710
297,0.9460,0.7566
298,0.9454,0.7507
299,0.9448,0.7500
300,0.9442,0.7551
301,0.9436,0.7542
302,0.9430,0.7598
303,0.9424,0.7647
304,0.9419,0.7626
305,0.9413,0.7559
306,0.9407,0.7482
307,0.9401,0.7561
308,0.9395,0.7559
309,0.9390,0.7640
310,0.9384,0.7532
311,0.9379,0.7707
312,0.9373,0.7509
313,0.9368,0.7562
314,0.9362,0.7484
315,0.9357,0.7557
316,0.9352,0.7527
317,0.9346,0.7573
318,0.9341,0.7547
319,0.9335,0.7553
320,0.9330,0.7538
321,0.9325,0.7547
322,0.9319,0.7502
323,0.9314,0.7544
324,0.9309,0.7489
325,0.9303,0.7450
326,0.9298,0.7484
327,0.9293,0.7551
328,0.9288,0.7446
329,0.9282,0.7450
330,0.9277,0.7426
331,0.9272,0.7453
332,0.9267,0.7417
333,0.9262,0.7435
334,0.9257,0.7441
335,0.9252,0.7522
336,0.9247,0.7435
337,0.9242,0.7631
338,0.9237,0.7530
339,0.9232,0.7390
340,0.9227,0.7435
341,0.9222,0.7435
342,0.9217,0.7451
343,0.9212,0.7564
344,0.9208,0.7402
345,0.9203,0.7532
346,0.9198,0.7498
347,0.9193,0.7421
348,0.9189,0.7466
349,0.9184,0.7513
350,0.9179,0.7471
351,0.9175,0.7496
352,0.9170,0.7463
353,0.9166,0.7443
354,0.9161,0.7380
355,0.9157,0.7370
356,0.9152,0.7562
357,0.9148,0.7459
358,0.9143,0.7496
359,0.9139,0.7544
360,0.9135,0.7485
361,0.9130,0.7426
362,0.9126,0.7440
363,0.9121,0.7370
364,0.9117,0.7341
365,0.9112,0.7423
366,0.9108,0.7511
367,0.9104,0.7362
368,0.9099,0.7351
369,0.9095,0.7486
370,0.9091,0.7515
371,0.9087,0.7455
372,0.9083,0.7503
373,0.9079,0.7354
374,0.9075,0.7413
375,0.9070,0.7423
376,0.9066,0.7387
377,0.9062,0.7433
378,0.9058,0.7430
379,0.9054,0.7439
380,0.9050,0.7394
381,0.9046,0.7436
382,0.9042,0.7419
383,0.9038,0.7493
384,0.9034,0.7388
385,0.9030,0.7438
386,0.9026,0.7364
387,0.9022,0.7319
388,0.9018,0.7391
389,0.9015,0.7520
390,0.9011,0.7402
391,0.9007,0.7339
392,0.9003,0.7395
393,0.8999,0.7416
394,0.8996,0.7477
395,0.8992,0.7351
396,0.8988,0.7440
397,0.8984,0.7420
398,0.8981,0.7418
399,0.8977,0.7331
400,0.8973,0.7462
401,0.8969,0.7308
402,0.8966,0.7449
403,0.8962,0.7381
404,0.8959,0.7447
405,0.8955,0.7434
406,0.8951,0.7373
407,0.8948,0.7354
408,0.8944,0.7379
409,0.8941,0.7486
410,0.8937,0.7363
411,0.8934,0.7331
412,0.8930,0.7338
413,0.8927,0.7350
414,0.8923,0.7444
415,0.8920,0.7332
416,0.8916,0.7375
417,0.8913,0.7418
418,0.8909,0.7419
419,0.8906,0.7327
420,0.8902,0.7391
421,0.8899,0.7436
422,0.8896,0.7375
423,0.8893,0.7352
424,0.8889,0.7471
425,0.8886,0.7433
426,0.8883,0.7357
427,0.8879,0.7436
428,0.8876,0.7342
429,0.8873,0.7432
430,0.8870,0.7265
431,0.8866,0.7367
432,0.8863,0.7442
433,0.8860,0.7376
434,0.8857,0.7416
435,0.8854,0.7423
436,0.8851,0.7476
437,0.8848,0.7370
438,0.8845,0.7348
439,0.8841,0.7339
440,0.8838,0.7350
441,0.8835,0.7355
442,0.8832,0.7282
443,0.8829,0.7387
444,0.8826,0.7365
445,0.8823,0.7449
446,0.8820,0.7348
447,0.8817,0.7321
448,0.8814,0.7392
449,0.8811,0.7367
450,0.8808,0.7286
451,0.8805,0.7374
452,0.8802,0.7407
453,0.8799,0.7299
454,0.8796,0.7428
455,0.8793,0.7333
456,0.8790,0.7302
457,0.8787,0.7388
458,0.8784,0.7334
459,0.8781,0.7412
