iter,loss,rmse
1,0.9818,2.2808
2,1.2998,2.2334
3,1.4777,2.3745
4,1.5619,2.2656
5,1.6159,2.2202
6,1.6519,2.1912
7,1.6789,2.2587
8,1.6958,2.1876
9,1.7073,2.1383
10,1.7156,2.0133
11,1.7203,2.1125
12,1.7261,1.9068
13,1.7301,2.3305
14,1.7305,2.2052
15,1.7295,2.0896
16,1.7274,2.0005
17,1.7245,1.9391
18,1.7213,1.9439
19,1.7175,1.9750
20,1.7132,1.8451
21,1.7084,1.7982
22,1.7034,1.7618
23,1.6980,1.7213
24,1.6922,1.6743
25,1.6863,1.7234
26,1.6803,1.6265
27,1.6741,1.5913
28,1.6677,1.5306
29,1.6612,1.5716
30,1.6545,1.5454
31,1.6476,1.4587
32,1.6408,1.3872
33,1.6340,1.5704
34,1.6268,1.4172
35,1.6196,1.3111
36,1.6122,1.3816
37,1.6047,1.3998
38,1.5971,1.3263
39,1.5897,1.2723
