iter,loss,rmse
1,0.9818,2.2808
2,1.2996,2.2212
3,1.4803,2.4600
4,1.5644,2.2398
5,1.6184,2.2467
6,1.6541,2.1651
7,1.6799,2.3283
8,1.6986,2.2549
9,1.7111,2.1003
10,1.7188,2.1743
11,1.7236,2.1201
12,1.7267,1.9707
13,1.7287,2.1756
14,1.7284,2.0432
15,1.7265,1.9648
16,1.7243,1.9432
17,1.7209,1.8547
18,1.7169,1.8835
19,1.7124,1.9217
20,1.7076,1.7670
21,1.7027,1.8277
22,1.6972,1.7223
23,1.6915,1.6809
24,1.6855,1.6991
25,1.6796,1.7902
26,1.6734,1.5249
27,1.6670,1.5144
28,1.6604,1.6343
29,1.6538,1.6060
30,1.6470,1.4451
31,1.6399,1.3953
32,1.6328,1.4528
33,1.6257,1.4989
34,1.6184,1.4045
35,1.6110,1.3141
36,1.6035,1.3690
37,1.5960,1.3664
38,1.5884,1.2503
39,1.5809,1.3238
40,1.5734,1.2224
41,1.5657,1.2345
42,1.5582,1.2760
43,1.5507,1.1656
44,1.5432,1.2325
45,1.5357,1.1509
46,1.5282,1.1503
47,1.5207,1.1937
48,1.5134,1.1230
49,1.5061,1.0997
50,1.4989,1.1513
51,1.4919,1.1191
52,1.4849,1.0964
53,1.4782,1.1852
54,1.4713,1.0850
55,1.4647,1.0643
56,1.4582,1.1801
57,1.4516,1.1410
58,1.4452,1.0813
59,1.4387,1.1041
60,1.4323,1.1251
61,1.4260,1.1095
62,1.4197,1.0794
63,1.4135,1.0824
64,1.4075,1.1157
65,1.4015,1.1444
66,1.3956,1.1243
67,1.3899,1.1450
68,1.3841,1.1592
69,1.3785,1.1468
70,1.3731,1.0986
71,1.3676,1.0973
72,1.3623,1.1814
73,1.3571,1.1339
74,1.3521,1.1008
75,1.3473,1.2950
76,1.3424,1.1987
77,1.3377,1.1006
78,1.3328,1.1095
79,1.3282,1.1820
80,1.3235,1.1361
81,1.3190,1.0857
82,1.3146,1.0593
83,1.3101,1.1261
84,1.3057,1.1193
85,1.3014,1.0958
86,1.2971,1.0743
87,1.2929,1.0649
88,1.2887,1.0646
89,1.2846,1.0756
90,1.2806,1.0863
91,1.2765,1.0605
92,1.2726,1.0498
93,1.2687,1.0305
94,1.2649,1.0697
95,1.2611,1.0732
96,1.2573,1.0601
97,1.2536,1.0782
98,1.2500,1.0743
99,1.2465,1.0641
100,1.2430,1.0536
101,1.2395,1.0761
102,1.2362,1.1131
103,1.2328,1.0405
104,1.2297,1.0307
105,1.2265,1.0387
106,1.2233,1.1030
107,1.2203,1.1043
108,1.2172,1.0828
109,1.2142,1.0670
110,1.2113,1.0706
111,1.2084,1.0176
112,1.2056,1.0428
113,1.2029,1.0868
