iter,loss,rmse
1,0.9820,2.2918
2,1.2981,2.2556
3,1.4571,2.1547
4,1.5533,2.2467
5,1.6076,2.2604
6,1.6446,2.2848
7,1.6699,2.2727
8,1.6874,2.2487
9,1.7000,2.1573
10,1.7079,2.0434
11,1.7139,2.1401
12,1.7179,1.9299
13,1.7193,2.0302
14,1.7196,2.1456
15,1.7187,2.0748
16,1.7166,1.9600
17,1.7138,1.8031
18,1.7106,1.8815
19,1.7069,1.9354
20,1.7027,1.8567
21,1.6982,1.8296
22,1.6935,1.6929
23,1.6884,1.7583
24,1.6831,1.6688
25,1.6778,1.6943
26,1.6723,1.5248
27,1.6664,1.4868
28,1.6605,1.6317
29,1.6545,1.5747
30,1.6483,1.2737
31,1.6419,1.4913
32,1.6352,1.3302
33,1.6285,1.3072
34,1.6218,1.4267
35,1.6149,1.1554
36,1.6079,1.1903
37,1.6010,1.3132
38,1.5940,1.2256
39,1.5869,1.1626
40,1.5798,1.1467
41,1.5728,1.2761
42,1.5659,1.1303
43,1.5589,1.1474
44,1.5519,1.1861
45,1.5450,1.1031
46,1.5380,1.1297
47,1.5310,1.1157
48,1.5241,1.0725
49,1.5173,1.1179
50,1.5105,1.0939
51,1.5038,1.1744
52,1.4980,1.0514
53,1.4923,1.2963
54,1.4862,1.2654
55,1.4797,1.0639
56,1.4740,1.0288
57,1.4683,1.1449
58,1.4623,1.1480
59,1.4562,1.0770
60,1.4504,1.0432
61,1.4445,1.0635
62,1.4387,1.1271
63,1.4329,1.0537
64,1.4274,1.0465
65,1.4217,1.0471
66,1.4162,1.0959
67,1.4108,1.0840
68,1.4056,1.0448
69,1.4010,1.0848
70,1.3957,1.0468
71,1.3912,1.0563
72,1.3866,1.1250
73,1.3820,1.1111
74,1.3772,1.0673
75,1.3727,1.0751
76,1.3679,1.0682
77,1.3636,1.1180
78,1.3590,1.0597
79,1.3546,1.0563
80,1.3501,1.0400
81,1.3458,1.0475
82,1.3415,1.0439
83,1.3373,1.0395
84,1.3331,1.0386
85,1.3290,1.0453
86,1.3249,1.0484
87,1.3209,1.0426
88,1.3170,1.0537
89,1.3132,1.0470
90,1.3093,1.0456
91,1.3055,1.0478
92,1.3018,1.0592
93,1.2982,1.0457
94,1.2945,1.0182
95,1.2910,1.0260
96,1.2874,1.0210
97,1.2842,1.0401
98,1.2808,0.9961
99,1.2774,1.0351
100,1.2741,1.0613
101,1.2709,1.0774
102,1.2677,1.0836
103,1.2646,1.0730
104,1.2616,1.0509
105,1.2585,1.0341
106,1.2557,1.0943
107,1.2528,1.0938
108,1.2501,1.0783
109,1.2471,1.0446
110,1.2445,1.0608
111,1.2421,1.0731
112,1.2393,1.0472
113,1.2366,1.0547
114,1.2340,1.0954
115,1.2315,1.1263
116,1.2289,1.0822
117,1.2263,1.0461
118,1.2237,1.0363
119,1.2213,1.0395
120,1.2189,1.0516
121,1.2166,1.0381
122,1.2146,1.0265
123,1.2122,1.0257
124,1.2100,1.0646
125,1.2077,1.0724
126,1.2055,1.0087
127,1.2032,1.0468
128,1.2012,1.0707
129,1.1989,1.0532
130,1.1969,1.0183
131,1.1948,1.0818
132,1.1927,1.0546
133,1.1906,1.0606
134,1.1885,1.0342
135,1.1864,1.0228
136,1.1844,1.0161
137,1.1824,1.0068
138,1.1804,1.0107
139,1.1789,1.0158
140,1.1770,0.9719
141,1.1751,1.0014
142,1.1732,1.0094
143,1.1714,1.0057
144,1.1696,1.0163
145,1.1678,1.0314
146,1.1661,1.0818
147,1.1643,1.0333
148,1.1626,1.0385
149,1.1609,1.0389
150,1.1592,1.0370
151,1.1575,1.0458
152,1.1558,1.0014
153,1.1542,1.0157
154,1.1525,1.0052
155,1.1508,1.0004
156,1.1492,1.0036
157,1.1476,0.9885
158,1.1460,1.0068
159,1.1445,0.9790
160,1.1429,0.9943
161,1.1413,0.9817
162,1.1398,0.9863
163,1.1383,0.9991
164,1.1368,0.9992
165,1.1353,0.9930
166,1.1338,1.0067
167,1.1323,1.0056
168,1.1309,1.0128
169,1.1295,1.0125
170,1.1281,1.0104
171,1.1267,1.0272
172,1.1253,0.9902
173,1.1239,1.0207
174,1.1225,0.9879
175,1.1212,0.9903
176,1.1198,0.9805
177,1.1186,1.0323
