iter,loss,rmse
1,0.9818,2.2809
2,1.2988,2.2294
3,1.4815,2.4234
4,1.5704,2.3093
5,1.6246,2.2256
6,1.6845,2.4211
7,1.7150,2.4085
8,1.7316,2.3573
9,1.7430,2.3519
10,1.7513,2.2899
11,1.7558,2.1572
12,1.7585,2.1493
13,1.7595,2.1715
14,1.7597,2.1867
15,1.7592,2.1236
16,1.7570,2.0356
17,1.7548,1.9942
18,1.7515,2.0342
19,1.7482,2.0833
20,1.7443,2.0179
21,1.7400,1.8961
22,1.7354,1.8044
23,1.7306,1.8197
24,1.7253,1.8682
25,1.7200,1.9247
26,1.7146,1.8199
27,1.7089,1.6895
28,1.7029,1.5639
29,1.6967,1.6133
30,1.6904,1.6706
31,1.6840,1.6930
32,1.6774,1.5210
