iter,loss,rmse
1,0.9820,2.2919
2,1.3016,2.3075
3,1.4761,2.2442
4,1.7046,2.3888
5,1.8080,2.7798
6,2.0069,3.1085
7,2.0039,2.1112
8,2.0353,2.7457
9,2.0446,2.6417
10,2.0359,2.3592
11,2.0237,2.3684
12,2.0108,2.3427
13,1.9984,2.2861
14,1.9882,2.2351
15,1.9793,2.2041
16,1.9702,2.2378
17,1.9606,2.2460
18,1.9512,2.2501
19,1.9423,2.2281
20,1.9338,2.2105
21,1.9253,2.1956
22,1.9169,2.1958
23,1.9088,2.1842
24,1.9008,2.1602
25,1.8928,2.1381
26,1.8848,2.1007
27,1.8769,2.0488
28,1.8691,2.0082
29,1.8614,1.9929
30,1.8537,1.9689
31,1.8462,1.9584
32,1.8386,1.9023
33,1.8309,1.8595
34,1.8233,1.7882
