iter,loss,rmse
1,0.9818,2.2806
2,1.2997,2.2247
3,1.4737,2.4031
4,1.5593,2.2584
5,1.6139,2.2461
6,1.6539,2.1610
7,1.6813,2.3802
8,1.7014,2.3134
9,1.7131,2.1364
10,1.7208,2.1205
11,1.7253,2.0851
12,1.7280,2.0737
13,1.7288,2.1076
14,1.7285,2.0366
15,1.7273,1.9076
16,1.7249,2.0039
17,1.7218,2.0278
18,1.7178,1.9727
19,1.7137,1.8046
20,1.7094,1.7250
21,1.7048,1.9678
22,1.6998,1.9435
23,1.6943,1.7856
24,1.6886,1.6271
25,1.6826,1.6386
26,1.6764,1.6117
27,1.6702,1.6266
28,1.6637,1.5440
29,1.6570,1.5079
30,1.6503,1.5334
31,1.6432,1.5126
32,1.6361,1.3866
33,1.6290,1.5087
34,1.6218,1.3568
35,1.6143,1.3366
36,1.6068,1.3482
37,1.5994,1.3778
38,1.5918,1.2930
39,1.5843,1.2239
40,1.5767,1.3001
41,1.5690,1.2408
42,1.5615,1.1593
43,1.5541,1.2968
44,1.5466,1.1517
45,1.5391,1.1655
46,1.5318,1.2429
47,1.5244,1.0959
48,1.5171,1.1713
49,1.5098,1.1174
50,1.5026,1.1004
51,1.4957,1.1789
52,1.4886,1.0833
53,1.4817,1.0781
54,1.4748,1.1024
55,1.4682,1.1497
56,1.4616,1.1219
