uid	sid	3
22	4092	cart
22	6271	cart
22	15983	cart
22	26329	cart
22	19836	cart
26	20456	cart
26	14205	cart
26	32123	cart
28	2758	cart
52	2315	cart
52	10101	cart
52	31394	cart
150	27994	cart
169	19923	cart
169	12309	cart
169	12372	cart
169	36523	cart
169	14479	cart
169	13877	cart
169	33541	cart
169	24050	cart
169	32281	cart
169	37047	cart
169	17856	cart
169	10876	cart
169	22345	cart
169	25142	cart
169	22619	cart
169	7087	cart
169	21071	cart
169	32723	cart
169	36813	cart
176	30662	cart
176	9720	cart
176	9469	cart
176	26564	cart
176	6138	cart
176	21536	cart
176	2032	cart
176	6214	cart
186	1627	cart
186	26689	cart
186	12264	cart
189	35546	cart
189	31294	cart
189	26165	cart
189	38562	cart
189	28404	cart
189	4170	cart
189	8880	cart
189	36467	cart
189	38367	cart
189	33803	cart
189	15816	cart
189	13042	cart
248	22648	cart
248	4423	cart
248	19801	cart
273	14529	cart
273	4734	cart
273	13541	cart
273	1358	cart
273	107	cart
273	29557	cart
273	38159	cart
303	5881	cart
303	107	cart
303	11172	cart
303	37325	cart
303	6103	cart
303	21777	cart
303	16580	cart
303	19057	cart
303	4052	cart
303	11036	cart
342	22606	cart
342	20436	cart
342	2277	cart
342	18270	cart
345	9563	cart
345	33034	cart
368	5144	cart
368	4595	cart
368	47	cart
368	29018	cart
368	20590	cart
368	33246	cart
368	22755	cart
417	1819	cart
417	3853	cart
417	37354	cart
422	18559	cart
422	17556	cart
422	31928	cart
422	17264	cart
422	4595	cart
422	29673	cart
422	38894	cart
430	10655	cart
430	1494	cart
430	7210	cart
430	5659	cart
430	7533	cart
432	20676	cart
432	34850	cart
432	25500	cart
432	553	cart
432	148	cart
432	107	cart
432	36284	cart
432	31579	cart
432	17236	cart
453	31032	cart
453	26375	cart
453	5575	cart
453	20593	cart
453	11039	cart
460	2881	cart
460	13098	cart
475	36396	cart
475	22152	cart
534	15594	cart
534	15303	cart
534	107	cart
534	10201	cart
534	13070	cart
534	30228	cart
534	35277	cart
537	366	cart
537	35821	cart
548	23680	cart
548	26761	cart
556	19480	cart
556	938	cart
556	33984	cart
556	10535	cart
587	38846	cart
587	32936	cart
587	34925	cart
587	32498	cart
587	31007	cart
587	20728	cart
587	1384	cart
587	20621	cart
587	15346	cart
587	19338	cart
587	8808	cart
602	32061	cart
602	35806	cart
610	1085	cart
610	3118	cart
618	22754	cart
618	21032	cart
618	36250	cart
618	8604	cart
618	21993	cart
618	14113	cart
618	1782	cart
618	14478	cart
618	13969	cart
618	13996	cart
633	10919	cart
633	15185	cart
633	2894	cart
637	9526	cart
637	14895	cart
637	4322	cart
637	31742	cart
637	16402	cart
637	30513	cart
637	1490	cart
637	149	cart
637	7487	cart
637	15615	cart
637	6367	cart
637	28682	cart
661	3640	cart
661	25833	cart
661	34080	cart
661	10835	cart
670	10991	cart
670	15106	cart
670	5813	cart
670	6982	cart
670	15622	cart
670	12072	cart
684	20122	cart
684	37786	cart
684	17236	cart
684	22221	cart
684	34925	cart
684	19763	cart
684	27002	cart
684	13710	cart
684	107	cart
684	17388	cart
684	15727	cart
684	15733	cart
684	33778	cart
684	12024	cart
